source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[individual]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	characteristics[material type]	characteristics[enrichment process]	characteristics[treatment]	characteristics[treatment]	characteristics[sampling time]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[ms2 scan range]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[sample preparation batch]	comment[elution conditions]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]	factor value[treatment]
PXD003529-Sample-28	Homo sapiens	bone	not available	osteosarcoma	U2OS	CVCL_0042	U2OS	tibia	15Y	female	European ancestry	not available	not available	not available	not available	not available	cell line	enrichment of phosphorylated protein	afimoxifene	not applicable	120 minute	1	run 1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	SILAC light	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	not available	not available	not available	not available	not applicable	1	1	EXP1 (4-OHT-induced nuclear ETAA1-AAD vs untreated)	140 min gradient, Thermo EASY-nLC, Xcalibur method SeHu_Phos-140mingrad_D20meth	2015-09-25	20150925_coreQEP1_MaRa_SA_mr4p6_AB1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	afimoxifene	not applicable
PXD003529-Sample-29	Homo sapiens	bone	not available	osteosarcoma	U2OS	CVCL_0042	U2OS	tibia	15Y	female	European ancestry	not available	not available	not available	not available	not available	cell line	enrichment of phosphorylated protein	not applicable	not applicable	120 minute	1	run 1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	SILAC heavy	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	not available	not available	not available	not available	not applicable	1	1	EXP1 (4-OHT-induced nuclear ETAA1-AAD vs untreated)	140 min gradient, Thermo EASY-nLC, Xcalibur method SeHu_Phos-140mingrad_D20meth	2015-09-25	20150925_coreQEP1_MaRa_SA_mr4p6_AB1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable	not applicable
PXD003529-Sample-30	Homo sapiens	bone	not available	osteosarcoma	U2OS	CVCL_0042	U2OS	tibia	15Y	female	European ancestry	not available	not available	not available	not available	not available	cell line	enrichment of phosphorylated protein	afimoxifene	not applicable	120 minute	2	run 2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	SILAC light	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	not available	not available	not available	not available	not applicable	1	1	EXP1 (4-OHT-induced nuclear ETAA1-AAD vs untreated)	140 min gradient, Thermo EASY-nLC, Xcalibur method SeHu_Phos-140mingrad_D20meth	2015-09-25	20150925_coreQEP1_MaRa_SA_mr4p6_AB2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	afimoxifene	not applicable
PXD003529-Sample-31	Homo sapiens	bone	not available	osteosarcoma	U2OS	CVCL_0042	U2OS	tibia	15Y	female	European ancestry	not available	not available	not available	not available	not available	cell line	enrichment of phosphorylated protein	not applicable	not applicable	120 minute	2	run 2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	SILAC heavy	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	not available	not available	not available	not available	not applicable	1	1	EXP1 (4-OHT-induced nuclear ETAA1-AAD vs untreated)	140 min gradient, Thermo EASY-nLC, Xcalibur method SeHu_Phos-140mingrad_D20meth	2015-09-25	20150925_coreQEP1_MaRa_SA_mr4p6_AB2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable	not applicable
PXD003529-Sample-32	Homo sapiens	bone	not available	osteosarcoma	U2OS	CVCL_0042	U2OS	tibia	15Y	female	European ancestry	not available	not available	not available	not available	not available	cell line	enrichment of phosphorylated protein	afimoxifene	not applicable	120 minute	3	run 3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	SILAC light	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	not available	not available	not available	not available	not applicable	1	1	EXP1 (4-OHT-induced nuclear ETAA1-AAD vs untreated)	140 min gradient, Thermo EASY-nLC, Xcalibur method SeHu_Phos-140mingrad_D20meth	2015-09-25	20150925_coreQEP1_MaRa_SA_mr4p6_AB3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	afimoxifene	not applicable
PXD003529-Sample-33	Homo sapiens	bone	not available	osteosarcoma	U2OS	CVCL_0042	U2OS	tibia	15Y	female	European ancestry	not available	not available	not available	not available	not available	cell line	enrichment of phosphorylated protein	not applicable	not applicable	120 minute	3	run 3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	SILAC heavy	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	not available	not available	not available	not available	not applicable	1	1	EXP1 (4-OHT-induced nuclear ETAA1-AAD vs untreated)	140 min gradient, Thermo EASY-nLC, Xcalibur method SeHu_Phos-140mingrad_D20meth	2015-09-25	20150925_coreQEP1_MaRa_SA_mr4p6_AB3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable	not applicable
PXD003529-Sample-34	Homo sapiens	bone	not available	osteosarcoma	U2OS	CVCL_0042	U2OS	tibia	15Y	female	European ancestry	not available	not available	not available	not available	not available	cell line	enrichment of phosphorylated protein	afimoxifene	not applicable	120 minute	4	run 4	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	SILAC light	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	not available	not available	not available	not available	not applicable	1	1	EXP1 (4-OHT-induced nuclear ETAA1-AAD vs untreated)	140 min gradient, Thermo EASY-nLC, Xcalibur method SeHu_Phos-140mingrad_D20meth	2015-09-25	20150925_coreQEP1_MaRa_SA_mr4p6_AB4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	afimoxifene	not applicable
PXD003529-Sample-35	Homo sapiens	bone	not available	osteosarcoma	U2OS	CVCL_0042	U2OS	tibia	15Y	female	European ancestry	not available	not available	not available	not available	not available	cell line	enrichment of phosphorylated protein	not applicable	not applicable	120 minute	4	run 4	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	SILAC heavy	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	not available	not available	not available	not available	not applicable	1	1	EXP1 (4-OHT-induced nuclear ETAA1-AAD vs untreated)	140 min gradient, Thermo EASY-nLC, Xcalibur method SeHu_Phos-140mingrad_D20meth	2015-09-25	20150925_coreQEP1_MaRa_SA_mr4p6_AB4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable	not applicable
PXD003529-Sample-36	Homo sapiens	bone	not available	osteosarcoma	U2OS	CVCL_0042	U2OS	tibia	15Y	female	European ancestry	not available	not available	not available	not available	not available	cell line	enrichment of phosphorylated protein	afimoxifene	not applicable	120 minute	1	run 5	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	SILAC light	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	not available	not available	not available	not available	not applicable	1	1	EXP2 (4-OHT + ATR inhibitor vs 4-OHT + vehicle)	140 min gradient, Thermo EASY-nLC, Xcalibur method SeHu_Phos-140mingrad_D20meth	2015-09-25	20150925_coreQEP1_MaRa_SA_mr4p6_CD1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	afimoxifene	not applicable
PXD003529-Sample-37	Homo sapiens	bone	not available	osteosarcoma	U2OS	CVCL_0042	U2OS	tibia	15Y	female	European ancestry	not available	not available	not available	not available	not available	cell line	enrichment of phosphorylated protein	afimoxifene	ATR Inhibitor	120 minute	1	run 5	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	SILAC heavy	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	not available	not available	not available	not available	not applicable	1	1	EXP2 (4-OHT + ATR inhibitor vs 4-OHT + vehicle)	140 min gradient, Thermo EASY-nLC, Xcalibur method SeHu_Phos-140mingrad_D20meth	2015-09-25	20150925_coreQEP1_MaRa_SA_mr4p6_CD1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	afimoxifene	ATR Inhibitor
