source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[condition]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	assay name	technology type	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[study group]	comment[run role]	comment[acquisition branch]	comment[replicate provenance]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[spike amount basis]	comment[injected total peptide amount]	comment[background cell line]	comment[original sample name]	comment[original acquisition]	comment[annotation source]	comment[annotation provenance]	factor value[condition]
PMC6944235_GS1	Mus musculus	not applicable	not available	not applicable	1	GS1	CT=protein;AC=P37840;QY=1 pmol	CT=protein;AC=P02754;QY=0.5 pmol	CT=protein;AC=P02671;QY=10 pmol	CT=protein;AC=P02675;QY=10 pmol	CT=protein;AC=P02679;QY=10 pmol	CT=protein;AC=P13006;QY=0.1 pmol	CT=protein;AC=P69905;QY=0.5 pmol	CT=protein;AC=P68871;QY=0.5 pmol	CT=protein;AC=P20261;QY=0.1 pmol	CT=protein;AC=P32946;QY=0.1 pmol	CT=protein;AC=P32947;QY=0.1 pmol	CT=protein;AC=P00698;QY=5 pmol	CT=protein;AC=P68082;QY=1 pmol	PXD014956_QExHF03751	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable;PP=Any N-term	NT=Ammonium;AC=UNIMOD:989;TA=D,E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;MT=Variable;PP=Any N-term	NT=Ammonia-loss;AC=UNIMOD:385;TA=N;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.02 Da	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	QExHF03751.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014956/QExHF03751.mzML	PMC6944235	reprocessed benchmark	DIA	PMC6944235: five prepared GS sample states measured in triplicate; assay_information.txt plus RAW sample labels Sandra_1a..5c; no independent biological cultures claimed	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	Table I: pmol per prepared sample with 20 ug C2C12 lysate, not on-column amount	200 ng	C2C12	GS state 1, replicate 1	PXD012988/QExHF03751.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD014956 | https://doi.org/10.1074/mcp.ra119.001714	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	GS1
PMC6944235_GS2	Mus musculus	not applicable	not available	not applicable	1	GS2	CT=protein;AC=P37840;QY=10 pmol	CT=protein;AC=P02754;QY=0.1 pmol	CT=protein;AC=P02671;QY=5 pmol	CT=protein;AC=P02675;QY=5 pmol	CT=protein;AC=P02679;QY=5 pmol	CT=protein;AC=P13006;QY=1 pmol	CT=protein;AC=P69905;QY=5 pmol	CT=protein;AC=P68871;QY=5 pmol	CT=protein;AC=P20261;QY=0.5 pmol	CT=protein;AC=P32946;QY=0.5 pmol	CT=protein;AC=P32947;QY=0.5 pmol	CT=protein;AC=P00698;QY=10 pmol	CT=protein;AC=P68082;QY=0.1 pmol	PXD014956_QExHF03753	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable;PP=Any N-term	NT=Ammonium;AC=UNIMOD:989;TA=D,E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;MT=Variable;PP=Any N-term	NT=Ammonia-loss;AC=UNIMOD:385;TA=N;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.02 Da	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	QExHF03753.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014956/QExHF03753.mzML	PMC6944235	reprocessed benchmark	DIA	PMC6944235: five prepared GS sample states measured in triplicate; assay_information.txt plus RAW sample labels Sandra_1a..5c; no independent biological cultures claimed	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	Table I: pmol per prepared sample with 20 ug C2C12 lysate, not on-column amount	200 ng	C2C12	GS state 2, replicate 1	PXD012988/QExHF03753.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD014956 | https://doi.org/10.1074/mcp.ra119.001714	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	GS2
PMC6944235_GS3	Mus musculus	not applicable	not available	not applicable	1	GS3	CT=protein;AC=P37840;QY=0.5 pmol	CT=protein;AC=P02754;QY=5 pmol	CT=protein;AC=P02671;QY=1 pmol	CT=protein;AC=P02675;QY=1 pmol	CT=protein;AC=P02679;QY=1 pmol	CT=protein;AC=P13006;QY=10 pmol	CT=protein;AC=P69905;QY=10 pmol	CT=protein;AC=P68871;QY=10 pmol	CT=protein;AC=P20261;QY=1 pmol	CT=protein;AC=P32946;QY=1 pmol	CT=protein;AC=P32947;QY=1 pmol	CT=protein;AC=P00698;QY=0.1 pmol	CT=protein;AC=P68082;QY=5 pmol	PXD014956_QExHF03755	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable;PP=Any N-term	NT=Ammonium;AC=UNIMOD:989;TA=D,E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;MT=Variable;PP=Any N-term	NT=Ammonia-loss;AC=UNIMOD:385;TA=N;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.02 Da	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	QExHF03755.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014956/QExHF03755.mzML	PMC6944235	reprocessed benchmark	DIA	PMC6944235: five prepared GS sample states measured in triplicate; assay_information.txt plus RAW sample labels Sandra_1a..5c; no independent biological cultures claimed	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	Table I: pmol per prepared sample with 20 ug C2C12 lysate, not on-column amount	200 ng	C2C12	GS state 3, replicate 1	PXD012988/QExHF03755.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD014956 | https://doi.org/10.1074/mcp.ra119.001714	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	GS3
PMC6944235_GS4	Mus musculus	not applicable	not available	not applicable	1	GS4	CT=protein;AC=P37840;QY=0.1 pmol	CT=protein;AC=P02754;QY=10 pmol	CT=protein;AC=P02671;QY=0.5 pmol	CT=protein;AC=P02675;QY=0.5 pmol	CT=protein;AC=P02679;QY=0.5 pmol	CT=protein;AC=P13006;QY=5 pmol	CT=protein;AC=P69905;QY=1 pmol	CT=protein;AC=P68871;QY=1 pmol	CT=protein;AC=P20261;QY=5 pmol	CT=protein;AC=P32946;QY=5 pmol	CT=protein;AC=P32947;QY=5 pmol	CT=protein;AC=P00698;QY=0.5 pmol	CT=protein;AC=P68082;QY=10 pmol	PXD014956_QExHF03757	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable;PP=Any N-term	NT=Ammonium;AC=UNIMOD:989;TA=D,E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;MT=Variable;PP=Any N-term	NT=Ammonia-loss;AC=UNIMOD:385;TA=N;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.02 Da	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	QExHF03757.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014956/QExHF03757.mzML	PMC6944235	reprocessed benchmark	DIA	PMC6944235: five prepared GS sample states measured in triplicate; assay_information.txt plus RAW sample labels Sandra_1a..5c; no independent biological cultures claimed	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	Table I: pmol per prepared sample with 20 ug C2C12 lysate, not on-column amount	200 ng	C2C12	GS state 4, replicate 1	PXD012988/QExHF03757.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD014956 | https://doi.org/10.1074/mcp.ra119.001714	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	GS4
PMC6944235_GS5	Mus musculus	not applicable	not available	not applicable	1	GS5	CT=protein;AC=P37840;QY=5 pmol	CT=protein;AC=P02754;QY=1 pmol	CT=protein;AC=P02671;QY=0.1 pmol	CT=protein;AC=P02675;QY=0.1 pmol	CT=protein;AC=P02679;QY=0.1 pmol	CT=protein;AC=P13006;QY=0.5 pmol	CT=protein;AC=P69905;QY=0.1 pmol	CT=protein;AC=P68871;QY=0.1 pmol	CT=protein;AC=P20261;QY=10 pmol	CT=protein;AC=P32946;QY=10 pmol	CT=protein;AC=P32947;QY=10 pmol	CT=protein;AC=P00698;QY=1 pmol	CT=protein;AC=P68082;QY=0.5 pmol	PXD014956_QExHF03759	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable;PP=Any N-term	NT=Ammonium;AC=UNIMOD:989;TA=D,E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;MT=Variable;PP=Any N-term	NT=Ammonia-loss;AC=UNIMOD:385;TA=N;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.02 Da	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	QExHF03759.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014956/QExHF03759.mzML	PMC6944235	reprocessed benchmark	DIA	PMC6944235: five prepared GS sample states measured in triplicate; assay_information.txt plus RAW sample labels Sandra_1a..5c; no independent biological cultures claimed	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	Table I: pmol per prepared sample with 20 ug C2C12 lysate, not on-column amount	200 ng	C2C12	GS state 5, replicate 1	PXD012988/QExHF03759.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD014956 | https://doi.org/10.1074/mcp.ra119.001714	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	GS5
PMC6944235_GS1	Mus musculus	not applicable	not available	not applicable	1	GS1	CT=protein;AC=P37840;QY=1 pmol	CT=protein;AC=P02754;QY=0.5 pmol	CT=protein;AC=P02671;QY=10 pmol	CT=protein;AC=P02675;QY=10 pmol	CT=protein;AC=P02679;QY=10 pmol	CT=protein;AC=P13006;QY=0.1 pmol	CT=protein;AC=P69905;QY=0.5 pmol	CT=protein;AC=P68871;QY=0.5 pmol	CT=protein;AC=P20261;QY=0.1 pmol	CT=protein;AC=P32946;QY=0.1 pmol	CT=protein;AC=P32947;QY=0.1 pmol	CT=protein;AC=P00698;QY=5 pmol	CT=protein;AC=P68082;QY=1 pmol	PXD014956_QExHF03761	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable;PP=Any N-term	NT=Ammonium;AC=UNIMOD:989;TA=D,E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;MT=Variable;PP=Any N-term	NT=Ammonia-loss;AC=UNIMOD:385;TA=N;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.02 Da	2	1	NT=Data-independent acquisition;AC=PRIDE:0000450	QExHF03761.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014956/QExHF03761.mzML	PMC6944235	reprocessed benchmark	DIA	PMC6944235: five prepared GS sample states measured in triplicate; assay_information.txt plus RAW sample labels Sandra_1a..5c; no independent biological cultures claimed	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	Table I: pmol per prepared sample with 20 ug C2C12 lysate, not on-column amount	200 ng	C2C12	GS state 1, replicate 2	PXD012988/QExHF03761.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD014956 | https://doi.org/10.1074/mcp.ra119.001714	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	GS1
PMC6944235_GS2	Mus musculus	not applicable	not available	not applicable	1	GS2	CT=protein;AC=P37840;QY=10 pmol	CT=protein;AC=P02754;QY=0.1 pmol	CT=protein;AC=P02671;QY=5 pmol	CT=protein;AC=P02675;QY=5 pmol	CT=protein;AC=P02679;QY=5 pmol	CT=protein;AC=P13006;QY=1 pmol	CT=protein;AC=P69905;QY=5 pmol	CT=protein;AC=P68871;QY=5 pmol	CT=protein;AC=P20261;QY=0.5 pmol	CT=protein;AC=P32946;QY=0.5 pmol	CT=protein;AC=P32947;QY=0.5 pmol	CT=protein;AC=P00698;QY=10 pmol	CT=protein;AC=P68082;QY=0.1 pmol	PXD014956_QExHF03763	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable;PP=Any N-term	NT=Ammonium;AC=UNIMOD:989;TA=D,E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;MT=Variable;PP=Any N-term	NT=Ammonia-loss;AC=UNIMOD:385;TA=N;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.02 Da	2	1	NT=Data-independent acquisition;AC=PRIDE:0000450	QExHF03763.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014956/QExHF03763.mzML	PMC6944235	reprocessed benchmark	DIA	PMC6944235: five prepared GS sample states measured in triplicate; assay_information.txt plus RAW sample labels Sandra_1a..5c; no independent biological cultures claimed	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	Table I: pmol per prepared sample with 20 ug C2C12 lysate, not on-column amount	200 ng	C2C12	GS state 2, replicate 2	PXD012988/QExHF03763.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD014956 | https://doi.org/10.1074/mcp.ra119.001714	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	GS2
PMC6944235_GS3	Mus musculus	not applicable	not available	not applicable	1	GS3	CT=protein;AC=P37840;QY=0.5 pmol	CT=protein;AC=P02754;QY=5 pmol	CT=protein;AC=P02671;QY=1 pmol	CT=protein;AC=P02675;QY=1 pmol	CT=protein;AC=P02679;QY=1 pmol	CT=protein;AC=P13006;QY=10 pmol	CT=protein;AC=P69905;QY=10 pmol	CT=protein;AC=P68871;QY=10 pmol	CT=protein;AC=P20261;QY=1 pmol	CT=protein;AC=P32946;QY=1 pmol	CT=protein;AC=P32947;QY=1 pmol	CT=protein;AC=P00698;QY=0.1 pmol	CT=protein;AC=P68082;QY=5 pmol	PXD014956_QExHF03765	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable;PP=Any N-term	NT=Ammonium;AC=UNIMOD:989;TA=D,E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;MT=Variable;PP=Any N-term	NT=Ammonia-loss;AC=UNIMOD:385;TA=N;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.02 Da	2	1	NT=Data-independent acquisition;AC=PRIDE:0000450	QExHF03765.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014956/QExHF03765.mzML	PMC6944235	reprocessed benchmark	DIA	PMC6944235: five prepared GS sample states measured in triplicate; assay_information.txt plus RAW sample labels Sandra_1a..5c; no independent biological cultures claimed	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	Table I: pmol per prepared sample with 20 ug C2C12 lysate, not on-column amount	200 ng	C2C12	GS state 3, replicate 2	PXD012988/QExHF03765.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD014956 | https://doi.org/10.1074/mcp.ra119.001714	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	GS3
PMC6944235_GS4	Mus musculus	not applicable	not available	not applicable	1	GS4	CT=protein;AC=P37840;QY=0.1 pmol	CT=protein;AC=P02754;QY=10 pmol	CT=protein;AC=P02671;QY=0.5 pmol	CT=protein;AC=P02675;QY=0.5 pmol	CT=protein;AC=P02679;QY=0.5 pmol	CT=protein;AC=P13006;QY=5 pmol	CT=protein;AC=P69905;QY=1 pmol	CT=protein;AC=P68871;QY=1 pmol	CT=protein;AC=P20261;QY=5 pmol	CT=protein;AC=P32946;QY=5 pmol	CT=protein;AC=P32947;QY=5 pmol	CT=protein;AC=P00698;QY=0.5 pmol	CT=protein;AC=P68082;QY=10 pmol	PXD014956_QExHF03767	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable;PP=Any N-term	NT=Ammonium;AC=UNIMOD:989;TA=D,E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;MT=Variable;PP=Any N-term	NT=Ammonia-loss;AC=UNIMOD:385;TA=N;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.02 Da	2	1	NT=Data-independent acquisition;AC=PRIDE:0000450	QExHF03767.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014956/QExHF03767.mzML	PMC6944235	reprocessed benchmark	DIA	PMC6944235: five prepared GS sample states measured in triplicate; assay_information.txt plus RAW sample labels Sandra_1a..5c; no independent biological cultures claimed	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	Table I: pmol per prepared sample with 20 ug C2C12 lysate, not on-column amount	200 ng	C2C12	GS state 4, replicate 2	PXD012988/QExHF03767.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD014956 | https://doi.org/10.1074/mcp.ra119.001714	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	GS4
PMC6944235_GS5	Mus musculus	not applicable	not available	not applicable	1	GS5	CT=protein;AC=P37840;QY=5 pmol	CT=protein;AC=P02754;QY=1 pmol	CT=protein;AC=P02671;QY=0.1 pmol	CT=protein;AC=P02675;QY=0.1 pmol	CT=protein;AC=P02679;QY=0.1 pmol	CT=protein;AC=P13006;QY=0.5 pmol	CT=protein;AC=P69905;QY=0.1 pmol	CT=protein;AC=P68871;QY=0.1 pmol	CT=protein;AC=P20261;QY=10 pmol	CT=protein;AC=P32946;QY=10 pmol	CT=protein;AC=P32947;QY=10 pmol	CT=protein;AC=P00698;QY=1 pmol	CT=protein;AC=P68082;QY=0.5 pmol	PXD014956_QExHF03769	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable;PP=Any N-term	NT=Ammonium;AC=UNIMOD:989;TA=D,E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;MT=Variable;PP=Any N-term	NT=Ammonia-loss;AC=UNIMOD:385;TA=N;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.02 Da	2	1	NT=Data-independent acquisition;AC=PRIDE:0000450	QExHF03769.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014956/QExHF03769.mzML	PMC6944235	reprocessed benchmark	DIA	PMC6944235: five prepared GS sample states measured in triplicate; assay_information.txt plus RAW sample labels Sandra_1a..5c; no independent biological cultures claimed	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	Table I: pmol per prepared sample with 20 ug C2C12 lysate, not on-column amount	200 ng	C2C12	GS state 5, replicate 2	PXD012988/QExHF03769.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD014956 | https://doi.org/10.1074/mcp.ra119.001714	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	GS5
