source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[genotype]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]	factor value[organism part]
WT_medulla_oblongata_pool	Mus musculus	medulla oblongata	not applicable	tissue	normal	adult	not available	not available	wild type	1	XBH-F2-TMT130	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT130	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	20 mmu	2	1	XBH-F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type	medulla oblongata
SOD1G93A_medulla_oblongata_pool	Mus musculus	medulla oblongata	not applicable	tissue	amyotrophic lateral sclerosis	adult	not available	not available	SOD1 G93A	1	XBH-F2-TMT131	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT131	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	20 mmu	2	1	XBH-F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	SOD1 G93A	medulla oblongata
WT_hippocampus_pool	Mus musculus	hippocampal formation	not applicable	tissue	normal	adult	not available	not available	wild type	1	XBH-F3-TMT126	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT126	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	20 mmu	3	1	XBH-F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type	hippocampal formation
SOD1G93A_hippocampus_pool	Mus musculus	hippocampal formation	not applicable	tissue	amyotrophic lateral sclerosis	adult	not available	not available	SOD1 G93A	1	XBH-F3-TMT127	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT127	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	20 mmu	3	1	XBH-F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	SOD1 G93A	hippocampal formation
WT_cerebral_cortex_pool	Mus musculus	cerebral cortex	not applicable	tissue	normal	adult	not available	not available	wild type	1	XBH-F3-TMT128	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT128	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	20 mmu	3	1	XBH-F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type	cerebral cortex
SOD1G93A_cerebral_cortex_pool	Mus musculus	cerebral cortex	not applicable	tissue	amyotrophic lateral sclerosis	adult	not available	not available	SOD1 G93A	1	XBH-F3-TMT129	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT129	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	20 mmu	3	1	XBH-F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	SOD1 G93A	cerebral cortex
WT_medulla_oblongata_pool	Mus musculus	medulla oblongata	not applicable	tissue	normal	adult	not available	not available	wild type	1	XBH-F3-TMT130	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT130	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	20 mmu	3	1	XBH-F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type	medulla oblongata
SOD1G93A_medulla_oblongata_pool	Mus musculus	medulla oblongata	not applicable	tissue	amyotrophic lateral sclerosis	adult	not available	not available	SOD1 G93A	1	XBH-F3-TMT131	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT131	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	20 mmu	3	1	XBH-F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	SOD1 G93A	medulla oblongata
WT_hippocampus_pool	Mus musculus	hippocampal formation	not applicable	tissue	normal	adult	not available	not available	wild type	1	XBH-F4-TMT126	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT126	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	20 mmu	4	1	XBH-F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type	hippocampal formation
SOD1G93A_hippocampus_pool	Mus musculus	hippocampal formation	not applicable	tissue	amyotrophic lateral sclerosis	adult	not available	not available	SOD1 G93A	1	XBH-F4-TMT127	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT127	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	20 mmu	4	1	XBH-F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	SOD1 G93A	hippocampal formation
WT_cerebral_cortex_pool	Mus musculus	cerebral cortex	not applicable	tissue	normal	adult	not available	not available	wild type	1	XBH-F4-TMT128	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT128	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	20 mmu	4	1	XBH-F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type	cerebral cortex
SOD1G93A_cerebral_cortex_pool	Mus musculus	cerebral cortex	not applicable	tissue	amyotrophic lateral sclerosis	adult	not available	not available	SOD1 G93A	1	XBH-F4-TMT129	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT129	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	20 mmu	4	1	XBH-F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	SOD1 G93A	cerebral cortex
WT_medulla_oblongata_pool	Mus musculus	medulla oblongata	not applicable	tissue	normal	adult	not available	not available	wild type	1	XBH-F4-TMT130	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT130	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	20 mmu	4	1	XBH-F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type	medulla oblongata
SOD1G93A_medulla_oblongata_pool	Mus musculus	medulla oblongata	not applicable	tissue	amyotrophic lateral sclerosis	adult	not available	not available	SOD1 G93A	1	XBH-F4-TMT131	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT131	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	20 mmu	4	1	XBH-F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	SOD1 G93A	medulla oblongata
WT_hippocampus_pool	Mus musculus	hippocampal formation	not applicable	tissue	normal	adult	not available	not available	wild type	1	XBH-F5-TMT126	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT126	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	20 mmu	5	1	XBH-F5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type	hippocampal formation
SOD1G93A_hippocampus_pool	Mus musculus	hippocampal formation	not applicable	tissue	amyotrophic lateral sclerosis	adult	not available	not available	SOD1 G93A	1	XBH-F5-TMT127	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT127	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	20 mmu	5	1	XBH-F5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	SOD1 G93A	hippocampal formation
WT_cerebral_cortex_pool	Mus musculus	cerebral cortex	not applicable	tissue	normal	adult	not available	not available	wild type	1	XBH-F5-TMT128	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT128	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	20 mmu	5	1	XBH-F5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type	cerebral cortex
