source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
AO-B052	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-B052	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-B052.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-B052.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
TB_B13-212	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	TB_B13-212	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	TB_B13-212.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/TB_B13-212.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-A892	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-A892	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-A892.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-A892.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
TB_B13-179	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	TB_B13-179	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	TB_B13-179.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/TB_B13-179.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-A851	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-A851	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-A851.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-A851.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-B060	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-B060	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-B060.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-B060.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-B025	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-B025	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-B025.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-B025.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
TB_B13-174	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	TB_B13-174	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	TB_B13-174.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/TB_B13-174.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
TB_B13-184	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	TB_B13-184	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	TB_B13-184.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/TB_B13-184.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-B047	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-B047	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-B047.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-B047.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
