source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[sex]	characteristics[temperature]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[modification parameters]	factor value[temperature]
30_T1__14-11-19_20191117072217	Cladocopium goreaui	not applicable	not applicable	not applicable	one week at 32C	1	30_T1__14-11-19_20191117072217	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	30_T1__14-11-19_20191117072217.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	one week at 32C
32_TE__14-11-29	Cladocopium goreaui	not applicable	not applicable	not applicable	end of the temperature ramp	1	32_TE__14-11-29	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	32_TE__14-11-29.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	end of the temperature ramp
16_TE__14-11-19_20191118014256	Cladocopium goreaui	not applicable	not applicable	not applicable	end of the temperature ramp	1	16_TE__14-11-19_20191118014256	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	16_TE__14-11-19_20191118014256.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	end of the temperature ramp
13_T0__14-11-19	Cladocopium goreaui	not applicable	not applicable	not applicable	controls (26C)	1	13_T0__14-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	13_T0__14-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	controls (26C)
15_T0__19_11-19	Cladocopium goreaui	not applicable	not applicable	not applicable	controls (26C)	1	15_T0__19_11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	15_T0__19_11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	controls (26C)
13_T1rep__15-11-19_20191119090659	Cladocopium goreaui	not applicable	not applicable	not applicable	one week at 32C	1	13_T1rep__15-11-19_20191119090659	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	13_T1rep__15-11-19_20191119090659.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	one week at 32C
32_T1_13-11-20_20191116120702	Cladocopium goreaui	not applicable	not applicable	not applicable	one week at 32C	1	32_T1_13-11-20_20191116120702	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	32_T1_13-11-20_20191116120702.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	one week at 32C
29_T0__14-11-19_20191118065329	Cladocopium goreaui	not applicable	not applicable	not applicable	controls (26C)	1	29_T0__14-11-19_20191118065329	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	29_T0__14-11-19_20191118065329.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	controls (26C)
14_T0_13-11-19_20191116065624	Cladocopium goreaui	not applicable	not applicable	not applicable	controls (26C)	1	14_T0_13-11-19_20191116065624	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	14_T0_13-11-19_20191116065624.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	controls (26C)
30_T1__14-11-19	Cladocopium goreaui	not applicable	not applicable	not applicable	one week at 32C	1	30_T1__14-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	30_T1__14-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	one week at 32C
