source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[microbiome source]	characteristics[sample storage]	characteristics[treatment]	characteristics[sampling time]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]	factor value[sampling time]
PG_1day_1	PG_1day_1	mouse gut metagenome	feces	not applicable	type 2 diabetes mellitus	JPST000974	fecal material	Osaka Prefecture	not available	mouse gut microbiome	not available	Porphyromonas gingivalis oral gavage	1 day	1	170927sy_PG_1day_1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	10 ppm	0.8 Da	1	1	170927sy_PG_1day_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Porphyromonas gingivalis oral gavage	1 day
PG_1day_2	PG_1day_2	mouse gut metagenome	feces	not applicable	type 2 diabetes mellitus	JPST000974	fecal material	Osaka Prefecture	not available	mouse gut microbiome	not available	Porphyromonas gingivalis oral gavage	1 day	2	170927sy_PG_1day_2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	10 ppm	0.8 Da	1	1	170927sy_PG_1day_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Porphyromonas gingivalis oral gavage	1 day
PG_1day_3	PG_1day_3	mouse gut metagenome	feces	not applicable	type 2 diabetes mellitus	JPST000974	fecal material	Osaka Prefecture	not available	mouse gut microbiome	not available	Porphyromonas gingivalis oral gavage	1 day	3	170927sy_PG_1day_3	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	10 ppm	0.8 Da	1	1	170927sy_PG_1day_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Porphyromonas gingivalis oral gavage	1 day
PG_1day_4	PG_1day_4	mouse gut metagenome	feces	not applicable	type 2 diabetes mellitus	JPST000974	fecal material	Osaka Prefecture	not available	mouse gut microbiome	not available	Porphyromonas gingivalis oral gavage	1 day	4	170927sy_PG_1day_4	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	10 ppm	0.8 Da	1	1	170927sy_PG_1day_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Porphyromonas gingivalis oral gavage	1 day
PG_1day_5	PG_1day_5	mouse gut metagenome	feces	not applicable	type 2 diabetes mellitus	JPST000974	fecal material	Osaka Prefecture	not available	mouse gut microbiome	not available	Porphyromonas gingivalis oral gavage	1 day	5	170927sy_PG_1day_5	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	10 ppm	0.8 Da	1	1	170927sy_PG_1day_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Porphyromonas gingivalis oral gavage	1 day
PG_sacri_1	PG_sacri_1	mouse gut metagenome	feces	not applicable	type 2 diabetes mellitus	JPST000974	fecal material	Osaka Prefecture	not available	mouse gut microbiome	not available	Porphyromonas gingivalis oral gavage	30 day	1	170927sy_PG_sacri_1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	10 ppm	0.8 Da	1	1	170927sy_PG_sacri_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Porphyromonas gingivalis oral gavage	30 day
PG_sacri_2	PG_sacri_2	mouse gut metagenome	feces	not applicable	type 2 diabetes mellitus	JPST000974	fecal material	Osaka Prefecture	not available	mouse gut microbiome	not available	Porphyromonas gingivalis oral gavage	30 day	2	170927sy_PG_sacri_2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	10 ppm	0.8 Da	1	1	170927sy_PG_sacri_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Porphyromonas gingivalis oral gavage	30 day
PG_sacri_3	PG_sacri_3	mouse gut metagenome	feces	not applicable	type 2 diabetes mellitus	JPST000974	fecal material	Osaka Prefecture	not available	mouse gut microbiome	not available	Porphyromonas gingivalis oral gavage	30 day	3	170927sy_PG_sacri_3	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	10 ppm	0.8 Da	1	1	170927sy_PG_sacri_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Porphyromonas gingivalis oral gavage	30 day
PG_sacri_4	PG_sacri_4	mouse gut metagenome	feces	not applicable	type 2 diabetes mellitus	JPST000974	fecal material	Osaka Prefecture	not available	mouse gut microbiome	not available	Porphyromonas gingivalis oral gavage	30 day	4	170927sy_PG_sacri_4	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	10 ppm	0.8 Da	1	1	170927sy_PG_sacri_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Porphyromonas gingivalis oral gavage	30 day
PG_sacri_5	PG_sacri_5	mouse gut metagenome	feces	not applicable	type 2 diabetes mellitus	JPST000974	fecal material	Osaka Prefecture	not available	mouse gut microbiome	not available	Porphyromonas gingivalis oral gavage	30 day	5	170927sy_PG_sacri_5	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	10 ppm	0.8 Da	1	1	170927sy_PG_sacri_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Porphyromonas gingivalis oral gavage	30 day
CMC_pool	CMC_pool	mouse gut metagenome	feces	not applicable	type 2 diabetes mellitus	JPST000974	fecal material	Osaka Prefecture	not available	mouse gut microbiome	not available	carboxymethyl cellulose vehicle	not available	1	200820RY_PRM_CMC1_yamashita	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;PP=Any N-term;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	10 ppm	0.8 Da	1	1	200820RY_PRM_CMC1_yamashita.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	carboxymethyl cellulose vehicle	not available
CMC_pool	CMC_pool	mouse gut metagenome	feces	not applicable	type 2 diabetes mellitus	JPST000974	fecal material	Osaka Prefecture	not available	mouse gut microbiome	not available	carboxymethyl cellulose vehicle	not available	1	200820RY_PRM_CMC2_yamashita	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;PP=Any N-term;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	10 ppm	0.8 Da	1	2	200820RY_PRM_CMC2_yamashita.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	carboxymethyl cellulose vehicle	not available
CMC_pool	CMC_pool	mouse gut metagenome	feces	not applicable	type 2 diabetes mellitus	JPST000974	fecal material	Osaka Prefecture	not available	mouse gut microbiome	not available	carboxymethyl cellulose vehicle	not available	1	200820RY_PRM_CMC_sakamoto	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;PP=Any N-term;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	10 ppm	0.8 Da	1	3	200820RY_PRM_CMC_sakamoto.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	carboxymethyl cellulose vehicle	not available
PG_pool	PG_pool	mouse gut metagenome	feces	not applicable	type 2 diabetes mellitus	JPST000974	fecal material	Osaka Prefecture	not available	mouse gut microbiome	not available	Porphyromonas gingivalis oral gavage	not available	1	200820RY_PRM_pg1_yamashita	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;PP=Any N-term;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	10 ppm	0.8 Da	1	1	200820RY_PRM_pg1_yamashita.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Porphyromonas gingivalis oral gavage	not available
