id	label	reason	evidence	n_raw	n_tissues_or_organs	primary_factor_candidate	instrument	quant	priority
PXD013868	promoted_datasets	Annotated datasets/PXD013868/ as 4 per-design conformant SDRFs (replacing the broken migrated file): PXD013868.sdrf.tsv (720), -phospho (120), -sec (240, flower/leaf/root), seed-chase (480, cycloheximide x 8/16/24h); all pass ms-proteomics+plants	PRIDE title Arabidopsis proteomic tissue atlas; deposited sdrf.tsv + RawfileAnnotations_Experiment.csv (Experiment series=Tissue atlas, Full proteome)	1561 (1560 annotated across 4 SDRFs)	8	organism part	Q Exactive HF	LFQ	1
PXD014032	promoted_datasets	Annotated datasets/PXD014032/ fully: PXD014032.sdrf.tsv (tissue, 24) + PXD014032-aba.sdrf.tsv (ABA vs ctl x 2/24/72h on rosette leaf, 54); DIA gas-phase fractionated	PRIDE + DOI 10.1038/s41597-019-0294-0; file names {N}{tissue}_{mz-window}Da_DIA_{rep}.raw; Methods (PMC6874543): rosette leaves sprayed +/- 100 uM ABA, harvested 2/24/72 h	78 (all)	4	organism part + ABA treatment x time	Orbitrap Fusion Lumos	DIA	2
PXD018814	promoted_datasets	Annotated datasets/PXD018814/ fully: PXD018814.sdrf.tsv (development full-proteome, 1728) + PXD018814-phospho.sdrf.tsv (phosphoproteome, 216); TMT10/TMT6, organism part from stage-code prefix; dev-stage codes decoded to Plant Ontology per Fig.1 legend (LF->rosette growth PO:0007113, FL->flowering PO:0007616, SQ->fruit development PO:0001002, EB->seed development PO:0001170); LFCT corrected leaf->cotyledon (BTO:0000300); Col-0 + growth condition filled	PRIDE title Expression profiling of Arabidopsis leaf, flower and fruit development; deposited Reporter/Raw annotation CSVs; Methods (PMC7547660) Fig.1: CT=cotyledons, LF=leaf, SQ=silique, EB=seed, FL=flower; Col-0, continuous white light 22C	216 (all)	4 (x dev stages)	organism part + developmental stage	Q Exactive HF	TMT	2
PXD012708	promoted_datasets	Annotated datasets/PXD012708/PXD012708.sdrf.tsv; 9-organ MudPIT proteome library (adds cotyledon/cauline leaf/rosette leaf), SCX-fractionated DDA, 474 rows; tissue in raw file names	PRIDE title Comprehensive Arabidopsis Proteome Spectral Library	474	8	organism part (library)	Orbitrap Fusion Lumos	DDA library	3
PXD012710	promoted_datasets	Annotated datasets/PXD012710/PXD012710.sdrf.tsv; TripleTOF companion organ library, 9 organs, SCX-fractionated, 361 .wiff rows; tissue in file names	PRIDE title Arabidopsis proteome spectral library	722	7	organism part (library)	TripleTOF 5600	DDA library	3
PRD000349	blocked	Landmark pep2pro 12-organ map but NO vendor RAW files deposited (only legacy PRIDE XML/MGF peak lists) — cannot annotate per RAW-file requirement	PRD title pep2pro TAIR9 wos organ-specific proteome map	unclear	12	organism part	LTQ	spectral counting	3
PRD000044	blocked	Organ-specific map but NO vendor RAW files (legacy PRIDE XML only)	PRD title A high-density organ-specific proteome map for Arabidopsis thaliana	unclear	9	organism part	LTQ	spectral counting	3
PXD005408	blocked	Mixed peak-list/SRM formats (mzXML/mgf + only 6 .wiff), MMAP targeted+discovery; no clean vendor RAW for the tissue-named runs and adds no new organs	PRIDE title Multiple Marker Abundance Profiling	unclear	7	organism part + assay type	TripleTOF 5600 / Q Exactive	NSAF/SRM	4
PXD019691	blocked	Only 6 iTRAQ raw files; tissue NOT in file names and no deposited iTRAQ channel->tissue key — sample mapping unrecoverable offline	PRIDE title Whole-Genome Wide Quantitative Proteomics ... Tissue-Specific Expression and Phosphorylation	unclear	5	organism part + PTM	LTQ Orbitrap Elite	iTRAQ	4
PXD031348	exclude	S-acylation atlas (hypocotyl/leaf/meristem/seedling/silique/stem) but primary aim is protein S-acylation (PTM enrichment), not expression	PRIDE title An atlas of Arabidopsis protein S-Acylation	unclear	6	PTM enrichment	Orbitrap Exploris 480	TIC	4
