source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[condition]	characteristics[spiked compound]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[file uri]	comment[sample preparation batch]	comment[study group]	comment[replicate provenance]	comment[annotation source]	comment[sdrf annotation tool]	comment[annotation provenance]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[sdrf template]	comment[annotation scope]	factor value[condition]
PXD019777_2H_T10_H_E4_R3	Homo sapiens	cell culture	not applicable	3	not applicable	not applicable	not applicable	not applicable	not applicable	E4	CT=mixture;CN=Ecoli:4.5	PXD019777_20200110_QE1_DDA_2H_T10_E4_R3	proteomic profiling by mass spectrometry	1	20200110_QE1_DDA_2H_T10_E4_R3.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD019777/20200110_QE1_DDA_2H_T10_E4_R3.raw	not applicable	2H_T10_H	Author Fig.3 independent samples R1-R3; technical/platform reassays share parent ID. Independent cell cultures not asserted.	https://www.ebi.ac.uk/pride/archive/projects/PXD019777 | https://doi.org/10.1038/s41467-021-25077-6 | https://www.ebi.ac.uk/pride/ws/archive/v2/projects/PXD019777 | https://pmc.ncbi.nlm.nih.gov/articles/PMC8352929/ | https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-021-25077-6/MediaObjects/41467_2021_25077_MOESM7_ESM.xlsx	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	not available	E4
PXD019777_blank_DDA_1H25_T10	not applicable	not applicable	not applicable	1	not applicable	not applicable	not applicable	not applicable	not applicable	blank injection	not applicable	20200110_QE1_DDA_1H25_T10_0_R3	proteomic profiling by mass spectrometry	3	20200110_QE1_DDA_1H25_T10_0_R3.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD019777/20200110_QE1_DDA_1H25_T10_0_R3.raw	not available	not available	Blank injection explicitly identified in author Supplementary Data 4/5, Info sheet (blank -> 0). R3 is the injection index; biological-replicate value 1 is a schema placeholder for a non-biological control, not an independent biological replicate.	https://www.ebi.ac.uk/pride/archive/projects/PXD019777 | https://pmc.ncbi.nlm.nih.gov/articles/PMC8352929/ | https://doi.org/10.1038/s41467-021-25077-6 (Supplementary Data 4 and 5, Info and run headers)	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	Original community blank acquisition retained as QC, outside biological and spike-in contrasts.	blank injection
PXD019777_2H_T10_H_H100_R2	Homo sapiens	cell culture	not applicable	2	not applicable	not applicable	not applicable	not applicable	not applicable	H100	CT=mixture;CN=Ecoli:0	PXD019777_20200110_QE1_DDA_2H_T10_H100_R2	proteomic profiling by mass spectrometry	1	20200110_QE1_DDA_2H_T10_H100_R2.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD019777/20200110_QE1_DDA_2H_T10_H100_R2.raw	not applicable	2H_T10_H	Author Fig.3 independent samples R1-R3; technical/platform reassays share parent ID. Independent cell cultures not asserted.	https://www.ebi.ac.uk/pride/archive/projects/PXD019777 | https://doi.org/10.1038/s41467-021-25077-6 | https://www.ebi.ac.uk/pride/ws/archive/v2/projects/PXD019777 | https://pmc.ncbi.nlm.nih.gov/articles/PMC8352929/ | https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-021-25077-6/MediaObjects/41467_2021_25077_MOESM7_ESM.xlsx	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	not available	H100
PXD019777_1H25_T10_M_E6_R2	Homo sapiens	cell culture	not applicable	2	not applicable	not applicable	not applicable	not applicable	not applicable	E6	CT=mixture;CN=Ecoli:6	PXD019777_20200110_QE1_DDA_1H25_T10_M_E6_R2	proteomic profiling by mass spectrometry	1	20200110_QE1_DDA_1H25_T10_M_E6_R2.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD019777/20200110_QE1_DDA_1H25_T10_M_E6_R2.raw	not applicable	1H25_T10_M	Author Fig.3 independent samples R1-R3; technical/platform reassays share parent ID. Independent cell cultures not asserted.	https://www.ebi.ac.uk/pride/archive/projects/PXD019777 | https://doi.org/10.1038/s41467-021-25077-6 | https://www.ebi.ac.uk/pride/ws/archive/v2/projects/PXD019777 | https://pmc.ncbi.nlm.nih.gov/articles/PMC8352929/ | https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-021-25077-6/MediaObjects/41467_2021_25077_MOESM7_ESM.xlsx	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	not available	E6
PXD019777_1H25_T10_M_E6_R1	Homo sapiens	cell culture	not applicable	1	not applicable	not applicable	not applicable	not applicable	not applicable	E6	CT=mixture;CN=Ecoli:6	PXD019777_20200110_QE1_DDA_1H25_T10_M_E6_R1	proteomic profiling by mass spectrometry	1	20200110_QE1_DDA_1H25_T10_M_E6_R1.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD019777/20200110_QE1_DDA_1H25_T10_M_E6_R1.raw	not applicable	1H25_T10_M	Author Fig.3 independent samples R1-R3; technical/platform reassays share parent ID. Independent cell cultures not asserted.	https://www.ebi.ac.uk/pride/archive/projects/PXD019777 | https://doi.org/10.1038/s41467-021-25077-6 | https://www.ebi.ac.uk/pride/ws/archive/v2/projects/PXD019777 | https://pmc.ncbi.nlm.nih.gov/articles/PMC8352929/ | https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-021-25077-6/MediaObjects/41467_2021_25077_MOESM7_ESM.xlsx	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	not available	E6
PXD019777_1H25_T5_L_H100_R1	Homo sapiens	cell culture	not applicable	1	not applicable	not applicable	not applicable	not applicable	not applicable	H100	CT=mixture;CN=Ecoli:0	PXD019777_20200121_QE1_DDA_1H25_T5_L_H100_R1	proteomic profiling by mass spectrometry	1	20200121_QE1_DDA_1H25_T5_L_H100_R1.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD019777/20200121_QE1_DDA_1H25_T5_L_H100_R1.raw	not applicable	1H25_T5_L	Author Fig.3 independent samples R1-R3; technical/platform reassays share parent ID. Independent cell cultures not asserted.	https://www.ebi.ac.uk/pride/archive/projects/PXD019777 | https://doi.org/10.1038/s41467-021-25077-6 | https://www.ebi.ac.uk/pride/ws/archive/v2/projects/PXD019777 | https://pmc.ncbi.nlm.nih.gov/articles/PMC8352929/ | https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-021-25077-6/MediaObjects/41467_2021_25077_MOESM7_ESM.xlsx	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	not available	H100
PXD019777_1H25_T10_L_E4_R3	Homo sapiens	cell culture	not applicable	3	not applicable	not applicable	not applicable	not applicable	not applicable	E4	CT=mixture;CN=Ecoli:4.5	PXD019777_20200110_QE1_DDA_1H25_T10_L_E4_R3	proteomic profiling by mass spectrometry	1	20200110_QE1_DDA_1H25_T10_L_E4_R3.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD019777/20200110_QE1_DDA_1H25_T10_L_E4_R3.raw	not applicable	1H25_T10_L	Author Fig.3 independent samples R1-R3; technical/platform reassays share parent ID. Independent cell cultures not asserted.	https://www.ebi.ac.uk/pride/archive/projects/PXD019777 | https://doi.org/10.1038/s41467-021-25077-6 | https://www.ebi.ac.uk/pride/ws/archive/v2/projects/PXD019777 | https://pmc.ncbi.nlm.nih.gov/articles/PMC8352929/ | https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-021-25077-6/MediaObjects/41467_2021_25077_MOESM7_ESM.xlsx	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	not available	E4
PXD019777_1H25_T10_L_E6_R2	Homo sapiens	cell culture	not applicable	2	not applicable	not applicable	not applicable	not applicable	not applicable	E6	CT=mixture;CN=Ecoli:6	PXD019777_20200110_QE1_DDA_1H25_T10_L_E6_R2	proteomic profiling by mass spectrometry	1	20200110_QE1_DDA_1H25_T10_L_E6_R2.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD019777/20200110_QE1_DDA_1H25_T10_L_E6_R2.raw	not applicable	1H25_T10_L	Author Fig.3 independent samples R1-R3; technical/platform reassays share parent ID. Independent cell cultures not asserted.	https://www.ebi.ac.uk/pride/archive/projects/PXD019777 | https://doi.org/10.1038/s41467-021-25077-6 | https://www.ebi.ac.uk/pride/ws/archive/v2/projects/PXD019777 | https://pmc.ncbi.nlm.nih.gov/articles/PMC8352929/ | https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-021-25077-6/MediaObjects/41467_2021_25077_MOESM7_ESM.xlsx	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	not available	E6
PXD019777_1H25_T20_M_E4_R3	Homo sapiens	cell culture	not applicable	3	not applicable	not applicable	not applicable	not applicable	not applicable	E4	CT=mixture;CN=Ecoli:4.5	PXD019777_20200110_QE1_DDA_1H25_T20_M_E4_R3	proteomic profiling by mass spectrometry	1	20200110_QE1_DDA_1H25_T20_M_E4_R3.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD019777/20200110_QE1_DDA_1H25_T20_M_E4_R3.raw	not applicable	1H25_T20_M	Author Fig.3 independent samples R1-R3; technical/platform reassays share parent ID. Independent cell cultures not asserted.	https://www.ebi.ac.uk/pride/archive/projects/PXD019777 | https://doi.org/10.1038/s41467-021-25077-6 | https://www.ebi.ac.uk/pride/ws/archive/v2/projects/PXD019777 | https://pmc.ncbi.nlm.nih.gov/articles/PMC8352929/ | https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-021-25077-6/MediaObjects/41467_2021_25077_MOESM7_ESM.xlsx	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	not available	E4
PXD019777_1H25_T10_L_E9_R3	Homo sapiens	not applicable	not applicable	3	not applicable	not available	not available	not available	not available	E9	CT=mixture;CN=Ecoli:9	PXD019777_20200110_QE1_DDA_1H25_T10_L_E9_R3	proteomic profiling by mass spectrometry	1	20200110_QE1_DDA_1H25_T10_L_E9_R3.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD019777/20200110_QE1_DDA_1H25_T10_L_E9_R3.raw	not applicable	1H25_T10_L	Author Fig.3 independent samples R1-R3; technical/platform reassays share parent ID. Independent cell cultures not asserted.	https://www.ebi.ac.uk/pride/archive/projects/PXD019777 | https://doi.org/10.1038/s41467-021-25077-6 | https://www.ebi.ac.uk/pride/ws/archive/v2/projects/PXD019777 | https://pmc.ncbi.nlm.nih.gov/articles/PMC8352929/ | https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-021-25077-6/MediaObjects/41467_2021_25077_MOESM7_ESM.xlsx	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	not available	E9
