source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	material type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[sdrf version]	comment[sdrf template]	comment[annotation source]	comment[sdrf annotation tool]	comment[annotation provenance]	factor value[condition]
Sample 1	Homo sapiens	not applicable	not applicable	not applicable	1	cell lysate	run 1	proteomic profiling by mass spectrometry	20230324_OLEP08_200ng_30min_E5H50Y45_180K_2Th3p5ms_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD046444/20230324_OLEP08_200ng_30min_E5H50Y45_180K_2Th3p5ms_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	25% NCE	10 ppm	20 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD046444 | https://doi.org/10.1038/S41587-023-02099-7	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	E5H50Y45
Sample 1	Homo sapiens	not applicable	not applicable	not applicable	1	cell lysate	run 2	proteomic profiling by mass spectrometry	20230324_OLEP08_200ng_30min_E5H50Y45_180K_2Th3p5ms_02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD046444/20230324_OLEP08_200ng_30min_E5H50Y45_180K_2Th3p5ms_02.raw	2	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	25% NCE	10 ppm	20 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD046444 | https://doi.org/10.1038/S41587-023-02099-7	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	E5H50Y45
Sample 1	Homo sapiens	not applicable	not applicable	not applicable	1	cell lysate	run 3	proteomic profiling by mass spectrometry	20230324_OLEP08_200ng_30min_E5H50Y45_180K_2Th3p5ms_03.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD046444/20230324_OLEP08_200ng_30min_E5H50Y45_180K_2Th3p5ms_03.raw	3	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	25% NCE	10 ppm	20 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD046444 | https://doi.org/10.1038/S41587-023-02099-7	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	E5H50Y45
Sample 2	Homo sapiens	not applicable	not applicable	not applicable	1	cell lysate	run 4	proteomic profiling by mass spectrometry	20230324_OLEP08_200ng_30min_E10H50Y40_180K_2Th3p5ms_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD046444/20230324_OLEP08_200ng_30min_E10H50Y40_180K_2Th3p5ms_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	25% NCE	10 ppm	20 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD046444 | https://doi.org/10.1038/S41587-023-02099-7	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	E10H50Y40
Sample 2	Homo sapiens	not applicable	not applicable	not applicable	1	cell lysate	run 5	proteomic profiling by mass spectrometry	20230324_OLEP08_200ng_30min_E10H50Y40_180K_2Th3p5ms_02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD046444/20230324_OLEP08_200ng_30min_E10H50Y40_180K_2Th3p5ms_02.raw	2	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	25% NCE	10 ppm	20 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD046444 | https://doi.org/10.1038/S41587-023-02099-7	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	E10H50Y40
Sample 2	Homo sapiens	not applicable	not applicable	not applicable	1	cell lysate	run 6	proteomic profiling by mass spectrometry	20230324_OLEP08_200ng_30min_E10H50Y40_180K_2Th3p5ms_03.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD046444/20230324_OLEP08_200ng_30min_E10H50Y40_180K_2Th3p5ms_03.raw	3	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	25% NCE	10 ppm	20 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD046444 | https://doi.org/10.1038/S41587-023-02099-7	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	E10H50Y40
Sample 3	Homo sapiens	not applicable	not applicable	not applicable	1	cell lysate	run 7	proteomic profiling by mass spectrometry	20230324_OLEP08_200ng_30min_E20H50Y30_180K_2Th3p5ms_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD046444/20230324_OLEP08_200ng_30min_E20H50Y30_180K_2Th3p5ms_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	25% NCE	10 ppm	20 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD046444 | https://doi.org/10.1038/S41587-023-02099-7	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	E20H50Y30
Sample 3	Homo sapiens	not applicable	not applicable	not applicable	1	cell lysate	run 8	proteomic profiling by mass spectrometry	20230324_OLEP08_200ng_30min_E20H50Y30_180K_2Th3p5ms_02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD046444/20230324_OLEP08_200ng_30min_E20H50Y30_180K_2Th3p5ms_02.raw	2	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	25% NCE	10 ppm	20 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD046444 | https://doi.org/10.1038/S41587-023-02099-7	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	E20H50Y30
Sample 3	Homo sapiens	not applicable	not applicable	not applicable	1	cell lysate	run 9	proteomic profiling by mass spectrometry	20230324_OLEP08_200ng_30min_E20H50Y30_180K_2Th3p5ms_03.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD046444/20230324_OLEP08_200ng_30min_E20H50Y30_180K_2Th3p5ms_03.raw	3	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	25% NCE	10 ppm	20 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD046444 | https://doi.org/10.1038/S41587-023-02099-7	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	E20H50Y30
Sample 4	Homo sapiens	not applicable	not applicable	not applicable	1	cell lysate	run 10	proteomic profiling by mass spectrometry	20230324_OLEP08_200ng_30min_E30H50Y20_180K_2Th3p5ms_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD046444/20230324_OLEP08_200ng_30min_E30H50Y20_180K_2Th3p5ms_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	25% NCE	10 ppm	20 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD046444 | https://doi.org/10.1038/S41587-023-02099-7	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	E30H50Y20
