source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[organism]
cat_skin_fibroblast_rep1	Felis catus	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	1	proteome_run_1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_CatBSF_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Felis catus;AC=NCBITaxon:9685
cat_skin_fibroblast_rep2	Felis catus	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	2	proteome_run_2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_CatBSF_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Felis catus;AC=NCBITaxon:9685
cat_skin_fibroblast_rep3	Felis catus	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	3	proteome_run_3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_CatBSF_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Felis catus;AC=NCBITaxon:9685
cat_skin_fibroblast_proteome_pool	Felis catus	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	SN=cat_skin_fibroblast_rep1;SN=cat_skin_fibroblast_rep2;SN=cat_skin_fibroblast_rep3	pooled	proteome_run_4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200226_Cat_mix_pro.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Felis catus;AC=NCBITaxon:9685
cow_skin_fibroblast_rep1	Bos taurus	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	1	proteome_run_5	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_CowBSF_A.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Bos taurus;AC=NCBITaxon:9913
cow_skin_fibroblast_rep2	Bos taurus	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	2	proteome_run_6	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_CowBSF_B.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Bos taurus;AC=NCBITaxon:9913
cow_skin_fibroblast_rep3	Bos taurus	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	3	proteome_run_7	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_CowBSF_C.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Bos taurus;AC=NCBITaxon:9913
cow_skin_fibroblast_proteome_pool	Bos taurus	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	SN=cow_skin_fibroblast_rep1;SN=cow_skin_fibroblast_rep2;SN=cow_skin_fibroblast_rep3	pooled	proteome_run_8	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200226_Cow_mix_pro.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Bos taurus;AC=NCBITaxon:9913
dog_skin_fibroblast_rep1	Canis lupus familiaris	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	1	proteome_run_9	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_DogSF_A.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Canis lupus familiaris;AC=NCBITaxon:9615
dog_skin_fibroblast_rep2	Canis lupus familiaris	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	2	proteome_run_10	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_DogSF_B.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Canis lupus familiaris;AC=NCBITaxon:9615
