source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[genotype]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	factor value[genotype]	factor value[organism part]
brain_dilp1_rep1	Drosophila melanogaster	brain	1	not applicable	tissue	third instar larva stage	not available	dilp1 heterozygous mutant (BDSC 78055)/+; tamas[D263A]/tamas[D263A]	20220219_EXPL4_FAS_SA_S669_Dm_Br_DILP1_F5_rep1_Evo65_88min_40w	proteomic profiling by mass spectrometry	1	20220219_EXPL4_FAS_SA_S669_Dm_Br_DILP1_F5_rep1_Evo65_88min_40w.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25.5% NCE;27.5% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1300m/z	300	1300	not available	dilp1 heterozygous mutant (BDSC 78055)/+; tamas[D263A]/tamas[D263A]	brain
brain_dilp1_rep2	Drosophila melanogaster	brain	2	not applicable	tissue	third instar larva stage	not available	dilp1 heterozygous mutant (BDSC 78055)/+; tamas[D263A]/tamas[D263A]	20220219_EXPL4_FAS_SA_S669_Dm_Br_DILP1_G5_rep2_Evo77_88min_40w	proteomic profiling by mass spectrometry	1	20220219_EXPL4_FAS_SA_S669_Dm_Br_DILP1_G5_rep2_Evo77_88min_40w.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25.5% NCE;27.5% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1300m/z	300	1300	not available	dilp1 heterozygous mutant (BDSC 78055)/+; tamas[D263A]/tamas[D263A]	brain
brain_dilp1_rep3	Drosophila melanogaster	brain	3	not applicable	tissue	third instar larva stage	not available	dilp1 heterozygous mutant (BDSC 78055)/+; tamas[D263A]/tamas[D263A]	20220219_EXPL4_FAS_SA_S669_Dm_Br_DILP1_H5_rep3_Evo89_88min_40w	proteomic profiling by mass spectrometry	1	20220219_EXPL4_FAS_SA_S669_Dm_Br_DILP1_H5_rep3_Evo89_88min_40w.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25.5% NCE;27.5% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1300m/z	300	1300	not available	dilp1 heterozygous mutant (BDSC 78055)/+; tamas[D263A]/tamas[D263A]	brain
brain_melt_rep1	Drosophila melanogaster	brain	1	not applicable	tissue	third instar larva stage	not available	melt heterozygous mutant (BDSC 19928)/+; tamas[D263A]/tamas[D263A]	20220219_EXPL4_FAS_SA_S669_Dm_Br_Melt_A4_rep1_Evo4_88min_40w	proteomic profiling by mass spectrometry	1	20220219_EXPL4_FAS_SA_S669_Dm_Br_Melt_A4_rep1_Evo4_88min_40w.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25.5% NCE;27.5% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1300m/z	300	1300	not available	melt heterozygous mutant (BDSC 19928)/+; tamas[D263A]/tamas[D263A]	brain
brain_melt_rep2	Drosophila melanogaster	brain	2	not applicable	tissue	third instar larva stage	not available	melt heterozygous mutant (BDSC 19928)/+; tamas[D263A]/tamas[D263A]	20220219_EXPL4_FAS_SA_S669_Dm_Br_Melt_B4_rep2_Evo16_88min_40w	proteomic profiling by mass spectrometry	1	20220219_EXPL4_FAS_SA_S669_Dm_Br_Melt_B4_rep2_Evo16_88min_40w.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25.5% NCE;27.5% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1300m/z	300	1300	not available	melt heterozygous mutant (BDSC 19928)/+; tamas[D263A]/tamas[D263A]	brain
brain_melt_rep3	Drosophila melanogaster	brain	3	not applicable	tissue	third instar larva stage	not available	melt heterozygous mutant (BDSC 19928)/+; tamas[D263A]/tamas[D263A]	20220219_EXPL4_FAS_SA_S669_Dm_Br_Melt_C4_rep3_Evo28_88min_40w	proteomic profiling by mass spectrometry	1	20220219_EXPL4_FAS_SA_S669_Dm_Br_Melt_C4_rep3_Evo28_88min_40w.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25.5% NCE;27.5% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1300m/z	300	1300	not available	melt heterozygous mutant (BDSC 19928)/+; tamas[D263A]/tamas[D263A]	brain
brain_mut_rep1	Drosophila melanogaster	brain	1	not applicable	tissue	third instar larva stage	wDah	tamas[D263A]/tamas[D263A] (POLgamma exo-, homozygous mtDNA mutator)	20220219_EXPL4_FAS_SA_S669_Dm_Br_Mut_E3_rep1_Evo51_88min_40w	proteomic profiling by mass spectrometry	1	20220219_EXPL4_FAS_SA_S669_Dm_Br_Mut_E3_rep1_Evo51_88min_40w.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25.5% NCE;27.5% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1300m/z	300	1300	not available	tamas[D263A]/tamas[D263A] (POLgamma exo-, homozygous mtDNA mutator)	brain
brain_mut_rep2	Drosophila melanogaster	brain	2	not applicable	tissue	third instar larva stage	wDah	tamas[D263A]/tamas[D263A] (POLgamma exo-, homozygous mtDNA mutator)	20220219_EXPL4_FAS_SA_S669_Dm_Br_Mut_F3_rep2_Evo63_88min_40w	proteomic profiling by mass spectrometry	1	20220219_EXPL4_FAS_SA_S669_Dm_Br_Mut_F3_rep2_Evo63_88min_40w.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25.5% NCE;27.5% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1300m/z	300	1300	not available	tamas[D263A]/tamas[D263A] (POLgamma exo-, homozygous mtDNA mutator)	brain
brain_mut_rep3	Drosophila melanogaster	brain	3	not applicable	tissue	third instar larva stage	wDah	tamas[D263A]/tamas[D263A] (POLgamma exo-, homozygous mtDNA mutator)	20220219_EXPL4_FAS_SA_S669_Dm_Br_Mut_G3_rep3_Evo75_88min_40w	proteomic profiling by mass spectrometry	1	20220219_EXPL4_FAS_SA_S669_Dm_Br_Mut_G3_rep3_Evo75_88min_40w.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25.5% NCE;27.5% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1300m/z	300	1300	not available	tamas[D263A]/tamas[D263A] (POLgamma exo-, homozygous mtDNA mutator)	brain
brain_mut_rep4	Drosophila melanogaster	brain	4	not applicable	tissue	third instar larva stage	wDah	tamas[D263A]/tamas[D263A] (POLgamma exo-, homozygous mtDNA mutator)	20220219_EXPL4_FAS_SA_S669_Dm_Br_Mut_H3_rep4_Evo87_88min_40w	proteomic profiling by mass spectrometry	1	20220219_EXPL4_FAS_SA_S669_Dm_Br_Mut_H3_rep4_Evo87_88min_40w.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25.5% NCE;27.5% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1300m/z	300	1300	not available	tamas[D263A]/tamas[D263A] (POLgamma exo-, homozygous mtDNA mutator)	brain
