source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[infection status]	characteristics[time point]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[time point]
plasma_24h_rep1	Bithynia siamensis goniomphalos	blood plasma	not available	1	infected	24 hpi	Plasma_24h_Rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Plasma_24h_Rep1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	24 hpi
plasma_24h_rep2	Bithynia siamensis goniomphalos	blood plasma	not available	2	infected	24 hpi	Plasma_24h_Rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Plasma_24h_Rep2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	24 hpi
plasma_24h_rep3	Bithynia siamensis goniomphalos	blood plasma	not available	3	infected	24 hpi	Plasma_24h_Rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Plasma_24h_Rep3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	24 hpi
plasma_48h_rep1	Bithynia siamensis goniomphalos	blood plasma	not available	1	infected	48 hpi	Plasma_48h_Rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Plasma_48h_Rep1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	48 hpi
plasma_48h_rep2	Bithynia siamensis goniomphalos	blood plasma	not available	2	infected	48 hpi	Plasma_48h_Rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Plasma_48h_Rep2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	48 hpi
plasma_48h_rep3	Bithynia siamensis goniomphalos	blood plasma	not available	3	infected	48 hpi	Plasma_48h_Rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Plasma_48h_Rep3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	48 hpi
plasma_96h_rep1	Bithynia siamensis goniomphalos	blood plasma	not available	1	infected	96 hpi	Plasma_96h_Rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Plasma_96h_Rep1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	96 hpi
plasma_96h_rep2	Bithynia siamensis goniomphalos	blood plasma	not available	2	infected	96 hpi	Plasma_96h_Rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Plasma_96h_Rep2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	96 hpi
plasma_96h_rep3	Bithynia siamensis goniomphalos	blood plasma	not available	3	infected	96 hpi	Plasma_96h_Rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Plasma_96h_Rep3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	96 hpi
hemocyte_0h_rep1	Bithynia siamensis goniomphalos	hemocyte	not available	1	uninfected	uninfected	SWATH_Hemocyte_0h_Rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	SWATH_Hemocyte_0h_Rep1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	uninfected
hemocyte_0h_rep2	Bithynia siamensis goniomphalos	hemocyte	not available	2	uninfected	uninfected	SWATH_Hemocyte_0h_Rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	SWATH_Hemocyte_0h_Rep2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	uninfected
hemocyte_0h_rep3	Bithynia siamensis goniomphalos	hemocyte	not available	3	uninfected	uninfected	SWATH_Hemocyte_0h_Rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	SWATH_Hemocyte_0h_Rep3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	uninfected
hemocyte_24h_rep1	Bithynia siamensis goniomphalos	hemocyte	not available	1	infected	24 hpi	SWATH_Hemocyte_24h_Rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	SWATH_Hemocyte_24h_Rep1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	24 hpi
hemocyte_24h_rep2	Bithynia siamensis goniomphalos	hemocyte	not available	2	infected	24 hpi	SWATH_Hemocyte_24h_Rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	SWATH_Hemocyte_24h_Rep2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	24 hpi
hemocyte_24h_rep3	Bithynia siamensis goniomphalos	hemocyte	not available	3	infected	24 hpi	SWATH_Hemocyte_24h_Rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	SWATH_Hemocyte_24h_Rep3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	24 hpi
hemocyte_48h_rep1	Bithynia siamensis goniomphalos	hemocyte	not available	1	infected	48 hpi	SWATH_Hemocyte_48h_Rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	SWATH_Hemocyte_48h_Rep1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	48 hpi
hemocyte_48h_rep2	Bithynia siamensis goniomphalos	hemocyte	not available	2	infected	48 hpi	SWATH_Hemocyte_48h_Rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	SWATH_Hemocyte_48h_Rep2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	48 hpi
hemocyte_48h_rep3	Bithynia siamensis goniomphalos	hemocyte	not available	3	infected	48 hpi	SWATH_Hemocyte_48h_Rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	SWATH_Hemocyte_48h_Rep3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	48 hpi
hemocyte_96h_rep1	Bithynia siamensis goniomphalos	hemocyte	not available	1	infected	96 hpi	SWATH_Hemocyte_96h_Rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	SWATH_Hemocyte_96h_Rep1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	96 hpi
hemocyte_96h_rep2	Bithynia siamensis goniomphalos	hemocyte	not available	2	infected	96 hpi	SWATH_Hemocyte_96h_Rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	SWATH_Hemocyte_96h_Rep2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	96 hpi
hemocyte_96h_rep3	Bithynia siamensis goniomphalos	hemocyte	not available	3	infected	96 hpi	SWATH_Hemocyte_96h_Rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	SWATH_Hemocyte_96h_Rep3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	96 hpi
plasma_0h_rep1	Bithynia siamensis goniomphalos	blood plasma	not available	1	uninfected	uninfected	SWATH_Plasma_0h_Rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	SWATH_Plasma_0h_Rep1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	uninfected
plasma_0h_rep2	Bithynia siamensis goniomphalos	blood plasma	not available	2	uninfected	uninfected	SWATH_Plasma_0h_Rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	SWATH_Plasma_0h_Rep2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	uninfected
plasma_0h_rep3	Bithynia siamensis goniomphalos	blood plasma	not available	3	uninfected	uninfected	SWATH_Plasma_0h_Rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	SWATH_Plasma_0h_Rep3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	uninfected
plasma_24h_rep1	Bithynia siamensis goniomphalos	blood plasma	not available	1	infected	24 hpi	SWATH_Plasma_24h_Rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	SWATH_Plasma_24h_Rep1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	24 hpi
plasma_24h_rep2	Bithynia siamensis goniomphalos	blood plasma	not available	2	infected	24 hpi	SWATH_Plasma_24h_Rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	SWATH_Plasma_24h_Rep2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	24 hpi
plasma_24h_rep3	Bithynia siamensis goniomphalos	blood plasma	not available	3	infected	24 hpi	SWATH_Plasma_24h_Rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	SWATH_Plasma_24h_Rep3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	24 hpi
plasma_48h_rep1	Bithynia siamensis goniomphalos	blood plasma	not available	1	infected	48 hpi	SWATH_Plasma_48h_Rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	SWATH_Plasma_48h_Rep1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	48 hpi
plasma_48h_rep2	Bithynia siamensis goniomphalos	blood plasma	not available	2	infected	48 hpi	SWATH_Plasma_48h_Rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	SWATH_Plasma_48h_Rep2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	48 hpi
plasma_48h_rep3	Bithynia siamensis goniomphalos	blood plasma	not available	3	infected	48 hpi	SWATH_Plasma_48h_Rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	SWATH_Plasma_48h_Rep3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	48 hpi
plasma_96h_rep1	Bithynia siamensis goniomphalos	blood plasma	not available	1	infected	96 hpi	SWATH_Plasma_96h_Rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	SWATH_Plasma_96h_Rep1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	96 hpi
plasma_96h_rep2	Bithynia siamensis goniomphalos	blood plasma	not available	2	infected	96 hpi	SWATH_Plasma_96h_Rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	SWATH_Plasma_96h_Rep2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	96 hpi
plasma_96h_rep3	Bithynia siamensis goniomphalos	blood plasma	not available	3	infected	96 hpi	SWATH_Plasma_96h_Rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	SWATH_Plasma_96h_Rep3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	96 hpi
