source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[cell type]	characteristics[condition]	characteristics[spiked compound]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	comment[study group]	comment[acquisition branch]	comment[replicate label]	comment[replicate provenance]	comment[annotation source]	comment[annotation provenance]	comment[annotation scope]	comment[sdrf template]	factor value[condition]
PXD044981_UPS2_10x	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	10x	CT=mixture;CN=UPS2	B000248_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio01_DDA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	B000248_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio01_DDA.raw	v1.1.0	not available	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B000248_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio01_DDA.raw	PXD044981	DDA	1	author-reported	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/ACS.JPROTEOME.4C00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	NT=ms-proteomics;VV=v1.1.0	10x
PXD044981_UPS2_5x	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	5x	CT=mixture;CN=UPS2	B000252_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DDA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	B000252_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DDA.raw	v1.1.0	not available	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B000252_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DDA.raw	PXD044981	DDA	1	author-reported	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/ACS.JPROTEOME.4C00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	NT=ms-proteomics;VV=v1.1.0	5x
PXD044981_UPS2_2.5x	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	2.5x	CT=mixture;CN=UPS2	B000256_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DDA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	B000256_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DDA.raw	v1.1.0	not available	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B000256_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DDA.raw	PXD044981	DDA	1	author-reported	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/ACS.JPROTEOME.4C00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	NT=ms-proteomics;VV=v1.1.0	2.5x
PXD044981_UPS2_1.25x	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	1.25x	CT=mixture;CN=UPS2	B000260_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DDA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	B000260_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DDA.raw	v1.1.0	not available	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B000260_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DDA.raw	PXD044981	DDA	1	author-reported	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/ACS.JPROTEOME.4C00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	NT=ms-proteomics;VV=v1.1.0	1.25x
PXD044981_UPS2_1x	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	1x	CT=mixture;CN=UPS2	B000264_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio10_DDA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	B000264_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio10_DDA.raw	v1.1.0	not available	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B000264_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio10_DDA.raw	PXD044981	DDA	1	author-reported	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/ACS.JPROTEOME.4C00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	NT=ms-proteomics;VV=v1.1.0	1x
B000268_Ap_6883_EXT-765_DIA_UPS2_Only_DDA	Homo sapiens	not applicable	not available	1	not available	UPS2_standard_library	not available	B000268_Ap_6883_EXT-765_DIA_UPS2_Only_DDA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	1	1	B000268_Ap_6883_EXT-765_DIA_UPS2_Only_DDA.raw	v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	not available	not available	not available	not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B000268_Ap_6883_EXT-765_DIA_UPS2_Only_DDA.raw	not available	not available	not available	not available	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/acs.jproteome.4c00048	not available	Separate DDA standard/library acquisition, not one of the yeast-UPS2 quantitative mixtures; role supported by deposited file name.	NT=ms-proteomics;VV=v1.1.0	UPS2_standard_library
PXD044981_UPS2_10x	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	10x	CT=mixture;CN=UPS2	B000272_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio01_DDA_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	2	1	B000272_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio01_DDA_2.raw	v1.1.0	not available	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B000272_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio01_DDA_2.raw	PXD044981	DDA	2	author-reported	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/ACS.JPROTEOME.4C00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	NT=ms-proteomics;VV=v1.1.0	10x
PXD044981_UPS2_5x	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	5x	CT=mixture;CN=UPS2	B000276_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DDA_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	2	1	B000276_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DDA_2.raw	v1.1.0	not available	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B000276_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DDA_2.raw	PXD044981	DDA	2	author-reported	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/ACS.JPROTEOME.4C00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	NT=ms-proteomics;VV=v1.1.0	5x
PXD044981_UPS2_2.5x	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	2.5x	CT=mixture;CN=UPS2	B000280_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DDA_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	2	1	B000280_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DDA_2.raw	v1.1.0	not available	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B000280_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DDA_2.raw	PXD044981	DDA	2	author-reported	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/ACS.JPROTEOME.4C00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	NT=ms-proteomics;VV=v1.1.0	2.5x
PXD044981_UPS2_1.25x	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	1.25x	CT=mixture;CN=UPS2	B000284_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DDA_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	2	1	B000284_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DDA_2.raw	v1.1.0	not available	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B000284_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DDA_2.raw	PXD044981	DDA	2	author-reported	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/ACS.JPROTEOME.4C00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	NT=ms-proteomics;VV=v1.1.0	1.25x
