source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[material type]	characteristics[sampling time]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[ms1 scan range]	factor value[sodium ascorbate concentration]
NCIB3610_10mM_BR1	Bacillus subtilis	not applicable	1	not pooled	not applicable	cell	24 hour	QE_151218_24_10_BR1	proteomic profiling by mass spectrometry	2	QE_151218_24_10_BR1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	400m/z-1600m/z	10 mM
NCIB3610_10mM_BR1	Bacillus subtilis	not applicable	1	not pooled	not applicable	cell	24 hour	QE_151218_25_10_BR1	proteomic profiling by mass spectrometry	3	QE_151218_25_10_BR1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	400m/z-1600m/z	10 mM
NCIB3610_10mM_BR2	Bacillus subtilis	not applicable	2	not pooled	not applicable	cell	24 hour	QE_151218_28_10_BR2	proteomic profiling by mass spectrometry	1	QE_151218_28_10_BR2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	400m/z-1600m/z	10 mM
NCIB3610_10mM_BR2	Bacillus subtilis	not applicable	2	not pooled	not applicable	cell	24 hour	QE_151218_29_10_BR2	proteomic profiling by mass spectrometry	2	QE_151218_29_10_BR2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	400m/z-1600m/z	10 mM
NCIB3610_10mM_BR2	Bacillus subtilis	not applicable	2	not pooled	not applicable	cell	24 hour	QE_151218_30_10_BR2	proteomic profiling by mass spectrometry	3	QE_151218_30_10_BR2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	400m/z-1600m/z	10 mM
NCIB3610_10mM_BR3	Bacillus subtilis	not applicable	3	not pooled	not applicable	cell	24 hour	QE_151218_33_10_BR3	proteomic profiling by mass spectrometry	1	QE_151218_33_10_BR3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	400m/z-1600m/z	10 mM
NCIB3610_10mM_BR3	Bacillus subtilis	not applicable	3	not pooled	not applicable	cell	24 hour	QE_151218_34_10_BR3	proteomic profiling by mass spectrometry	2	QE_151218_34_10_BR3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	400m/z-1600m/z	10 mM
NCIB3610_10mM_BR3	Bacillus subtilis	not applicable	3	not pooled	not applicable	cell	24 hour	QE_151218_35_10_BR3	proteomic profiling by mass spectrometry	3	QE_151218_35_10_BR3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	400m/z-1600m/z	10 mM
NCIB3610_20mM_BR1	Bacillus subtilis	not applicable	1	not pooled	not applicable	cell	24 hour	QE_151218_38_20_BR1	proteomic profiling by mass spectrometry	1	QE_151218_38_20_BR1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	400m/z-1600m/z	20 mM
NCIB3610_20mM_BR1	Bacillus subtilis	not applicable	1	not pooled	not applicable	cell	24 hour	QE_151218_39_20_BR1	proteomic profiling by mass spectrometry	2	QE_151218_39_20_BR1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	400m/z-1600m/z	20 mM
NCIB3610_20mM_BR1	Bacillus subtilis	not applicable	1	not pooled	not applicable	cell	24 hour	QE_151218_40_20_BR1	proteomic profiling by mass spectrometry	3	QE_151218_40_20_BR1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	400m/z-1600m/z	20 mM
NCIB3610_20mM_BR2	Bacillus subtilis	not applicable	2	not pooled	not applicable	cell	24 hour	QE_151218_43_20_BR2	proteomic profiling by mass spectrometry	1	QE_151218_43_20_BR2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	400m/z-1600m/z	20 mM
NCIB3610_20mM_BR2	Bacillus subtilis	not applicable	2	not pooled	not applicable	cell	24 hour	QE_151218_44_20_BR2	proteomic profiling by mass spectrometry	2	QE_151218_44_20_BR2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	400m/z-1600m/z	20 mM
NCIB3610_20mM_BR2	Bacillus subtilis	not applicable	2	not pooled	not applicable	cell	24 hour	QE_151218_45_20_BR2	proteomic profiling by mass spectrometry	3	QE_151218_45_20_BR2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	400m/z-1600m/z	20 mM
NCIB3610_20mM_BR3	Bacillus subtilis	not applicable	3	not pooled	not applicable	cell	24 hour	QE_151218_48_20_BR3	proteomic profiling by mass spectrometry	1	QE_151218_48_20_BR3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	400m/z-1600m/z	20 mM
NCIB3610_20mM_BR3	Bacillus subtilis	not applicable	3	not pooled	not applicable	cell	24 hour	QE_151218_49_20_BR3	proteomic profiling by mass spectrometry	2	QE_151218_49_20_BR3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	400m/z-1600m/z	20 mM
NCIB3610_20mM_BR3	Bacillus subtilis	not applicable	3	not pooled	not applicable	cell	24 hour	QE_151218_50_20_BR3	proteomic profiling by mass spectrometry	3	QE_151218_50_20_BR3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	400m/z-1600m/z	20 mM
NCIB3610_30mM_BR1	Bacillus subtilis	not applicable	1	not pooled	not applicable	cell	24 hour	QE_151218_53_30_BR1	proteomic profiling by mass spectrometry	1	QE_151218_53_30_BR1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	400m/z-1600m/z	30 mM
NCIB3610_30mM_BR1	Bacillus subtilis	not applicable	1	not pooled	not applicable	cell	24 hour	QE_151218_54_30_BR1	proteomic profiling by mass spectrometry	2	QE_151218_54_30_BR1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	400m/z-1600m/z	30 mM
NCIB3610_30mM_BR1	Bacillus subtilis	not applicable	1	not pooled	not applicable	cell	24 hour	QE_151218_55_30_BR1	proteomic profiling by mass spectrometry	3	QE_151218_55_30_BR1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	400m/z-1600m/z	30 mM
NCIB3610_30mM_BR2	Bacillus subtilis	not applicable	2	not pooled	not applicable	cell	24 hour	QE_151218_58_30_BR2	proteomic profiling by mass spectrometry	1	QE_151218_58_30_BR2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	400m/z-1600m/z	30 mM
NCIB3610_30mM_BR2	Bacillus subtilis	not applicable	2	not pooled	not applicable	cell	24 hour	QE_151218_59_30_BR2	proteomic profiling by mass spectrometry	2	QE_151218_59_30_BR2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	400m/z-1600m/z	30 mM
NCIB3610_30mM_BR2	Bacillus subtilis	not applicable	2	not pooled	not applicable	cell	24 hour	QE_151218_60_30_BR2	proteomic profiling by mass spectrometry	3	QE_151218_60_30_BR2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	400m/z-1600m/z	30 mM
NCIB3610_30mM_BR3	Bacillus subtilis	not applicable	3	not pooled	not applicable	cell	24 hour	QE_151218_63_30_BR3	proteomic profiling by mass spectrometry	1	QE_151218_63_30_BR3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	400m/z-1600m/z	30 mM
NCIB3610_30mM_BR3	Bacillus subtilis	not applicable	3	not pooled	not applicable	cell	24 hour	QE_151218_64_30_BR3	proteomic profiling by mass spectrometry	2	QE_151218_64_30_BR3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	400m/z-1600m/z	30 mM
NCIB3610_30mM_BR3	Bacillus subtilis	not applicable	3	not pooled	not applicable	cell	24 hour	QE_151218_65_30_BR3	proteomic profiling by mass spectrometry	3	QE_151218_65_30_BR3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	400m/z-1600m/z	30 mM
