source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[individual]	characteristics[biorepository]	characteristics[culture medium]	characteristics[sample storage temperature]	characteristics[passage number]	characteristics[material type]	characteristics[depletion]	characteristics[mass]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[ms2 mass analyzer]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[acquisition date]	comment[isolation window width]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
EASI6-2proteome_HeLa_1x_ch3	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	30Y6M	female	African American	adult	not available	ATCC	Dulbecco's Modified Eagle Medium	-80 °C	not available	cell line	no depletion	not available	1	run 17	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=Label;AC=PRIDE:0000514	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=EASI-tag;TA=K;MT=Fixed	NT=EASI-tag;PP=Any N-term;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	10 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	2018-01-11	not available	6	2	20180107_QX2_SeVW_SA_EASI6_HeLa_1-1-1-1-1-1_Yeast_1-3-10-10-3-1_fraction_6_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
EASI6-2proteome_HeLa_1x_ch4	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	30Y6M	female	African American	adult	not available	ATCC	Dulbecco's Modified Eagle Medium	-80 °C	not available	cell line	no depletion	not available	1	run 17	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=Label;AC=PRIDE:0000514	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=EASI-tag;TA=K;MT=Fixed	NT=EASI-tag;PP=Any N-term;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	10 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	2018-01-11	not available	6	2	20180107_QX2_SeVW_SA_EASI6_HeLa_1-1-1-1-1-1_Yeast_1-3-10-10-3-1_fraction_6_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
EASI6-2proteome_HeLa_1x_ch5	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	30Y6M	female	African American	adult	not available	ATCC	Dulbecco's Modified Eagle Medium	-80 °C	not available	cell line	no depletion	not available	1	run 17	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=Label;AC=PRIDE:0000514	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=EASI-tag;TA=K;MT=Fixed	NT=EASI-tag;PP=Any N-term;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	10 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	2018-01-11	not available	6	2	20180107_QX2_SeVW_SA_EASI6_HeLa_1-1-1-1-1-1_Yeast_1-3-10-10-3-1_fraction_6_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
EASI6-2proteome_HeLa_1x_ch6	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	30Y6M	female	African American	adult	not available	ATCC	Dulbecco's Modified Eagle Medium	-80 °C	not available	cell line	no depletion	not available	1	run 17	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=Label;AC=PRIDE:0000514	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=EASI-tag;TA=K;MT=Fixed	NT=EASI-tag;PP=Any N-term;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	10 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	2018-01-11	not available	6	2	20180107_QX2_SeVW_SA_EASI6_HeLa_1-1-1-1-1-1_Yeast_1-3-10-10-3-1_fraction_6_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
EASI6-2proteome_HeLa_1x_ch1	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	30Y6M	female	African American	adult	not available	ATCC	Dulbecco's Modified Eagle Medium	-80 °C	not available	cell line	no depletion	not available	1	run 18	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=Label;AC=PRIDE:0000514	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=EASI-tag;TA=K;MT=Fixed	NT=EASI-tag;PP=Any N-term;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	10 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	2018-01-17	not available	6	3	20180107_QX2_SeVW_SA_EASI6_HeLa_1-1-1-1-1-1_Yeast_1-3-10-10-3-1_fraction_6_3_180117075102.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
EASI6-2proteome_HeLa_1x_ch2	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	30Y6M	female	African American	adult	not available	ATCC	Dulbecco's Modified Eagle Medium	-80 °C	not available	cell line	no depletion	not available	1	run 18	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=Label;AC=PRIDE:0000514	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=EASI-tag;TA=K;MT=Fixed	NT=EASI-tag;PP=Any N-term;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	10 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	2018-01-17	not available	6	3	20180107_QX2_SeVW_SA_EASI6_HeLa_1-1-1-1-1-1_Yeast_1-3-10-10-3-1_fraction_6_3_180117075102.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
EASI6-2proteome_HeLa_1x_ch3	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	30Y6M	female	African American	adult	not available	ATCC	Dulbecco's Modified Eagle Medium	-80 °C	not available	cell line	no depletion	not available	1	run 18	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=Label;AC=PRIDE:0000514	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=EASI-tag;TA=K;MT=Fixed	NT=EASI-tag;PP=Any N-term;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	10 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	2018-01-17	not available	6	3	20180107_QX2_SeVW_SA_EASI6_HeLa_1-1-1-1-1-1_Yeast_1-3-10-10-3-1_fraction_6_3_180117075102.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
EASI6-2proteome_HeLa_1x_ch4	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	30Y6M	female	African American	adult	not available	ATCC	Dulbecco's Modified Eagle Medium	-80 °C	not available	cell line	no depletion	not available	1	run 18	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=Label;AC=PRIDE:0000514	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=EASI-tag;TA=K;MT=Fixed	NT=EASI-tag;PP=Any N-term;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	10 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	2018-01-17	not available	6	3	20180107_QX2_SeVW_SA_EASI6_HeLa_1-1-1-1-1-1_Yeast_1-3-10-10-3-1_fraction_6_3_180117075102.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
EASI6-2proteome_HeLa_1x_ch5	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	30Y6M	female	African American	adult	not available	ATCC	Dulbecco's Modified Eagle Medium	-80 °C	not available	cell line	no depletion	not available	1	run 18	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=Label;AC=PRIDE:0000514	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=EASI-tag;TA=K;MT=Fixed	NT=EASI-tag;PP=Any N-term;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	10 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	2018-01-17	not available	6	3	20180107_QX2_SeVW_SA_EASI6_HeLa_1-1-1-1-1-1_Yeast_1-3-10-10-3-1_fraction_6_3_180117075102.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
EASI6-2proteome_HeLa_1x_ch6	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	30Y6M	female	African American	adult	not available	ATCC	Dulbecco's Modified Eagle Medium	-80 °C	not available	cell line	no depletion	not available	1	run 18	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=Label;AC=PRIDE:0000514	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=EASI-tag;TA=K;MT=Fixed	NT=EASI-tag;PP=Any N-term;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	10 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	2018-01-17	not available	6	3	20180107_QX2_SeVW_SA_EASI6_HeLa_1-1-1-1-1-1_Yeast_1-3-10-10-3-1_fraction_6_3_180117075102.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
EASI6-2proteome_HeLa_1x_ch1	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	30Y6M	female	African American	adult	not available	ATCC	Dulbecco's Modified Eagle Medium	-80 °C	not available	cell line	no depletion	not available	1	run 19	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=Label;AC=PRIDE:0000514	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=EASI-tag;TA=K;MT=Fixed	NT=EASI-tag;PP=Any N-term;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	10 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	2018-01-08	not available	7	1	20180107_QX2_SeVW_SA_EASI6_HeLa_1-1-1-1-1-1_Yeast_1-3-10-10-3-1_fraction_7_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
EASI6-2proteome_HeLa_1x_ch2	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	30Y6M	female	African American	adult	not available	ATCC	Dulbecco's Modified Eagle Medium	-80 °C	not available	cell line	no depletion	not available	1	run 19	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=Label;AC=PRIDE:0000514	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=EASI-tag;TA=K;MT=Fixed	NT=EASI-tag;PP=Any N-term;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	10 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	2018-01-08	not available	7	1	20180107_QX2_SeVW_SA_EASI6_HeLa_1-1-1-1-1-1_Yeast_1-3-10-10-3-1_fraction_7_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
EASI6-2proteome_HeLa_1x_ch3	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	30Y6M	female	African American	adult	not available	ATCC	Dulbecco's Modified Eagle Medium	-80 °C	not available	cell line	no depletion	not available	1	run 19	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=Label;AC=PRIDE:0000514	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=EASI-tag;TA=K;MT=Fixed	NT=EASI-tag;PP=Any N-term;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	10 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	2018-01-08	not available	7	1	20180107_QX2_SeVW_SA_EASI6_HeLa_1-1-1-1-1-1_Yeast_1-3-10-10-3-1_fraction_7_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
EASI6-2proteome_HeLa_1x_ch4	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	30Y6M	female	African American	adult	not available	ATCC	Dulbecco's Modified Eagle Medium	-80 °C	not available	cell line	no depletion	not available	1	run 19	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=Label;AC=PRIDE:0000514	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=EASI-tag;TA=K;MT=Fixed	NT=EASI-tag;PP=Any N-term;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	10 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	2018-01-08	not available	7	1	20180107_QX2_SeVW_SA_EASI6_HeLa_1-1-1-1-1-1_Yeast_1-3-10-10-3-1_fraction_7_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
EASI6-2proteome_HeLa_1x_ch5	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	30Y6M	female	African American	adult	not available	ATCC	Dulbecco's Modified Eagle Medium	-80 °C	not available	cell line	no depletion	not available	1	run 19	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=Label;AC=PRIDE:0000514	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=EASI-tag;TA=K;MT=Fixed	NT=EASI-tag;PP=Any N-term;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	10 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	2018-01-08	not available	7	1	20180107_QX2_SeVW_SA_EASI6_HeLa_1-1-1-1-1-1_Yeast_1-3-10-10-3-1_fraction_7_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
EASI6-2proteome_HeLa_1x_ch6	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	30Y6M	female	African American	adult	not available	ATCC	Dulbecco's Modified Eagle Medium	-80 °C	not available	cell line	no depletion	not available	1	run 19	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=Label;AC=PRIDE:0000514	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=EASI-tag;TA=K;MT=Fixed	NT=EASI-tag;PP=Any N-term;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	10 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	2018-01-08	not available	7	1	20180107_QX2_SeVW_SA_EASI6_HeLa_1-1-1-1-1-1_Yeast_1-3-10-10-3-1_fraction_7_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
EASI6-2proteome_HeLa_1x_ch1	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	30Y6M	female	African American	adult	not available	ATCC	Dulbecco's Modified Eagle Medium	-80 °C	not available	cell line	no depletion	not available	1	run 20	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=Label;AC=PRIDE:0000514	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=EASI-tag;TA=K;MT=Fixed	NT=EASI-tag;PP=Any N-term;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	10 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	2018-01-11	not available	7	2	20180107_QX2_SeVW_SA_EASI6_HeLa_1-1-1-1-1-1_Yeast_1-3-10-10-3-1_fraction_7_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
EASI6-2proteome_HeLa_1x_ch2	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	30Y6M	female	African American	adult	not available	ATCC	Dulbecco's Modified Eagle Medium	-80 °C	not available	cell line	no depletion	not available	1	run 20	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=Label;AC=PRIDE:0000514	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=EASI-tag;TA=K;MT=Fixed	NT=EASI-tag;PP=Any N-term;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	10 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	2018-01-11	not available	7	2	20180107_QX2_SeVW_SA_EASI6_HeLa_1-1-1-1-1-1_Yeast_1-3-10-10-3-1_fraction_7_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
EASI6-2proteome_HeLa_1x_ch3	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	30Y6M	female	African American	adult	not available	ATCC	Dulbecco's Modified Eagle Medium	-80 °C	not available	cell line	no depletion	not available	1	run 20	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=Label;AC=PRIDE:0000514	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=EASI-tag;TA=K;MT=Fixed	NT=EASI-tag;PP=Any N-term;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	10 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	2018-01-11	not available	7	2	20180107_QX2_SeVW_SA_EASI6_HeLa_1-1-1-1-1-1_Yeast_1-3-10-10-3-1_fraction_7_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
