source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[age]	characteristics[ancestry category]	characteristics[strain or breed]	characteristics[genotype]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]
10w_DCIS_4	Homo sapiens	mammary gland	not applicable	tissue	ductal breast carcinoma in situ	adult	not available	not available	not available	not available	DCIS xenograft	4	20190830_10wDCIS4_R2	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	2	20190830_10wDCIS4_R2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	ductal breast carcinoma in situ
10w_DCIS_3	Homo sapiens	mammary gland	not applicable	tissue	ductal breast carcinoma in situ	adult	not available	not available	not available	not available	DCIS xenograft	3	20190917_10wDCIS3_R1	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	1	20190917_10wDCIS3_R1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	ductal breast carcinoma in situ
4w_DCIS_9	Homo sapiens	mammary gland	not applicable	tissue	ductal breast carcinoma in situ	adult	not available	not available	not available	not available	DCIS xenograft	9	20190830_4wDCIS9_R2	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	2	20190830_4wDCIS9_R2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	ductal breast carcinoma in situ
6w_DCIS_5	Homo sapiens	mammary gland	not applicable	tissue	ductal breast carcinoma in situ	adult	not available	not available	not available	not available	DCIS xenograft	5	20190830_6wDCIS5_R1	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	1	20190830_6wDCIS5_R1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	ductal breast carcinoma in situ
13w_CA_4	Homo sapiens	mammary gland	not applicable	tissue	breast carcinoma	adult	not available	not available	not available	not available	DCIS xenograft	4	20190830_13wCA1H4_R1	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	1	20190830_13wCA1H4_R1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	breast carcinoma
13w_CA_3	Homo sapiens	mammary gland	not applicable	tissue	breast carcinoma	adult	not available	not available	not available	not available	DCIS xenograft	3	20190830_13wCA1h3_R1	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	1	20190830_13wCA1h3_R1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	breast carcinoma
13w_CA_3	Homo sapiens	mammary gland	not applicable	tissue	breast carcinoma	adult	not available	not available	not available	not available	DCIS xenograft	3	20190830_13wCA1h3_R2	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	2	20190830_13wCA1h3_R2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	breast carcinoma
10w_DCIS_7	Homo sapiens	mammary gland	not applicable	tissue	ductal breast carcinoma in situ	adult	not available	not available	not available	not available	DCIS xenograft	7	20190830_10wDCIS7_R1	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	1	20190830_10wDCIS7_R1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	ductal breast carcinoma in situ
13w_CA_5	Homo sapiens	mammary gland	not applicable	tissue	breast carcinoma	adult	not available	not available	not available	not available	DCIS xenograft	5	20190830_13wCA1H5_R2	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	2	20190830_13wCA1H5_R2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	breast carcinoma
10w_DCIS_7	Homo sapiens	mammary gland	not applicable	tissue	ductal breast carcinoma in situ	adult	not available	not available	not available	not available	DCIS xenograft	7	20190830_10wDCIS7_R2	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	2	20190830_10wDCIS7_R2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	ductal breast carcinoma in situ
4w_DCIS_10	Homo sapiens	mammary gland	not applicable	tissue	ductal breast carcinoma in situ	adult	not available	not available	not available	not available	DCIS xenograft	10	20190830_4wDCIS10_R1	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	1	20190830_4wDCIS10_R1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	ductal breast carcinoma in situ
6w_DCIS_4	Homo sapiens	mammary gland	not applicable	tissue	ductal breast carcinoma in situ	adult	not available	not available	not available	not available	DCIS xenograft	4	20190830_6wDCIS4_R1	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	1	20190830_6wDCIS4_R1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	ductal breast carcinoma in situ
6w_DCIS_4	Homo sapiens	mammary gland	not applicable	tissue	ductal breast carcinoma in situ	adult	not available	not available	not available	not available	DCIS xenograft	4	20190830_6wDCIS4_R2	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	2	20190830_6wDCIS4_R2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	ductal breast carcinoma in situ
13w_CA_1	Homo sapiens	mammary gland	not applicable	tissue	breast carcinoma	adult	not available	not available	not available	not available	DCIS xenograft	1	20190830_13wCA1H1_R2	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	2	20190830_13wCA1H1_R2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	breast carcinoma
10w_DCIS_4	Homo sapiens	mammary gland	not applicable	tissue	ductal breast carcinoma in situ	adult	not available	not available	not available	not available	DCIS xenograft	4	20190830_10wDCIS4_R1	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	1	20190830_10wDCIS4_R1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	ductal breast carcinoma in situ
4w_DCIS_12	Homo sapiens	mammary gland	not applicable	tissue	ductal breast carcinoma in situ	adult	not available	not available	not available	not available	DCIS xenograft	12	20190830_4wDCIS12_R1	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	1	20190830_4wDCIS12_R1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	ductal breast carcinoma in situ
6w_DCIS_5	Homo sapiens	mammary gland	not applicable	tissue	ductal breast carcinoma in situ	adult	not available	not available	not available	not available	DCIS xenograft	5	20190830_6wDCIS5_R2	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	2	20190830_6wDCIS5_R2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	ductal breast carcinoma in situ
13w_CA_5	Homo sapiens	mammary gland	not applicable	tissue	breast carcinoma	adult	not available	not available	not available	not available	DCIS xenograft	5	20190830_13wCA1H5_R1	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	1	20190830_13wCA1H5_R1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	breast carcinoma
10w_DCIS_8	Homo sapiens	mammary gland	not applicable	tissue	ductal breast carcinoma in situ	adult	not available	not available	not available	not available	DCIS xenograft	8	20190830_10wDCIS8_R1	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	1	20190830_10wDCIS8_R1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	ductal breast carcinoma in situ
