source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[material type]	characteristics[phenotype]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[phenotype]
Tcell_activated_cell_bio1	Homo sapiens	not available	T cell	normal	adult	not available	not available	not available	cell	activated T cell	1	assay_MS227362QEHF_Mengying_Lyden_Activated_T-1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	MS227362QEHF_Mengying_Lyden_Activated_T-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	activated T cell
Tcell_activated_cell_bio1	Homo sapiens	not available	T cell	normal	adult	not available	not available	not available	cell	activated T cell	1	assay_MS227362QEHF_Mengying_Lyden_Activated_T-2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	MS227362QEHF_Mengying_Lyden_Activated_T-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	activated T cell
Tcell_naive_cell_bio1	Homo sapiens	not available	T cell	normal	adult	not available	not available	not available	cell	naive T cell	1	assay_MS227362QEHF_Mengying_Lyden_naive_T-1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	MS227362QEHF_Mengying_Lyden_naive_T-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	naive T cell
Tcell_naive_cell_bio1	Homo sapiens	not available	T cell	normal	adult	not available	not available	not available	cell	naive T cell	1	assay_MS227362QEHF_Mengying_Lyden_naive_T-2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	MS227362QEHF_Mengying_Lyden_naive_T-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	naive T cell
Tcell_activated_EV_bio1	Homo sapiens	not available	T cell	normal	adult	not available	not available	not available	cell	activated T cell	1	assay_MS238258LUM_Mengying_Lyden_hATexo1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	MS238258LUM_Mengying_Lyden_hATexo1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	activated T cell
Tcell_activated_EV_bio2	Homo sapiens	not available	T cell	normal	adult	not available	not available	not available	cell	activated T cell	2	assay_MS238258LUM_Mengying_Lyden_hATexo2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	MS238258LUM_Mengying_Lyden_hATexo2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	activated T cell
Tcell_activated_EV_bio3	Homo sapiens	not available	T cell	normal	adult	not available	not available	not available	cell	activated T cell	3	assay_MS238258LUM_Mengying_Lyden_hATexo3	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	MS238258LUM_Mengying_Lyden_hATexo3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	activated T cell
Tcell_activated_EV_bio4	Homo sapiens	not available	T cell	normal	adult	not available	not available	not available	cell	activated T cell	4	assay_MS238258LUM_Mengying_Lyden_hATexo4	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	MS238258LUM_Mengying_Lyden_hATexo4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	activated T cell
Tcell_naive_EV_bio1	Homo sapiens	not available	T cell	normal	adult	not available	not available	not available	cell	naive T cell	1	assay_MS238258LUM_Mengying_Lyden_hNTexo1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	MS238258LUM_Mengying_Lyden_hNTexo1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	naive T cell
Tcell_naive_EV_bio2	Homo sapiens	not available	T cell	normal	adult	not available	not available	not available	cell	naive T cell	2	assay_MS238258LUM_Mengying_Lyden_hNTexo2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	MS238258LUM_Mengying_Lyden_hNTexo2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	naive T cell
