source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[disease]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell line]
Control_1	Homo sapiens	Kidney	HEK-293 cell	HEK293	CVCL_0045	1	normal	not available	not available	run_1	proteomic profiling by mass spectrometry	1	Control_1.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	HCD	10 ppm	0.02 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HEK293
Control_2	Homo sapiens	Kidney	HEK-293 cell	HEK293	CVCL_0045	2	normal	not available	not available	run_1	proteomic profiling by mass spectrometry	2	Control_2.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	HCD	10 ppm	0.02 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HEK293
Control_3	Homo sapiens	Kidney	HEK-293 cell	HEK293	CVCL_0045	3	normal	not available	not available	run_1	proteomic profiling by mass spectrometry	3	Control_3.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	HCD	10 ppm	0.02 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HEK293
SingleL_1	Homo sapiens	Kidney	HEK-293 cell	HEK293	CVCL_0045	1	normal	not available	not available	run_1	proteomic profiling by mass spectrometry	1	SingleL_1.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	HCD	10 ppm	0.02 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HEK293
SingleL_2	Homo sapiens	Kidney	HEK-293 cell	HEK293	CVCL_0045	2	normal	not available	not available	run_1	proteomic profiling by mass spectrometry	2	SingleL_2.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	HCD	10 ppm	0.02 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HEK293
SingleL_3	Homo sapiens	Kidney	HEK-293 cell	HEK293	CVCL_0045	3	normal	not available	not available	run_1	proteomic profiling by mass spectrometry	3	SingleL_3.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	HCD	10 ppm	0.02 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HEK293
SingleH_1	Homo sapiens	Kidney	HEK-293 cell	HEK293	CVCL_0045	1	normal	not available	not available	run_1	proteomic profiling by mass spectrometry	1	SingleH_1.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	HCD	10 ppm	0.02 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HEK293
SingleH_2	Homo sapiens	Kidney	HEK-293 cell	HEK293	CVCL_0045	2	normal	not available	not available	run_1	proteomic profiling by mass spectrometry	2	SingleH_2.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	HCD	10 ppm	0.02 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HEK293
SingleH_3	Homo sapiens	Kidney	HEK-293 cell	HEK293	CVCL_0045	3	normal	not available	not available	run_1	proteomic profiling by mass spectrometry	3	SingleH_3.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	HCD	10 ppm	0.02 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HEK293
Triple1_1	Homo sapiens	Kidney	HEK-293 cell	HEK293	CVCL_0045	1	normal	not available	not available	run_1	proteomic profiling by mass spectrometry	1	Triple1_1.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	HCD	10 ppm	0.02 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HEK293
Triple1_2	Homo sapiens	Kidney	HEK-293 cell	HEK293	CVCL_0045	2	normal	not available	not available	run_1	proteomic profiling by mass spectrometry	2	Triple1_2.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	HCD	10 ppm	0.02 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HEK293
Triple1_3	Homo sapiens	Kidney	HEK-293 cell	HEK293	CVCL_0045	3	normal	not available	not available	run_1	proteomic profiling by mass spectrometry	3	Triple1_3.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	HCD	10 ppm	0.02 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HEK293
