source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[condition]	characteristics[spiked compound]	characteristics[spiked compound]	assay name	technology type	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[study group]	comment[replicate provenance]	comment[search parameter source]	comment[sdrf version]	comment[sdrf template]	comment[annotation source]	comment[sdrf annotation tool]	comment[annotation provenance]	factor value[condition]
PXD003841_DigLiq_UPS1_0.5fmol_prep1	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	DigLiq_UPS1_0.5fmol	CT=mixture;CN=UPS1 standard;SP=Homo sapiens;QY=0.5 fmol	not applicable	PXD003841_QE07039	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	20 ppm	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QE07039.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/10/PXD003841/QE07039.raw	DigLiq	triplicate sample preparations per dose and protocol; preparation numbers from author Experiment column; no biological replication claimed	Author-deposited Liquid_digestion-txt.zip summary.txt and parameters.txt; precursor tolerance not recorded	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD003841 | https://doi.org/10.1002/pmic.201600288	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	DigLiq_UPS1_0.5fmol
PXD003841_DigLiq_UPS1_0.5fmol_prep2	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	DigLiq_UPS1_0.5fmol	CT=mixture;CN=UPS1 standard;SP=Homo sapiens;QY=0.5 fmol	not applicable	PXD003841_QE06949	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	20 ppm	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QE06949.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/10/PXD003841/QE06949.raw	DigLiq	triplicate sample preparations per dose and protocol; preparation numbers from author Experiment column; no biological replication claimed	Author-deposited Liquid_digestion-txt.zip summary.txt and parameters.txt; precursor tolerance not recorded	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD003841 | https://doi.org/10.1002/pmic.201600288	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	DigLiq_UPS1_0.5fmol
PXD003841_DigLiq_UPS1_0.5fmol_prep3	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	DigLiq_UPS1_0.5fmol	CT=mixture;CN=UPS1 standard;SP=Homo sapiens;QY=0.5 fmol	not applicable	PXD003841_QE06991	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	20 ppm	3	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QE06991.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/10/PXD003841/QE06991.raw	DigLiq	triplicate sample preparations per dose and protocol; preparation numbers from author Experiment column; no biological replication claimed	Author-deposited Liquid_digestion-txt.zip summary.txt and parameters.txt; precursor tolerance not recorded	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD003841 | https://doi.org/10.1002/pmic.201600288	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	DigLiq_UPS1_0.5fmol
PXD003841_DigLiq_UPS1_10fmol_prep1	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	DigLiq_UPS1_10fmol	CT=mixture;CN=UPS1 standard;SP=Homo sapiens;QY=10 fmol	not applicable	PXD003841_QE07024	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	20 ppm	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QE07024.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/10/PXD003841/QE07024.raw	DigLiq	triplicate sample preparations per dose and protocol; preparation numbers from author Experiment column; no biological replication claimed	Author-deposited Liquid_digestion-txt.zip summary.txt and parameters.txt; precursor tolerance not recorded	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD003841 | https://doi.org/10.1002/pmic.201600288	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	DigLiq_UPS1_10fmol
PXD003841_DigLiq_UPS1_10fmol_prep2	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	DigLiq_UPS1_10fmol	CT=mixture;CN=UPS1 standard;SP=Homo sapiens;QY=10 fmol	not applicable	PXD003841_QE06923	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	20 ppm	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QE06923.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/10/PXD003841/QE06923.raw	DigLiq	triplicate sample preparations per dose and protocol; preparation numbers from author Experiment column; no biological replication claimed	Author-deposited Liquid_digestion-txt.zip summary.txt and parameters.txt; precursor tolerance not recorded	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD003841 | https://doi.org/10.1002/pmic.201600288	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	DigLiq_UPS1_10fmol
PXD003841_DigLiq_UPS1_10fmol_prep3	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	DigLiq_UPS1_10fmol	CT=mixture;CN=UPS1 standard;SP=Homo sapiens;QY=10 fmol	not applicable	PXD003841_QE06978	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	20 ppm	3	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QE06978.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/10/PXD003841/QE06978.raw	DigLiq	triplicate sample preparations per dose and protocol; preparation numbers from author Experiment column; no biological replication claimed	Author-deposited Liquid_digestion-txt.zip summary.txt and parameters.txt; precursor tolerance not recorded	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD003841 | https://doi.org/10.1002/pmic.201600288	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	DigLiq_UPS1_10fmol
PXD003841_DigLiq_UPS1_1fmol_prep1	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	DigLiq_UPS1_1fmol	CT=mixture;CN=UPS1 standard;SP=Homo sapiens;QY=1 fmol	not applicable	PXD003841_QE07011	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	20 ppm	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QE07011.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/10/PXD003841/QE07011.raw	DigLiq	triplicate sample preparations per dose and protocol; preparation numbers from author Experiment column; no biological replication claimed	Author-deposited Liquid_digestion-txt.zip summary.txt and parameters.txt; precursor tolerance not recorded	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD003841 | https://doi.org/10.1002/pmic.201600288	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	DigLiq_UPS1_1fmol
PXD003841_DigLiq_UPS1_1fmol_prep2	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	DigLiq_UPS1_1fmol	CT=mixture;CN=UPS1 standard;SP=Homo sapiens;QY=1 fmol	not applicable	PXD003841_QE06942	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	20 ppm	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QE06942.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/10/PXD003841/QE06942.raw	DigLiq	triplicate sample preparations per dose and protocol; preparation numbers from author Experiment column; no biological replication claimed	Author-deposited Liquid_digestion-txt.zip summary.txt and parameters.txt; precursor tolerance not recorded	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD003841 | https://doi.org/10.1002/pmic.201600288	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	DigLiq_UPS1_1fmol
PXD003841_DigLiq_UPS1_1fmol_prep3	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	DigLiq_UPS1_1fmol	CT=mixture;CN=UPS1 standard;SP=Homo sapiens;QY=1 fmol	not applicable	PXD003841_QE06971	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	20 ppm	3	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QE06971.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/10/PXD003841/QE06971.raw	DigLiq	triplicate sample preparations per dose and protocol; preparation numbers from author Experiment column; no biological replication claimed	Author-deposited Liquid_digestion-txt.zip summary.txt and parameters.txt; precursor tolerance not recorded	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD003841 | https://doi.org/10.1002/pmic.201600288	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	DigLiq_UPS1_1fmol
PXD003841_DigLiq_UPS1_2.5fmol_prep1	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	DigLiq_UPS1_2.5fmol	CT=mixture;CN=UPS1 standard;SP=Homo sapiens;QY=2.5 fmol	not applicable	PXD003841_QE07015	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	20 ppm	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QE07015.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/10/PXD003841/QE07015.raw	DigLiq	triplicate sample preparations per dose and protocol; preparation numbers from author Experiment column; no biological replication claimed	Author-deposited Liquid_digestion-txt.zip summary.txt and parameters.txt; precursor tolerance not recorded	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD003841 | https://doi.org/10.1002/pmic.201600288	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	DigLiq_UPS1_2.5fmol
