source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[condition]	characteristics[spiked compound]	assay name	technology type	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[study group]	comment[run role]	comment[acquisition branch]	comment[replicate provenance]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[spike amount]	comment[spike amount basis]	comment[injected background amount]	comment[gradient duration]	comment[original biological sample]	comment[annotation source]	comment[annotation provenance]	factor value[condition]
PXD003472_D1_yeast_only	Saccharomyces cerevisiae	not applicable	not available	not applicable	1	yeast_only	not applicable	PXD003472_QExactiveHF_D1__500ng_120min	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	4	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExactiveHF_D1__500ng_120min.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003472/QExactiveHF_D1__500ng_120min.raw	PXD003472	benchmark	QExactiveHF_120min	Jarnuczak et al. 2016 Materials and Methods: four biological yeast cultures; filename D1-D4; same culture-derived material reused across instrument/gradient branches	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	0	on column; UPS2 quantities vary by protein; Ecoli is total digest mass	500 ng	120 min	D1	https://www.ebi.ac.uk/pride/archive/projects/PXD003472 | https://doi.org/10.1021/acs.jproteome.6b00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	yeast_only
PXD003472_D1_Ecoli	Saccharomyces cerevisiae	not applicable	not available	not applicable	1	Ecoli	CT=mixture;CN=Ecoli	PXD003472_QExactiveHF_D1__500ng_500ugEcoli_120min	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExactiveHF_D1__500ng_500ugEcoli_120min.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003472/QExactiveHF_D1__500ng_500ugEcoli_120min.raw	PXD003472	benchmark	QExactiveHF_120min	Jarnuczak et al. 2016 Materials and Methods: four biological yeast cultures; filename D1-D4; same culture-derived material reused across instrument/gradient branches	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	500 ng	on column; UPS2 quantities vary by protein; Ecoli is total digest mass	500 ng	120 min	D1	https://www.ebi.ac.uk/pride/archive/projects/PXD003472 | https://doi.org/10.1021/acs.jproteome.6b00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Ecoli
PXD003472_D1_yeast_only	Saccharomyces cerevisiae	not applicable	not available	not applicable	1	yeast_only	not applicable	PXD003472_QExactiveHF_D1__500ng_60min	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	3	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExactiveHF_D1__500ng_60min.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003472/QExactiveHF_D1__500ng_60min.raw	PXD003472	benchmark	QExactiveHF_60min	Jarnuczak et al. 2016 Materials and Methods: four biological yeast cultures; filename D1-D4; same culture-derived material reused across instrument/gradient branches	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	0	on column; UPS2 quantities vary by protein; Ecoli is total digest mass	500 ng	60 min	D1	https://www.ebi.ac.uk/pride/archive/projects/PXD003472 | https://doi.org/10.1021/acs.jproteome.6b00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	yeast_only
PXD003472_D2_yeast_only	Saccharomyces cerevisiae	not applicable	not available	not applicable	2	yeast_only	not applicable	PXD003472_QExactiveHF_D2__500ng_120min	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	4	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExactiveHF_D2__500ng_120min.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003472/QExactiveHF_D2__500ng_120min.raw	PXD003472	benchmark	QExactiveHF_120min	Jarnuczak et al. 2016 Materials and Methods: four biological yeast cultures; filename D1-D4; same culture-derived material reused across instrument/gradient branches	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	0	on column; UPS2 quantities vary by protein; Ecoli is total digest mass	500 ng	120 min	D2	https://www.ebi.ac.uk/pride/archive/projects/PXD003472 | https://doi.org/10.1021/acs.jproteome.6b00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	yeast_only
PXD003472_D2_Ecoli	Saccharomyces cerevisiae	not applicable	not available	not applicable	2	Ecoli	CT=mixture;CN=Ecoli	PXD003472_QExactiveHF_D2__500ng_500ugEcoli_120min	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExactiveHF_D2__500ng_500ugEcoli_120min.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003472/QExactiveHF_D2__500ng_500ugEcoli_120min.raw	PXD003472	benchmark	QExactiveHF_120min	Jarnuczak et al. 2016 Materials and Methods: four biological yeast cultures; filename D1-D4; same culture-derived material reused across instrument/gradient branches	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	500 ng	on column; UPS2 quantities vary by protein; Ecoli is total digest mass	500 ng	120 min	D2	https://www.ebi.ac.uk/pride/archive/projects/PXD003472 | https://doi.org/10.1021/acs.jproteome.6b00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Ecoli
PXD003472_D2_yeast_only	Saccharomyces cerevisiae	not applicable	not available	not applicable	2	yeast_only	not applicable	PXD003472_QExactiveHF_D2__500ng_60min	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	3	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExactiveHF_D2__500ng_60min.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003472/QExactiveHF_D2__500ng_60min.raw	PXD003472	benchmark	QExactiveHF_60min	Jarnuczak et al. 2016 Materials and Methods: four biological yeast cultures; filename D1-D4; same culture-derived material reused across instrument/gradient branches	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	0	on column; UPS2 quantities vary by protein; Ecoli is total digest mass	500 ng	60 min	D2	https://www.ebi.ac.uk/pride/archive/projects/PXD003472 | https://doi.org/10.1021/acs.jproteome.6b00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	yeast_only
PXD003472_D3_yeast_only	Saccharomyces cerevisiae	not applicable	not available	not applicable	3	yeast_only	not applicable	PXD003472_QExactiveHF_D3__500ng_120min	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	4	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExactiveHF_D3__500ng_120min.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003472/QExactiveHF_D3__500ng_120min.raw	PXD003472	benchmark	QExactiveHF_120min	Jarnuczak et al. 2016 Materials and Methods: four biological yeast cultures; filename D1-D4; same culture-derived material reused across instrument/gradient branches	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	0	on column; UPS2 quantities vary by protein; Ecoli is total digest mass	500 ng	120 min	D3	https://www.ebi.ac.uk/pride/archive/projects/PXD003472 | https://doi.org/10.1021/acs.jproteome.6b00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	yeast_only
PXD003472_D3_Ecoli	Saccharomyces cerevisiae	not applicable	not available	not applicable	3	Ecoli	CT=mixture;CN=Ecoli	PXD003472_QExactiveHF_D3__500ng_500ugEcoli_120min	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExactiveHF_D3__500ng_500ugEcoli_120min.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003472/QExactiveHF_D3__500ng_500ugEcoli_120min.raw	PXD003472	benchmark	QExactiveHF_120min	Jarnuczak et al. 2016 Materials and Methods: four biological yeast cultures; filename D1-D4; same culture-derived material reused across instrument/gradient branches	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	500 ng	on column; UPS2 quantities vary by protein; Ecoli is total digest mass	500 ng	120 min	D3	https://www.ebi.ac.uk/pride/archive/projects/PXD003472 | https://doi.org/10.1021/acs.jproteome.6b00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Ecoli
PXD003472_D3_yeast_only	Saccharomyces cerevisiae	not applicable	not available	not applicable	3	yeast_only	not applicable	PXD003472_QExactiveHF_D3__500ng_60min	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	3	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExactiveHF_D3__500ng_60min.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003472/QExactiveHF_D3__500ng_60min.raw	PXD003472	benchmark	QExactiveHF_60min	Jarnuczak et al. 2016 Materials and Methods: four biological yeast cultures; filename D1-D4; same culture-derived material reused across instrument/gradient branches	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	0	on column; UPS2 quantities vary by protein; Ecoli is total digest mass	500 ng	60 min	D3	https://www.ebi.ac.uk/pride/archive/projects/PXD003472 | https://doi.org/10.1021/acs.jproteome.6b00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	yeast_only
PXD003472_D4_yeast_only	Saccharomyces cerevisiae	not applicable	not available	not applicable	4	yeast_only	not applicable	PXD003472_QExactiveHF_D4__500ng_120min	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	4	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExactiveHF_D4__500ng_120min.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003472/QExactiveHF_D4__500ng_120min.raw	PXD003472	benchmark	QExactiveHF_120min	Jarnuczak et al. 2016 Materials and Methods: four biological yeast cultures; filename D1-D4; same culture-derived material reused across instrument/gradient branches	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	0	on column; UPS2 quantities vary by protein; Ecoli is total digest mass	500 ng	120 min	D4	https://www.ebi.ac.uk/pride/archive/projects/PXD003472 | https://doi.org/10.1021/acs.jproteome.6b00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	yeast_only
