source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[sex]	characteristics[growth condition]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	factor value[growth condition]
SD_SEC3_a	Fusarium oxysporum f. sp. vasinfectum 25433	Cell culture, Fungal cell	not applicable	not applicable	Saboraud's dextrose broth	1	SD_SEC3_a	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	SD_SEC3_a.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422	20 ppm	15000 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Saboraud's dextrose broth
SD_EV3_a	Fusarium oxysporum f. sp. vasinfectum 25433	Cell culture, Fungal cell	not applicable	not applicable	Saboraud's dextrose broth	1	SD_EV3_a	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	SD_EV3_a.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422	20 ppm	15000 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Saboraud's dextrose broth
CD_WCL1_b	Fusarium oxysporum f. sp. vasinfectum 25433	Cell culture, Fungal cell	not applicable	not applicable	Czapek Dox	1	CD_WCL1_b	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	CD_WCL1_b.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422	20 ppm	15000 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Czapek Dox
SD_EV3_b	Fusarium oxysporum f. sp. vasinfectum 25433	Cell culture, Fungal cell	not applicable	not applicable	Saboraud's dextrose broth	1	SD_EV3_b	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	SD_EV3_b.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422	20 ppm	15000 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Saboraud's dextrose broth
SD_WCL3_b	Fusarium oxysporum f. sp. vasinfectum 25433	Cell culture, Fungal cell	not applicable	not applicable	Saboraud's dextrose broth	1	SD_WCL3_b	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	SD_WCL3_b.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422	20 ppm	15000 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Saboraud's dextrose broth
CD_SEC2_b	Fusarium oxysporum f. sp. vasinfectum 25433	Cell culture, Fungal cell	not applicable	not applicable	Czapek Dox	1	CD_SEC2_b	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	CD_SEC2_b.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422	20 ppm	15000 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Czapek Dox
CD_EV1_b	Fusarium oxysporum f. sp. vasinfectum 25433	Cell culture, Fungal cell	not applicable	not applicable	Czapek Dox	1	CD_EV1_b	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	CD_EV1_b.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422	20 ppm	15000 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Czapek Dox
SD_SEC2_a	Fusarium oxysporum f. sp. vasinfectum 25433	Cell culture, Fungal cell	not applicable	not applicable	Saboraud's dextrose broth	1	SD_SEC2_a	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	SD_SEC2_a.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422	20 ppm	15000 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Saboraud's dextrose broth
SD_WCL2_b	Fusarium oxysporum f. sp. vasinfectum 25433	Cell culture, Fungal cell	not applicable	not applicable	Saboraud's dextrose broth	1	SD_WCL2_b	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	SD_WCL2_b.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422	20 ppm	15000 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Saboraud's dextrose broth
SD_WCL1_a	Fusarium oxysporum f. sp. vasinfectum 25433	Cell culture, Fungal cell	not applicable	not applicable	Saboraud's dextrose broth	1	SD_WCL1_a	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	SD_WCL1_a.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422	20 ppm	15000 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Saboraud's dextrose broth
