source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]
SS2	Treponema denticola ATCC 35405	outer membrane (OM)	periodontitis	not applicable	1	SS2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	SS2.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=Met
Cell_Mem3b	Treponema denticola ATCC 35405	outer membrane (OM)	periodontitis	not applicable	1	Cell_Mem3b	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	2	Cell_Mem3b.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=Met
Cell_Sol3b	Treponema denticola ATCC 35405	outer membrane (OM)	periodontitis	not applicable	2	Cell_Sol3b	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	2	Cell_Sol3b.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=Met
OMV3a	Treponema denticola ATCC 35405	outer membrane (OM)	periodontitis	not applicable	3	OMV3a	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	OMV3a.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=Met
SS1	Treponema denticola ATCC 35405	outer membrane (OM)	periodontitis	not applicable	1	SS1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	SS1.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=Met
OMV2a	Treponema denticola ATCC 35405	outer membrane (OM)	periodontitis	not applicable	4	OMV2a	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	OMV2a.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=Met
Cell_Mem3a	Treponema denticola ATCC 35405	outer membrane (OM)	periodontitis	not applicable	1	Cell_Mem3a	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	Cell_Mem3a.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=Met
WC_1	Treponema denticola ATCC 35405	outer membrane (OM)	periodontitis	not applicable	5	WC_1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	WC_1.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=Met
WC_3	Treponema denticola ATCC 35405	outer membrane (OM)	periodontitis	not applicable	5	WC_3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	3	WC_3.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=Met
OMV1b	Treponema denticola ATCC 35405	outer membrane (OM)	periodontitis	not applicable	6	OMV1b	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	2	OMV1b.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=Met
Cell_Mem1b	Treponema denticola ATCC 35405	outer membrane (OM)	periodontitis	not applicable	7	Cell_Mem1b	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	2	Cell_Mem1b.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=Met
OMV1a	Treponema denticola ATCC 35405	outer membrane (OM)	periodontitis	not applicable	6	OMV1a	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	OMV1a.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=Met
Cell_Sol2b	Treponema denticola ATCC 35405	outer membrane (OM)	periodontitis	not applicable	8	Cell_Sol2b	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	2	Cell_Sol2b.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=Met
Cell_Sol3a	Treponema denticola ATCC 35405	outer membrane (OM)	periodontitis	not applicable	2	Cell_Sol3a	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	Cell_Sol3a.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=Met
WC_2	Treponema denticola ATCC 35405	outer membrane (OM)	periodontitis	not applicable	5	WC_2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	2	WC_2.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=Met
Cell_Mem2a	Treponema denticola ATCC 35405	outer membrane (OM)	periodontitis	not applicable	9	Cell_Mem2a	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	Cell_Mem2a.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=Met
OMV3b	Treponema denticola ATCC 35405	outer membrane (OM)	periodontitis	not applicable	3	OMV3b	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	2	OMV3b.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=Met
OMV2b	Treponema denticola ATCC 35405	outer membrane (OM)	periodontitis	not applicable	4	OMV2b	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	2	OMV2b.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=Met
Cell_Sol2a	Treponema denticola ATCC 35405	outer membrane (OM)	periodontitis	not applicable	8	Cell_Sol2a	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	Cell_Sol2a.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=Met
Cell_Mem1a	Treponema denticola ATCC 35405	outer membrane (OM)	periodontitis	not applicable	7	Cell_Mem1a	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	Cell_Mem1a.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=Met
Cell_Sol1a	Treponema denticola ATCC 35405	outer membrane (OM)	periodontitis	not applicable	10	Cell_Sol1a	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	Cell_Sol1a.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=Met
SP1	Treponema denticola ATCC 35405	outer membrane (OM)	periodontitis	not applicable	1	SP1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	SP1.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=Met
SP2	Treponema denticola ATCC 35405	outer membrane (OM)	periodontitis	not applicable	1	SP2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	SP2.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=Met
Cell_Sol1b	Treponema denticola ATCC 35405	outer membrane (OM)	periodontitis	not applicable	10	Cell_Sol1b	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	2	Cell_Sol1b.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=Met
Cell_Mem2b	Treponema denticola ATCC 35405	outer membrane (OM)	periodontitis	not applicable	9	Cell_Mem2b	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	2	Cell_Mem2b.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=Met
