source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[sex]	characteristics[genotype]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	factor value[genotype]
O33	Bacillus cereus	not applicable	not applicable	not applicable	presence of pBClin15	1	O33	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	O33.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	presence of pBClin15
O13	Bacillus cereus	not applicable	not applicable	not applicable	presence of pBClin15	1	O13	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	O13.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	presence of pBClin15
O21	Bacillus cereus	not applicable	not applicable	not applicable	presence of pBClin15	1	O21	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	O21.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	presence of pBClin15
O22	Bacillus cereus	not applicable	not applicable	not applicable	presence of pBClin15	1	O22	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	O22.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	presence of pBClin15
cOP21	Bacillus cereus	not applicable	not applicable	not applicable	absence of pBClin15	1	cOP21	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	cOP21.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	absence of pBClin15
O11	Bacillus cereus	not applicable	not applicable	not applicable	presence of pBClin15	1	O11	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	O11.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	presence of pBClin15
cOP31	Bacillus cereus	not applicable	not applicable	not applicable	absence of pBClin15	1	cOP31	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	cOP31.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	absence of pBClin15
cOP13	Bacillus cereus	not applicable	not applicable	not applicable	absence of pBClin15	1	cOP13	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	cOP13.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	absence of pBClin15
cOP12	Bacillus cereus	not applicable	not applicable	not applicable	absence of pBClin15	1	cOP12	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	cOP12.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	absence of pBClin15
O12	Bacillus cereus	not applicable	not applicable	not applicable	presence of pBClin15	1	O12	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	O12.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	presence of pBClin15
cOP32	Bacillus cereus	not applicable	not applicable	not applicable	absence of pBClin15	1	cOP32	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	cOP32.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	absence of pBClin15
cOP33	Bacillus cereus	not applicable	not applicable	not applicable	absence of pBClin15	1	cOP33	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	cOP33.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	absence of pBClin15
O23	Bacillus cereus	not applicable	not applicable	not applicable	presence of pBClin15	1	O23	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	O23.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	presence of pBClin15
