source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
MP_BvONAE_05072024_Whole_cell_lysate_Chymo_S1_120mins_DDA01	MP_BvONAE_05072024_Whole_cell_lysate_Chymo_S1_120mins_DDA01	Candidatus accumulibacter phosphatis	not available	not applicable	not available	Metaproteomic_profiling_of_a_granule-forming_Ca._Accumulibacter_enrichment	not available	not available	not available	not available	not available	not available	1	MP_BvONAE_05072024_Whole_cell_lysate_Chymo_S1_120mins_DDA01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	MP_BvONAE_05072024_Whole_cell_lysate_Chymo_S1_120mins_DDA01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
MP_BvONAE_05072024_Whole_cell_lysate_Chymo_S2_120mins_DDA02	MP_BvONAE_05072024_Whole_cell_lysate_Chymo_S2_120mins_DDA02	Candidatus accumulibacter phosphatis	not available	not applicable	not available	Metaproteomic_profiling_of_a_granule-forming_Ca._Accumulibacter_enrichment	not available	not available	not available	not available	not available	not available	1	MP_BvONAE_05072024_Whole_cell_lysate_Chymo_S2_120mins_DDA02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	MP_BvONAE_05072024_Whole_cell_lysate_Chymo_S2_120mins_DDA02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
MP_BvONAE_05072024_Whole_cell_lysate_Try_S1_120mins_DDA01	MP_BvONAE_05072024_Whole_cell_lysate_Try_S1_120mins_DDA01	Candidatus accumulibacter phosphatis	not available	not applicable	not available	Metaproteomic_profiling_of_a_granule-forming_Ca._Accumulibacter_enrichment	not available	not available	not available	not available	not available	not available	1	MP_BvONAE_05072024_Whole_cell_lysate_Try_S1_120mins_DDA01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	MP_BvONAE_05072024_Whole_cell_lysate_Try_S1_120mins_DDA01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
MP_BvONAE_05072024_Whole_cell_lysate_Try_S1_120mins_DDA02	MP_BvONAE_05072024_Whole_cell_lysate_Try_S1_120mins_DDA02	Candidatus accumulibacter phosphatis	not available	not applicable	not available	Metaproteomic_profiling_of_a_granule-forming_Ca._Accumulibacter_enrichment	not available	not available	not available	not available	not available	not available	1	MP_BvONAE_05072024_Whole_cell_lysate_Try_S1_120mins_DDA02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	MP_BvONAE_05072024_Whole_cell_lysate_Try_S1_120mins_DDA02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
MP_BvONAE_05072024_Whole_cell_lysate_Try_S2_120mins_DDA01	MP_BvONAE_05072024_Whole_cell_lysate_Try_S2_120mins_DDA01	Candidatus accumulibacter phosphatis	not available	not applicable	not available	Metaproteomic_profiling_of_a_granule-forming_Ca._Accumulibacter_enrichment	not available	not available	not available	not available	not available	not available	1	MP_BvONAE_05072024_Whole_cell_lysate_Try_S2_120mins_DDA01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	MP_BvONAE_05072024_Whole_cell_lysate_Try_S2_120mins_DDA01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
MP_BvONAE_05072024_Whole_cell_lysate_Try_S2_120mins_DDA02	MP_BvONAE_05072024_Whole_cell_lysate_Try_S2_120mins_DDA02	Candidatus accumulibacter phosphatis	not available	not applicable	not available	Metaproteomic_profiling_of_a_granule-forming_Ca._Accumulibacter_enrichment	not available	not available	not available	not available	not available	not available	1	MP_BvONAE_05072024_Whole_cell_lysate_Try_S2_120mins_DDA02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	MP_BvONAE_05072024_Whole_cell_lysate_Try_S2_120mins_DDA02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
MP_BvONAE_07062024_Shaving_g1A_120mins_DDA01	MP_BvONAE_07062024_Shaving_g1A_120mins_DDA01	Candidatus accumulibacter phosphatis	not available	not applicable	not available	Metaproteomic_profiling_of_a_granule-forming_Ca._Accumulibacter_enrichment	not available	not available	not available	not available	not available	not available	1	MP_BvONAE_07062024_Shaving_g1A_120mins_DDA01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	MP_BvONAE_07062024_Shaving_g1A_120mins_DDA01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
MP_BvONAE_07062024_Shaving_g1B_120mins_DDA01	MP_BvONAE_07062024_Shaving_g1B_120mins_DDA01	Candidatus accumulibacter phosphatis	not available	not applicable	not available	Metaproteomic_profiling_of_a_granule-forming_Ca._Accumulibacter_enrichment	not available	not available	not available	not available	not available	not available	1	MP_BvONAE_07062024_Shaving_g1B_120mins_DDA01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	MP_BvONAE_07062024_Shaving_g1B_120mins_DDA01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
MP_BvONAE_07062024_Shaving_g1C_120mins_DDA01	MP_BvONAE_07062024_Shaving_g1C_120mins_DDA01	Candidatus accumulibacter phosphatis	not available	not applicable	not available	Metaproteomic_profiling_of_a_granule-forming_Ca._Accumulibacter_enrichment	not available	not available	not available	not available	not available	not available	1	MP_BvONAE_07062024_Shaving_g1C_120mins_DDA01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	MP_BvONAE_07062024_Shaving_g1C_120mins_DDA01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
MP_BvONAE_07062024_Shaving_g2A_120mins_DDA01	MP_BvONAE_07062024_Shaving_g2A_120mins_DDA01	Candidatus accumulibacter phosphatis	not available	not applicable	not available	Metaproteomic_profiling_of_a_granule-forming_Ca._Accumulibacter_enrichment	not available	not available	not available	not available	not available	not available	1	MP_BvONAE_07062024_Shaving_g2A_120mins_DDA01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	MP_BvONAE_07062024_Shaving_g2A_120mins_DDA01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
