source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms min charge]	comment[elution conditions]	comment[enrichment process]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[chemical modification]
Ecoli_C-TAILS_dim_90min_10ACN	Escherichia coli	not applicable	not applicable	not applicable	whole organism	1	run RAW_90min_dim_10percentACN_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;PP=N-term;MT=Fixed	NT=Ethanolamine;AC=UNIMOD:734;TA=D,E;MT=Fixed	NT=Ethanolamine;AC=UNIMOD:734;PP=Protein C-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	10 ppm	0.5 Da	not available	10% acetonitrile; 90 min LC	C-TAILS	1	1	RAW_90min_dim_10percentACN_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Dimethyl
Ecoli_C-TAILS_dim_90min_10ACN	Escherichia coli	not applicable	not applicable	not applicable	whole organism	1	run RAW_90min_dim_10percentACN_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;PP=N-term;MT=Fixed	NT=Ethanolamine;AC=UNIMOD:734;TA=D,E;MT=Fixed	NT=Ethanolamine;AC=UNIMOD:734;PP=Protein C-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	10 ppm	0.5 Da	not available	10% acetonitrile; 90 min LC	C-TAILS	1	2	RAW_90min_dim_10percentACN_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Dimethyl
Ecoli_C-TAILS_dim_90min_10ACN	Escherichia coli	not applicable	not applicable	not applicable	whole organism	1	run RAW_90min_dim_10percentACN_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;PP=N-term;MT=Fixed	NT=Ethanolamine;AC=UNIMOD:734;TA=D,E;MT=Fixed	NT=Ethanolamine;AC=UNIMOD:734;PP=Protein C-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	10 ppm	0.5 Da	not available	10% acetonitrile; 90 min LC	C-TAILS	1	3	RAW_90min_dim_10percentACN_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Dimethyl
Ecoli_C-TAILS_ac_90min_10ACN	Escherichia coli	not applicable	not applicable	not applicable	whole organism	1	run RAW_90min_ac_10percentACN_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;PP=N-term;MT=Fixed	NT=Ethanolamine;AC=UNIMOD:734;TA=D,E;MT=Fixed	NT=Ethanolamine;AC=UNIMOD:734;PP=Protein C-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	10 ppm	0.5 Da	not available	10% acetonitrile; 90 min LC	C-TAILS	1	1	RAW_90min_ac_10percentACN_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Acetyl
Ecoli_C-TAILS_ac_90min_10ACN	Escherichia coli	not applicable	not applicable	not applicable	whole organism	1	run RAW_90min_ac_10percentACN_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;PP=N-term;MT=Fixed	NT=Ethanolamine;AC=UNIMOD:734;TA=D,E;MT=Fixed	NT=Ethanolamine;AC=UNIMOD:734;PP=Protein C-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	10 ppm	0.5 Da	not available	10% acetonitrile; 90 min LC	C-TAILS	1	2	RAW_90min_ac_10percentACN_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Acetyl
Ecoli_C-TAILS_ac_90min_10ACN	Escherichia coli	not applicable	not applicable	not applicable	whole organism	1	run RAW_90min_ac_10percentACN_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;PP=N-term;MT=Fixed	NT=Ethanolamine;AC=UNIMOD:734;TA=D,E;MT=Fixed	NT=Ethanolamine;AC=UNIMOD:734;PP=Protein C-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	10 ppm	0.5 Da	not available	10% acetonitrile; 90 min LC	C-TAILS	1	3	RAW_90min_ac_10percentACN_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Acetyl
Ecoli_C-TAILS_ac_90min_20ACN	Escherichia coli	not applicable	not applicable	not applicable	whole organism	1	run RAW_90min_ac_20percentACN_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;PP=N-term;MT=Fixed	NT=Ethanolamine;AC=UNIMOD:734;TA=D,E;MT=Fixed	NT=Ethanolamine;AC=UNIMOD:734;PP=Protein C-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	10 ppm	0.5 Da	not available	20% acetonitrile; 90 min LC	C-TAILS	1	1	RAW_90min_ac_20percentACN_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Acetyl
Ecoli_C-TAILS_ac_90min_20ACN	Escherichia coli	not applicable	not applicable	not applicable	whole organism	1	run RAW_90min_ac_20percentACN_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;PP=N-term;MT=Fixed	NT=Ethanolamine;AC=UNIMOD:734;TA=D,E;MT=Fixed	NT=Ethanolamine;AC=UNIMOD:734;PP=Protein C-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	10 ppm	0.5 Da	not available	20% acetonitrile; 90 min LC	C-TAILS	1	2	RAW_90min_ac_20percentACN_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Acetyl
Ecoli_C-TAILS_ac_90min_20ACN	Escherichia coli	not applicable	not applicable	not applicable	whole organism	1	run RAW_90min_ac_20percentACN_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;PP=N-term;MT=Fixed	NT=Ethanolamine;AC=UNIMOD:734;TA=D,E;MT=Fixed	NT=Ethanolamine;AC=UNIMOD:734;PP=Protein C-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	10 ppm	0.5 Da	not available	20% acetonitrile; 90 min LC	C-TAILS	1	3	RAW_90min_ac_20percentACN_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Acetyl
Ecoli_C-TAILS_ac_90min_30ACN	Escherichia coli	not applicable	not applicable	not applicable	whole organism	1	run RAW_90min_ac_30percentACN_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;PP=N-term;MT=Fixed	NT=Ethanolamine;AC=UNIMOD:734;TA=D,E;MT=Fixed	NT=Ethanolamine;AC=UNIMOD:734;PP=Protein C-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	10 ppm	0.5 Da	not available	30% acetonitrile; 90 min LC	C-TAILS	1	1	RAW_90min_ac_30percentACN_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Acetyl
