source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[age]	characteristics[sex]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms min im]	comment[ms max im]	comment[elution conditions]	factor value[treatment]
tonsil_Citrate_pH6_Glycerol_1	Homo sapiens	tonsil	not applicable	1	not available	tissue	heat-induced epitope retrieval in citrate buffer pH 6 with 10% glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_01_N756_DDA_120min_Glycerol_DVP_C1_1_8967	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_01_N756_DDA_120min_Glycerol_DVP_C1_1_8967.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in citrate buffer pH 6 with 10% glycerol
tonsil_Dako_pH9_1	Homo sapiens	tonsil	not applicable	1	not available	tissue	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 9 without glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_02_N756_DDA_120min_Glycerol_DVP_C2_1_8962	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_02_N756_DDA_120min_Glycerol_DVP_C2_1_8962.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 9 without glycerol
tonsil_Dako_pH9_2	Homo sapiens	tonsil	not applicable	2	not available	tissue	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 9 without glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_03_N756_DDA_120min_Glycerol_DVP_C3_1_8965	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_03_N756_DDA_120min_Glycerol_DVP_C3_1_8965.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 9 without glycerol
tonsil_Citrate_pH6_1	Homo sapiens	tonsil	not applicable	1	not available	tissue	heat-induced epitope retrieval in citrate buffer pH 6 without glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_04_N756_DDA_120min_Glycerol_DVP_C4_1_8972	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_04_N756_DDA_120min_Glycerol_DVP_C4_1_8972.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in citrate buffer pH 6 without glycerol
tonsil_Dako_pH6_1	Homo sapiens	tonsil	not applicable	1	not available	tissue	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 6 without glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_05_N756_DDA_120min_Glycerol_DVP_C5_1_8978	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_05_N756_DDA_120min_Glycerol_DVP_C5_1_8978.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 6 without glycerol
tonsil_Citrate_pH6_Glycerol_2	Homo sapiens	tonsil	not applicable	2	not available	tissue	heat-induced epitope retrieval in citrate buffer pH 6 with 10% glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_06_N756_DDA_120min_Glycerol_DVP_C6_1_8963	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_06_N756_DDA_120min_Glycerol_DVP_C6_1_8963.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in citrate buffer pH 6 with 10% glycerol
tonsil_Dako_pH6_Glycerol_1	Homo sapiens	tonsil	not applicable	1	not available	tissue	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 6 with 10% glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_07_N756_DDA_120min_Glycerol_DVP_4ul_C7_1_8986	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_07_N756_DDA_120min_Glycerol_DVP_4ul_C7_1_8986.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 6 with 10% glycerol
tonsil_Dako_pH9_3	Homo sapiens	tonsil	not applicable	3	not available	tissue	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 9 without glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_08_N756_DDA_120min_Glycerol_DVP_C8_1_8981	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_08_N756_DDA_120min_Glycerol_DVP_C8_1_8981.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 9 without glycerol
tonsil_Dako_pH6_Glycerol_2	Homo sapiens	tonsil	not applicable	2	not available	tissue	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 6 with 10% glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_09_N756_DDA_120min_Glycerol_DVP_D1_1_8975	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_09_N756_DDA_120min_Glycerol_DVP_D1_1_8975.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 6 with 10% glycerol
tonsil_Dako_pH6_Glycerol_3	Homo sapiens	tonsil	not applicable	3	not available	tissue	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 6 with 10% glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_10_N756_DDA_120min_Glycerol_DVP_D2_1_8974	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_10_N756_DDA_120min_Glycerol_DVP_D2_1_8974.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 6 with 10% glycerol
