source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	characteristics[phenotype]	characteristics[strain or breed]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[phenotype]
PXD011778-Sample-1	NT=Mus musculus;AC=NCBITaxon:10090	heart left ventricle	not available	NT=myocardial infarction;AC=MONDO:0005068	not available	not available	not available	not available	MI_day1_rep1	cell	1	Secretome (conditioned medium) of primary cardiac fibroblasts isolated from the left ventricular infarct...	not available	15309-15314D11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	15309-15314D11.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	MI_day1
PXD011778-Sample-2	NT=Mus musculus;AC=NCBITaxon:10090	heart left ventricle	not available	NT=myocardial infarction;AC=MONDO:0005068	not available	not available	not available	not available	MI_day1_rep2	cell	2	Secretome (conditioned medium) of primary cardiac fibroblasts isolated from the left ventricular infarct...	not available	15267-15270D14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	15267-15270D14.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	MI_day1
PXD011778-Sample-3	NT=Mus musculus;AC=NCBITaxon:10090	heart left ventricle	not available	NT=myocardial infarction;AC=MONDO:0005068	not available	not available	not available	not available	MI_day1_rep3	cell	3	Secretome (conditioned medium) of primary cardiac fibroblasts isolated from the left ventricular infarct...	not available	151761517915180D17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	151761517915180D17.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	MI_day1
PXD011778-Sample-4	NT=Mus musculus;AC=NCBITaxon:10090	heart left ventricle	not available	NT=myocardial infarction;AC=MONDO:0005068	not available	not available	not available	not available	MI_day3_rep1	cell	1	Secretome (conditioned medium) of primary cardiac fibroblasts isolated from the left ventricular infarct...	not available	151051510815082D33	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	151051510815082D33.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	MI_day3
PXD011778-Sample-5	NT=Mus musculus;AC=NCBITaxon:10090	heart left ventricle	not available	NT=myocardial infarction;AC=MONDO:0005068	not available	not available	not available	not available	MI_day3_rep2	cell	2	Secretome (conditioned medium) of primary cardiac fibroblasts isolated from the left ventricular infarct...	not available	151891519015191D39	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	151891519015191D39.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	MI_day3
PXD011778-Sample-6	NT=Mus musculus;AC=NCBITaxon:10090	heart left ventricle	not available	NT=myocardial infarction;AC=MONDO:0005068	not available	not available	not available	not available	MI_day3_rep3	cell	3	Secretome (conditioned medium) of primary cardiac fibroblasts isolated from the left ventricular infarct...	not available	152361523715246D310	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	152361523715246D310.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	MI_day3
PXD011778-Sample-7	NT=Mus musculus;AC=NCBITaxon:10090	heart left ventricle	not available	NT=myocardial infarction;AC=MONDO:0005068	not available	not available	not available	not available	MI_day7_rep1	cell	1	Secretome (conditioned medium) of primary cardiac fibroblasts isolated from the left ventricular infarct...	not available	151231524315244D72	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	151231524315244D72.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	MI_day7
PXD011778-Sample-8	NT=Mus musculus;AC=NCBITaxon:10090	heart left ventricle	not available	NT=myocardial infarction;AC=MONDO:0005068	not available	not available	not available	not available	MI_day7_rep2	cell	2	Secretome (conditioned medium) of primary cardiac fibroblasts isolated from the left ventricular infarct...	not available	1522715204D78	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	1522715204D78.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	MI_day7
PXD011778-Sample-9	NT=Mus musculus;AC=NCBITaxon:10090	heart left ventricle	not available	NT=myocardial infarction;AC=MONDO:0005068	not available	not available	not available	not available	MI_day7_rep3	cell	3	Secretome (conditioned medium) of primary cardiac fibroblasts isolated from the left ventricular infarct...	not available	152261523015239D711	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	152261523015239D711.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	MI_day7
PXD011778-Sample-10	NT=Mus musculus;AC=NCBITaxon:10090	heart left ventricle	not available	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	day0_control_rep1	cell	1	Secretome (conditioned medium) of primary left ventricular cardiac fibroblasts isolated from non-surgical...	not available	15326-15335D05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	15326-15335D05.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	day0_control
