id	label	reason	evidence	n_raw	n_tissues_or_organs	primary_factor_candidate	instrument	quant	priority
PXD061609	include	Ten-tissue TMTpro abundance atlas; study aim is tissue-specific expression; organism part is the natural sole factor	PRIDE title/keywords Tissue-specific expression; 10 tissues listed in description	75	10	organism part	Orbitrap Eclipse	TMTpro	1
PXD030983	include	Largest healthy multi-tissue mouse draft (41 tissues) plus PDAC cell-line panel; annotate tissue subset first with organism part factor	PRIDE description 41 healthy tissues; Nat Methods draft mouse proteome	2207	41 (+66 cell lines)	organism part (tissue subset)	QE HF/HF-X / Exploris 480	LFQ	1
PXD044060	promoted_datasets	14 adult mouse organs; factor organism part; HF1→tissue from RAW Xcalibur sample names	PRIDE 42 RAW; map in sandbox/PXD044060/raw_tissue_map.tsv; promoted datasets/PXD044060/	42	14	organism part	Q Exactive HF	LFQ	2
PXD002156	include	Tissue-specific glycolysis/gluconeogenesis proteomes; organism part is experimental contrast	PRIDE title tissue-specific pathways	18	multiple	organism part	Q Exactive	LFQ	2
IPX0003625000	include	41-organ DIA tissue-characteristic expression atlas (Lu et al MCP); not PRIDE-hosted	EuropePMC PMC9562433 data availability iProX	unclear	41	organism part	unclear	DIA	2
PXD021333	uncertain	20 organs/tissues but MRM assay panels; sex and strain also vary — not organism-part-only	PRIDE description 3 strains + male/female	38	20	organism part + sex + strain	Orbitrap Fusion	MRM	3
PXD055942	uncertain	Tissue/brain-region atlas but primary aim is protein/phospho turnover (pSILAC), extra factors likely	PRIDE title turnover atlas	1232	multiple tissues + brain regions	organism part + turnover design	Fusion Lumos / QE	TMT/DIA	3
PXD047296	exclude	Ten-organ atlas but age (4–20 mo) is a primary factor alongside organ	PRIDE title Adult to Aging; 4 life stages	400	10	organism part + age	Q Exactive HF	DIA	4
PXD053154	exclude	Multi-organ aging + protein-restriction diet intervention; not tissue-expression-only	PRIDE title aging + protein restriction; 7026 raw	7026	41	age + diet + organ	Exploris/QE/timsTOF	mixed	4
PXD080876	exclude	Companion DDA library for PXD053154 aging/diet study	PRIDE title DDA library for protein restriction aging	120	unclear	same as PXD053154	Exploris 480	DDA library	4
PXD007288	exclude	SILAC PCP interactome across tissues; not expression atlas factor design	PRIDE description protein correlation profiling complexes	767	7	complex profiling	Q Exactive	SILAC PCP	4
PXD022309	exclude	Same PCP design as PXD007288 (Heart/Liver/Lung/Kidney/Muscle/Thymus)	PRIDE description SILAC PCP	121	6	complex profiling	QE / Bruker	SILAC PCP	4
PXD002896	exclude	Organ spectral library built to interpret plasma/sepsis, not tissue-expression study	PRIDE title plasma proteome DIA + organ libraries	156	organs+plasma	plasma/sepsis focus	Q Exactive	DIA	4
PXD069823	promoted_datasets	Annotated datasets/PXD069823/; Astral DIA E17 embryo circadian series (brain/heart/lung/liver x CT2-CT22 x 3 reps = 72 rows); developmental stage = embryo (E17 inferred from file names + sibling PXD061981 E9/E13/E17)	PRIDE title Mouse Circadian Proteome Atlas; file names {date}_E17_{Tissue}_{CT##}{A|B|C}.raw; associated accessions PXD064534 (brain HYP/OB), PXD069794/PXD064461 (liver), PXD064583/PXD064539 (adult whole-body organ pairs), PXD061981 (E9/E13/E17 embryo + adult liver)	72	4	organism part + circadian time (embryonic)	Orbitrap Astral	DIA	1
PXD064534	promoted_datasets	Annotated datasets/PXD064534/; Astral DIA adult 10-region brain circadian series (hypothalamus/olfactory bulb/prefrontal cortex/striatum/midbrain/thalamus/cerebellum/hindbrain/cortex/hippocampus x CT2-CT22 x 2 reps = 120 rows)	PRIDE Mouse Circadian Proteome Atlas; file names {date}_{NN}_DIA_{region}_CT{##}_{rep}.raw	120	10 brain regions	organism part + circadian time	Orbitrap Astral	DIA	1
PXD064539	promoted_datasets	Annotated datasets/PXD064539/; Astral DIA adult digestive/adipose 10-tissue circadian series (esophagus/stomach/duodenum/small intestine/caecum/colon/testis/eWAT/iWAT/BAT x CT2-CT22 x 2 reps = 120 rows); testis+epididymal fat imply male cohort	PRIDE Mouse Circadian Proteome Atlas; file names {date}_{NN}_DIA_{tissue}_CT{##}_{rep}.raw	120	10	organism part + circadian time	Orbitrap Astral	DIA	1
PXD064583	promoted_datasets	Annotated datasets/PXD064583/; Astral DIA adult 10-organ circadian series (kidney/skeletal muscle/pancreas/lung/thymus/thyroid/eye/salivary gland/heart/spleen x CT2-CT22 x 2 reps = 120 rows)	PRIDE Mouse Circadian Proteome Atlas; file names {date}_{NN}_DIA_{tissue}_CT{##}_{rep}.raw	120	10	organism part + circadian time	Orbitrap Astral	DIA	1
PXD064461	exclude	Liver only; mixes nuclear vs whole fraction and total (DIA) + phosphoproteome (DDA) circadian series — single-tissue fraction/PTM design, not a tissue-expression map	PRIDE Mouse Circadian Proteome Atlas; files Liver_Nuc_total / Liver_Nuc_Phospho / Liver_Total / Liver_Phospho x CT	48	1 (liver)	fraction + phospho + circadian	Orbitrap Astral	DIA/DDA	4
PXD069794	exclude	Liver only; total-proteome circadian series (12 raw); single tissue, not multi-tissue map material	PRIDE Mouse Circadian Proteome Atlas; files ppt_total_CT##	12	1 (liver)	circadian (single tissue)	Orbitrap Astral	DIA	4
PXD061981	exclude	Heterogeneous: WT vs PER2SG genotype liver (total+nuclear, DIA+DDA phospho) plus E9/E13/E17/P1 embryo section series — genotype/PTM/developmental design, not a tissue-expression map	PRIDE Mouse Circadian Proteome Atlas; files E9/E13/E17/P1 + liver_WT/PER2SG + livernuc + DDAphos	145	liver + embryo series	genotype + developmental + fraction + phospho	Orbitrap Astral	DIA/DDA	4
PXD041400	promoted_datasets	Annotated datasets/PXD041400/; ten-organ mouse proteome x 3 ages (1w/4w/8w) x 2 sexes x 5 reps = 300 rows; per-sample age+sex encoded in file names; 8-week rows give a clean adult tissue map	PRIDE + DOI 10.1038/s41467-024-50183-6 (Nat Commun 2024); file names {Organ}{age}w_{Sex}_{animal}.raw	300	10	organism part + age + sex	Q Exactive HF	DIA	2
PXD019394	promoted_datasets	Annotated datasets/PXD019394/ as two SDRFs: -expression (107 rows) + -phosphorylation (240 rows); Huttlin 2010 Cell 9-tissue GeLC-MS atlas (brain/brown fat/heart/kidney/pancreas/spleen/liver/lung/testis); phospho subset carries enrichment process + Phospho(STY) mod	PRIDE + DOI 10.1016/j.cell.2010.12.001; file names {Tissue}_Protein_Expression_... and {Tissue}_Phosphorylation_...	347 (107 expr + 240 phos)	9	organism part	LTQ Orbitrap Velos	label-free (spectral counting)	2
