source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[genotype]	characteristics[diet]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]	factor value[diet]
C57B6J_HFD_3	Mus musculus	islet of Langerhans	not applicable	tissue	type 2 diabetes mellitus	adult	not available	C57BL/6J	wild type	high-fat diet	3	20190826_HFX4_SeHu_100-4-50cm_WIP_DIA_C57B6J_HFD_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DIA_C57B6J_HFD_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type	high-fat diet
ObOb_CHOW_1	Mus musculus	islet of Langerhans	not applicable	tissue	type 2 diabetes mellitus	adult	not available	C57BL/6	Lep ob/ob	chow	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DDA_ObOb_CHOW_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DDA_ObOb_CHOW_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Lep ob/ob	chow
C57B6J_CHOW_1	Mus musculus	islet of Langerhans	not applicable	tissue	normal	adult	not available	C57BL/6J	wild type	chow	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DIA_C57B6J_CHOW_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DIA_C57B6J_CHOW_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type	chow
C57B6K_CHOW_2	Mus musculus	islet of Langerhans	not applicable	tissue	normal	adult	not available	C57BL/6K	wild type	chow	2	20190826_HFX4_SeHu_100-4-50cm_WIP_DDA_C57B6K_CHOW_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DDA_C57B6K_CHOW_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type	chow
GPR120_CHOW_1	Mus musculus	islet of Langerhans	not applicable	tissue	normal	adult	not available	C57BL/6	Gpr120 knockout	chow	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DDA_GPR120_CHOW_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DDA_GPR120_CHOW_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Gpr120 knockout	chow
DbDb_CHOW_2	Mus musculus	islet of Langerhans	not applicable	tissue	type 2 diabetes mellitus	adult	not available	C57BLKS	Lepr db/db	chow	2	20190826_HFX4_SeHu_100-4-50cm_WIP_DIA_DbDb_CHOW_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DIA_DbDb_CHOW_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Lepr db/db	chow
C57B6K_CHOW_3	Mus musculus	islet of Langerhans	not applicable	tissue	normal	adult	not available	C57BL/6K	wild type	chow	3	20190826_HFX4_SeHu_100-4-50cm_WIP_DIA_C57B6K_CHOW_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DIA_C57B6K_CHOW_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type	chow
DbDb_CHOW_3	Mus musculus	islet of Langerhans	not applicable	tissue	type 2 diabetes mellitus	adult	not available	C57BLKS	Lepr db/db	chow	3	20190826_HFX4_SeHu_100-4-50cm_WIP_DDA_DbDb_CHOW_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DDA_DbDb_CHOW_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Lepr db/db	chow
ObOb_CHOW_2	Mus musculus	islet of Langerhans	not applicable	tissue	type 2 diabetes mellitus	adult	not available	C57BL/6	Lep ob/ob	chow	2	20190826_HFX4_SeHu_100-4-50cm_WIP_DIA_ObOb_CHOW_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DIA_ObOb_CHOW_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Lep ob/ob	chow
GPR120_CHOW_3	Mus musculus	islet of Langerhans	not applicable	tissue	normal	adult	not available	C57BL/6	Gpr120 knockout	chow	3	20190826_HFX4_SeHu_100-4-50cm_WIP_DDA_GPR120_CHOW_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DDA_GPR120_CHOW_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Gpr120 knockout	chow
C57B6J_CHOW_2	Mus musculus	islet of Langerhans	not applicable	tissue	normal	adult	not available	C57BL/6J	wild type	chow	2	20190826_HFX4_SeHu_100-4-50cm_WIP_DIA_C57B6J_CHOW_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DIA_C57B6J_CHOW_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type	chow
GPR120_HFD_3	Mus musculus	islet of Langerhans	not applicable	tissue	type 2 diabetes mellitus	adult	not available	C57BL/6	Gpr120 knockout	high-fat diet	3	20190826_HFX4_SeHu_100-4-50cm_WIP_DDA_GPR120_HFD_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DDA_GPR120_HFD_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Gpr120 knockout	high-fat diet
C57B6J_CHOW_3	Mus musculus	islet of Langerhans	not applicable	tissue	normal	adult	not available	C57BL/6J	wild type	chow	3	20190826_HFX4_SeHu_100-4-50cm_WIP_DIA_C57B6J_CHOW_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DIA_C57B6J_CHOW_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type	chow
ILSX98_CHOW_1	Mus musculus	islet of Langerhans	not applicable	tissue	normal	adult	not available	ILSX98	wild type	chow	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DIA_ILSX98_CHOW_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DIA_ILSX98_CHOW_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type	chow
C57B6K_CHOW_1	Mus musculus	islet of Langerhans	not applicable	tissue	normal	adult	not available	C57BL/6K	wild type	chow	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DDA_C57B6K_CHOW_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DDA_C57B6K_CHOW_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type	chow
DbDb_CHOW_2	Mus musculus	islet of Langerhans	not applicable	tissue	type 2 diabetes mellitus	adult	not available	C57BLKS	Lepr db/db	chow	2	20190826_HFX4_SeHu_100-4-50cm_WIP_DDA_DbDb_CHOW_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DDA_DbDb_CHOW_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Lepr db/db	chow
C57B6J_CHOW_1	Mus musculus	islet of Langerhans	not applicable	tissue	normal	adult	not available	C57BL/6J	wild type	chow	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DDA_C57B6J_CHOW_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DDA_C57B6J_CHOW_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type	chow
ObOb_CHOW_2	Mus musculus	islet of Langerhans	not applicable	tissue	type 2 diabetes mellitus	adult	not available	C57BL/6	Lep ob/ob	chow	2	20190826_HFX4_SeHu_100-4-50cm_WIP_DDA_ObOb_CHOW_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DDA_ObOb_CHOW_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Lep ob/ob	chow
C57B6K_CHOW_2	Mus musculus	islet of Langerhans	not applicable	tissue	normal	adult	not available	C57BL/6K	wild type	chow	2	20190826_HFX4_SeHu_100-4-50cm_WIP_DIA_C57B6K_CHOW_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DIA_C57B6K_CHOW_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type	chow
ObOb_CHOW_3	Mus musculus	islet of Langerhans	not applicable	tissue	type 2 diabetes mellitus	adult	not available	C57BL/6	Lep ob/ob	chow	3	20190826_HFX4_SeHu_100-4-50cm_WIP_DDA_ObOb_CHOW_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DDA_ObOb_CHOW_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Lep ob/ob	chow
ILSX98_CHOW_3	Mus musculus	islet of Langerhans	not applicable	tissue	normal	adult	not available	ILSX98	wild type	chow	3	20190826_HFX4_SeHu_100-4-50cm_WIP_DIA_ILSX98_CHOW_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DIA_ILSX98_CHOW_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type	chow
C57B6J_CHOW_3	Mus musculus	islet of Langerhans	not applicable	tissue	normal	adult	not available	C57BL/6J	wild type	chow	3	20190826_HFX4_SeHu_100-4-50cm_WIP_DDA_C57B6J_CHOW_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DDA_C57B6J_CHOW_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type	chow
ILSX98_CHOW_2	Mus musculus	islet of Langerhans	not applicable	tissue	normal	adult	not available	ILSX98	wild type	chow	2	20190826_HFX4_SeHu_100-4-50cm_WIP_DDA_ILSX98_CHOW_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DDA_ILSX98_CHOW_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type	chow
C57B6J_HFD_2	Mus musculus	islet of Langerhans	not applicable	tissue	type 2 diabetes mellitus	adult	not available	C57BL/6J	wild type	high-fat diet	2	20190826_HFX4_SeHu_100-4-50cm_WIP_DDA_C57B6J_HFD_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DDA_C57B6J_HFD_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type	high-fat diet
GPR120_CHOW_2	Mus musculus	islet of Langerhans	not applicable	tissue	normal	adult	not available	C57BL/6	Gpr120 knockout	chow	2	20190826_HFX4_SeHu_100-4-50cm_WIP_DIA_GPR120_CHOW_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DIA_GPR120_CHOW_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Gpr120 knockout	chow
GPR120_HFD_2	Mus musculus	islet of Langerhans	not applicable	tissue	type 2 diabetes mellitus	adult	not available	C57BL/6	Gpr120 knockout	high-fat diet	2	20190826_HFX4_SeHu_100-4-50cm_WIP_DIA_GPR120_HFD_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DIA_GPR120_HFD_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Gpr120 knockout	high-fat diet
ILSX98_HFD_3	Mus musculus	islet of Langerhans	not applicable	tissue	type 2 diabetes mellitus	adult	not available	ILSX98	wild type	high-fat diet	3	20190826_HFX4_SeHu_100-4-50cm_WIP_DIA_ILSX98_HFD_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20190826_HFX4_SeHu_100-4-50cm_WIP_DIA_ILSX98_HFD_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type	high-fat diet
