source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]	factor value[organism part]
PolyA_RNA_Capture_XG147_Rep2	Homo sapiens	prostate gland	prostate cancer	not available	tissue	not available	not available	not available	XG147	2	PolyA_RNA_Capture_XG147_Rep2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	PolyA_RNA_Capture_XG147_Rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	prostate cancer	prostate gland
PolyA_RNA_Capture_XG147_Rep3	Homo sapiens	prostate gland	prostate cancer	not available	tissue	not available	not available	not available	XG147	3	PolyA_RNA_Capture_XG147_Rep3	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	PolyA_RNA_Capture_XG147_Rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	prostate cancer	prostate gland
PolyA_RNA_Capture_XG77_Rep1	Homo sapiens	prostate gland	prostate cancer	not available	tissue	not available	not available	not available	XG77	1	PolyA_RNA_Capture_XG77_Rep1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	PolyA_RNA_Capture_XG77_Rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	prostate cancer	prostate gland
PolyA_RNA_Capture_XG77_Rep2	Homo sapiens	prostate gland	prostate cancer	not available	tissue	not available	not available	not available	XG77	2	PolyA_RNA_Capture_XG77_Rep2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	PolyA_RNA_Capture_XG77_Rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	prostate cancer	prostate gland
PolyA_RNA_Capture_XG77_Rep3	Homo sapiens	prostate gland	prostate cancer	not available	tissue	not available	not available	not available	XG77	3	PolyA_RNA_Capture_XG77_Rep3	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	PolyA_RNA_Capture_XG77_Rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	prostate cancer	prostate gland
Scrambled_RNA_Capture_XG147_Rep1	Homo sapiens	prostate gland	prostate cancer	not available	tissue	not available	not available	not available	XG147	1	Scrambled_RNA_Capture_XG147_Rep1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	Scrambled_RNA_Capture_XG147_Rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	prostate cancer	prostate gland
Scrambled_RNA_Capture_XG147_Rep2	Homo sapiens	prostate gland	prostate cancer	not available	tissue	not available	not available	not available	XG147	2	Scrambled_RNA_Capture_XG147_Rep2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	Scrambled_RNA_Capture_XG147_Rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	prostate cancer	prostate gland
Scrambled_RNA_Capture_XG147_Rep3	Homo sapiens	prostate gland	prostate cancer	not available	tissue	not available	not available	not available	XG147	3	Scrambled_RNA_Capture_XG147_Rep3	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	Scrambled_RNA_Capture_XG147_Rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	prostate cancer	prostate gland
Scrambled_RNA_Capture_XG77_Rep1	Homo sapiens	prostate gland	prostate cancer	not available	tissue	not available	not available	not available	XG77	1	Scrambled_RNA_Capture_XG77_Rep1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	Scrambled_RNA_Capture_XG77_Rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	prostate cancer	prostate gland
Scrambled_RNA_Capture_XG77_Rep2	Homo sapiens	prostate gland	prostate cancer	not available	tissue	not available	not available	not available	XG77	2	Scrambled_RNA_Capture_XG77_Rep2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	Scrambled_RNA_Capture_XG77_Rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	prostate cancer	prostate gland
Scrambled_RNA_Capture_XG77_Rep3	Homo sapiens	prostate gland	prostate cancer	not available	tissue	not available	not available	not available	XG77	3	Scrambled_RNA_Capture_XG77_Rep3	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	Scrambled_RNA_Capture_XG77_Rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	prostate cancer	prostate gland
