source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[culture medium]	characteristics[CLIP substrate labeling]	characteristics[granule age]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms min im]	comment[ms max im]	comment[ms1 scan range]	factor value[CLIP substrate labeling]	factor value[granule age]
INS-1 phogrin-CLIP old SG minus Fluo sample 1	Rattus norvegicus	islet of Langerhans	type B pancreatic cell	1	pancreatic insulinoma, non-human animal	cell line	not available	NEDH	male	INS-1	CVCL_0352	INS-1	Roswell Park Memorial Institute 1640 Medium	unlabeled control	older secretory granules 16.5-22 h	20210313_TIMS04_SA_ADB_MN_Islet_Granula_Old_01_H1_1_5629	proteomic profiling by mass spectrometry	1	20210313_TIMS04_SA_ADB_MN_Islet_Granula_Old_01_H1_1_5629.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	70 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	0.6	1.6	100m/z-1700m/z	unlabeled control	older secretory granules 16.5-22 h
INS-1 phogrin-CLIP old SG plus Fluo sample 2	Rattus norvegicus	islet of Langerhans	type B pancreatic cell	1	pancreatic insulinoma, non-human animal	cell line	not available	NEDH	male	INS-1	CVCL_0352	INS-1	Roswell Park Memorial Institute 1640 Medium	BC-Fluorescein labeled	older secretory granules 16.5-22 h	20210313_TIMS04_SA_ADB_MN_Islet_Granula_Old_02_H2_1_5630	proteomic profiling by mass spectrometry	1	20210313_TIMS04_SA_ADB_MN_Islet_Granula_Old_02_H2_1_5630.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	70 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	0.6	1.6	100m/z-1700m/z	BC-Fluorescein labeled	older secretory granules 16.5-22 h
INS-1 phogrin-CLIP old SG minus Fluo sample 3	Rattus norvegicus	islet of Langerhans	type B pancreatic cell	2	pancreatic insulinoma, non-human animal	cell line	not available	NEDH	male	INS-1	CVCL_0352	INS-1	Roswell Park Memorial Institute 1640 Medium	unlabeled control	older secretory granules 16.5-22 h	20210313_TIMS04_SA_ADB_MN_Islet_Granula_Old_03_H3_1_5631	proteomic profiling by mass spectrometry	1	20210313_TIMS04_SA_ADB_MN_Islet_Granula_Old_03_H3_1_5631.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	70 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	0.6	1.6	100m/z-1700m/z	unlabeled control	older secretory granules 16.5-22 h
INS-1 phogrin-CLIP old SG plus Fluo sample 4	Rattus norvegicus	islet of Langerhans	type B pancreatic cell	2	pancreatic insulinoma, non-human animal	cell line	not available	NEDH	male	INS-1	CVCL_0352	INS-1	Roswell Park Memorial Institute 1640 Medium	BC-Fluorescein labeled	older secretory granules 16.5-22 h	20210313_TIMS04_SA_ADB_MN_Islet_Granula_Old_04_H4_1_5632	proteomic profiling by mass spectrometry	1	20210313_TIMS04_SA_ADB_MN_Islet_Granula_Old_04_H4_1_5632.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	70 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	0.6	1.6	100m/z-1700m/z	BC-Fluorescein labeled	older secretory granules 16.5-22 h
INS-1 phogrin-CLIP old SG minus Fluo sample 5	Rattus norvegicus	islet of Langerhans	type B pancreatic cell	3	pancreatic insulinoma, non-human animal	cell line	not available	NEDH	male	INS-1	CVCL_0352	INS-1	Roswell Park Memorial Institute 1640 Medium	unlabeled control	older secretory granules 16.5-22 h	20210313_TIMS04_SA_ADB_MN_Islet_Granula_Old_05_H5_1_5633	proteomic profiling by mass spectrometry	1	20210313_TIMS04_SA_ADB_MN_Islet_Granula_Old_05_H5_1_5633.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	70 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	0.6	1.6	100m/z-1700m/z	unlabeled control	older secretory granules 16.5-22 h
INS-1 phogrin-CLIP old SG plus Fluo sample 6	Rattus norvegicus	islet of Langerhans	type B pancreatic cell	3	pancreatic insulinoma, non-human animal	cell line	not available	NEDH	male	INS-1	CVCL_0352	INS-1	Roswell Park Memorial Institute 1640 Medium	BC-Fluorescein labeled	older secretory granules 16.5-22 h	20210313_TIMS04_SA_ADB_MN_Islet_Granula_Old_06_H6_1_5634	proteomic profiling by mass spectrometry	1	20210313_TIMS04_SA_ADB_MN_Islet_Granula_Old_06_H6_1_5634.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	70 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	0.6	1.6	100m/z-1700m/z	BC-Fluorescein labeled	older secretory granules 16.5-22 h
INS-1 phogrin-CLIP old SG minus Fluo sample 7	Rattus norvegicus	islet of Langerhans	type B pancreatic cell	4	pancreatic insulinoma, non-human animal	cell line	not available	NEDH	male	INS-1	CVCL_0352	INS-1	Roswell Park Memorial Institute 1640 Medium	unlabeled control	older secretory granules 16.5-22 h	20210313_TIMS04_SA_ADB_MN_Islet_Granula_Old_07_H7_1_5635	proteomic profiling by mass spectrometry	1	20210313_TIMS04_SA_ADB_MN_Islet_Granula_Old_07_H7_1_5635.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	70 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	0.6	1.6	100m/z-1700m/z	unlabeled control	older secretory granules 16.5-22 h
INS-1 phogrin-CLIP old SG plus Fluo sample 8	Rattus norvegicus	islet of Langerhans	type B pancreatic cell	4	pancreatic insulinoma, non-human animal	cell line	not available	NEDH	male	INS-1	CVCL_0352	INS-1	Roswell Park Memorial Institute 1640 Medium	BC-Fluorescein labeled	older secretory granules 16.5-22 h	20210313_TIMS04_SA_ADB_MN_Islet_Granula_Old_08_H8_1_5636	proteomic profiling by mass spectrometry	1	20210313_TIMS04_SA_ADB_MN_Islet_Granula_Old_08_H8_1_5636.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	70 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	0.6	1.6	100m/z-1700m/z	BC-Fluorescein labeled	older secretory granules 16.5-22 h
INS-1 phogrin-CLIP young SG minus Fluo sample 1	Rattus norvegicus	islet of Langerhans	type B pancreatic cell	1	pancreatic insulinoma, non-human animal	cell line	not available	NEDH	male	INS-1	CVCL_0352	INS-1	Roswell Park Memorial Institute 1640 Medium	unlabeled control	younger secretory granules 1-4 h	20210313_TIMS04_SA_ADB_MN_Islet_Granula_Young_01_G1_1_5621	proteomic profiling by mass spectrometry	1	20210313_TIMS04_SA_ADB_MN_Islet_Granula_Young_01_G1_1_5621.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	70 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	0.6	1.6	100m/z-1700m/z	unlabeled control	younger secretory granules 1-4 h
INS-1 phogrin-CLIP young SG plus Fluo sample 2	Rattus norvegicus	islet of Langerhans	type B pancreatic cell	1	pancreatic insulinoma, non-human animal	cell line	not available	NEDH	male	INS-1	CVCL_0352	INS-1	Roswell Park Memorial Institute 1640 Medium	BC-Fluorescein labeled	younger secretory granules 1-4 h	20210313_TIMS04_SA_ADB_MN_Islet_Granula_Young_02_G2_1_5622	proteomic profiling by mass spectrometry	1	20210313_TIMS04_SA_ADB_MN_Islet_Granula_Young_02_G2_1_5622.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	70 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	0.6	1.6	100m/z-1700m/z	BC-Fluorescein labeled	younger secretory granules 1-4 h
