source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[condition]	comment[file uri]
HF_20240612_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_B5	Synechocystis	whole cell	bacterial cell	not applicable	4	RuBisCO	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20240612_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_B5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	gas: 1% co2 + air;genotype: complete large library;generation: 4	not available
HF_20240612_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_B6	Synechocystis	whole cell	bacterial cell	not applicable	4	RuBisCO	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20240612_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_B6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	gas: 1% co2 + air;genotype: complete large library;generation: 8	not available
HF_20240612_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_C1	Synechocystis	whole cell	bacterial cell	not applicable	1	RuBisCO	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20240612_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_C1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	gas: 5% co2 + n2;genotype: complete large library;generation: 0	not available
HF_20240612_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_C2	Synechocystis	whole cell	bacterial cell	not applicable	1	RuBisCO	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20240612_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_C2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	gas: 5% co2 + n2;genotype: complete large library;generation: 4	not available
HF_20240612_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_C3	Synechocystis	whole cell	bacterial cell	not applicable	1	RuBisCO	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20240612_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_C3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	gas: 5% co2 + n2;genotype: complete large library;generation: 8	not available
HF_20240612_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_C4	Synechocystis	whole cell	bacterial cell	not applicable	2	RuBisCO	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20240612_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_C4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	gas: 5% co2 + n2;genotype: complete large library;generation: 0	not available
HF_20240612_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_C5	Synechocystis	whole cell	bacterial cell	not applicable	2	RuBisCO	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20240612_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_C5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	gas: 5% co2 + n2;genotype: complete large library;generation: 4	not available
HF_20240612_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_C6	Synechocystis	whole cell	bacterial cell	not applicable	2	RuBisCO	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20240612_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_C6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	gas: 5% co2 + n2;genotype: complete large library;generation: 8	not available
HF_20240612_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_D1	Synechocystis	whole cell	bacterial cell	not applicable	3	RuBisCO	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20240612_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_D1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	gas: 5% co2 + n2;genotype: complete large library;generation: 0	not available
HF_20240612_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_D2	Synechocystis	whole cell	bacterial cell	not applicable	3	RuBisCO	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20240612_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_D2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	gas: 5% co2 + n2;genotype: complete large library;generation: 4	not available
HF_20240612_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_D3	Synechocystis	whole cell	bacterial cell	not applicable	3	RuBisCO	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20240612_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_D3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	gas: 5% co2 + n2;genotype: complete large library;generation: 8	not available
HF_20240612_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_D4	Synechocystis	whole cell	bacterial cell	not applicable	4	RuBisCO	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20240612_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_D4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	gas: 5% co2 + n2;genotype: complete large library;generation: 0	not available
HF_20240612_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_D5	Synechocystis	whole cell	bacterial cell	not applicable	4	RuBisCO	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20240612_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_D5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	gas: 5% co2 + n2;genotype: complete large library;generation: 4	not available
HF_20240612_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_D6	Synechocystis	whole cell	bacterial cell	not applicable	4	RuBisCO	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20240612_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_D6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	gas: 5% co2 + n2;genotype: complete large library;generation: 8	not available
