source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[biological replicate]	characteristics[cell line]	characteristics[cell type]	Material Type	material type	characteristics[condition]	assay name	technology type	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[collision energy]	comment[annotation source]	comment[sdrf annotation tool]	comment[annotation provenance]	comment[sample preparation batch]	comment[replicate provenance]	comment[search parameter source]	comment[annotation scope]	factor value[condition]
condA_Alpha	Homo sapiens	not applicable	not available	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=30 percent	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=5 percent	1	K562	not applicable	lysate	not available	A	LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_03	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	NT=Trypsin;AC=MS:1001251	not available	not available	not available	AC=MS:1000422;NT=HCD	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD028735/LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_03.raw	LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	https://www.ebi.ac.uk/pride/archive/projects/PXD028735 | https://doi.org/10.1038/s41597-022-01216-6	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Alpha	Three separate mixture preparations (Alpha/Beta/Gamma) from commercial digests; filename 01-03 indexes repeated LC-MS injections. These are preparation/injection replicates, not independent biological cultures.	Primary paper describes 20 ppm/50 ppm Mascot searches for the separate single-species DDA series and AlphaPept analysis of mixed-proteome runs. Original search settings for every mixed run annotated here are not specified; do not propagate community/reanalysis defaults as author settings. Commercial digests were reduced, IAA-alkylated and trypsin(-LysC)-digested (Methods).	Ten mixed-proteome Orbitrap DDA runs: all six existing community Alpha injections and four additional Beta/Gamma first injections. Other platforms, acquisition modes and runs in the full deposit are not covered here.	A
condA_Alpha	Homo sapiens	not applicable	not applicable	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=30 percent	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=5 percent	1	K562	not applicable	lysate	cell lysate	A	LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_01	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002877;NT=Q Exactive HF-X	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	NT=Trypsin;AC=MS:1001251	not available	not available	not available	NT=HCD;AC=PRIDE:0000590	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD028735/LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_01.raw	LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	27% NCE	https://www.ebi.ac.uk/pride/archive/projects/PXD028735 | https://doi.org/10.1038/s41597-022-01216-6	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Alpha	Three separate mixture preparations (Alpha/Beta/Gamma) from commercial digests; filename 01-03 indexes repeated LC-MS injections. These are preparation/injection replicates, not independent biological cultures.	Primary paper describes 20 ppm/50 ppm Mascot searches for the separate single-species DDA series and AlphaPept analysis of mixed-proteome runs. Original search settings for every mixed run annotated here are not specified; do not propagate community/reanalysis defaults as author settings. Commercial digests were reduced, IAA-alkylated and trypsin(-LysC)-digested (Methods).	Ten mixed-proteome Orbitrap DDA runs: all six existing community Alpha injections and four additional Beta/Gamma first injections. Other platforms, acquisition modes and runs in the full deposit are not covered here.	A
condA_Alpha	Homo sapiens	not applicable	not available	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=30 percent	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=5 percent	1	K562	not applicable	lysate	not available	A	LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_02	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	NT=Trypsin;AC=MS:1001251	not available	not available	not available	AC=MS:1000422;NT=HCD	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD028735/LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_02.raw	LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	https://www.ebi.ac.uk/pride/archive/projects/PXD028735 | https://doi.org/10.1038/s41597-022-01216-6	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Alpha	Three separate mixture preparations (Alpha/Beta/Gamma) from commercial digests; filename 01-03 indexes repeated LC-MS injections. These are preparation/injection replicates, not independent biological cultures.	Primary paper describes 20 ppm/50 ppm Mascot searches for the separate single-species DDA series and AlphaPept analysis of mixed-proteome runs. Original search settings for every mixed run annotated here are not specified; do not propagate community/reanalysis defaults as author settings. Commercial digests were reduced, IAA-alkylated and trypsin(-LysC)-digested (Methods).	Ten mixed-proteome Orbitrap DDA runs: all six existing community Alpha injections and four additional Beta/Gamma first injections. Other platforms, acquisition modes and runs in the full deposit are not covered here.	A
condB_Alpha	Homo sapiens	not applicable	not available	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=15 percent	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=20 percent	1	K562	not applicable	lysate	not available	B	LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_03	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	NT=Trypsin;AC=MS:1001251	not available	not available	not available	AC=MS:1000422;NT=HCD	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD028735/LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_03.raw	LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	https://www.ebi.ac.uk/pride/archive/projects/PXD028735 | https://doi.org/10.1038/s41597-022-01216-6	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Alpha	Three separate mixture preparations (Alpha/Beta/Gamma) from commercial digests; filename 01-03 indexes repeated LC-MS injections. These are preparation/injection replicates, not independent biological cultures.	Primary paper describes 20 ppm/50 ppm Mascot searches for the separate single-species DDA series and AlphaPept analysis of mixed-proteome runs. Original search settings for every mixed run annotated here are not specified; do not propagate community/reanalysis defaults as author settings. Commercial digests were reduced, IAA-alkylated and trypsin(-LysC)-digested (Methods).	Ten mixed-proteome Orbitrap DDA runs: all six existing community Alpha injections and four additional Beta/Gamma first injections. Other platforms, acquisition modes and runs in the full deposit are not covered here.	B
condB_Alpha	Homo sapiens	not applicable	not applicable	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=15 percent	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=20 percent	1	K562	not applicable	lysate	cell lysate	B	LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_01	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002877;NT=Q Exactive HF-X	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	NT=Trypsin;AC=MS:1001251	not available	not available	not available	NT=HCD;AC=PRIDE:0000590	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD028735/LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_01.raw	LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	27% NCE	https://www.ebi.ac.uk/pride/archive/projects/PXD028735 | https://doi.org/10.1038/s41597-022-01216-6	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Alpha	Three separate mixture preparations (Alpha/Beta/Gamma) from commercial digests; filename 01-03 indexes repeated LC-MS injections. These are preparation/injection replicates, not independent biological cultures.	Primary paper describes 20 ppm/50 ppm Mascot searches for the separate single-species DDA series and AlphaPept analysis of mixed-proteome runs. Original search settings for every mixed run annotated here are not specified; do not propagate community/reanalysis defaults as author settings. Commercial digests were reduced, IAA-alkylated and trypsin(-LysC)-digested (Methods).	Ten mixed-proteome Orbitrap DDA runs: all six existing community Alpha injections and four additional Beta/Gamma first injections. Other platforms, acquisition modes and runs in the full deposit are not covered here.	B
condB_Alpha	Homo sapiens	not applicable	not available	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=15 percent	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=20 percent	1	K562	not applicable	lysate	not available	B	LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_02	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	NT=Trypsin;AC=MS:1001251	not available	not available	not available	AC=MS:1000422;NT=HCD	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD028735/LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_02.raw	LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	https://www.ebi.ac.uk/pride/archive/projects/PXD028735 | https://doi.org/10.1038/s41597-022-01216-6	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Alpha	Three separate mixture preparations (Alpha/Beta/Gamma) from commercial digests; filename 01-03 indexes repeated LC-MS injections. These are preparation/injection replicates, not independent biological cultures.	Primary paper describes 20 ppm/50 ppm Mascot searches for the separate single-species DDA series and AlphaPept analysis of mixed-proteome runs. Original search settings for every mixed run annotated here are not specified; do not propagate community/reanalysis defaults as author settings. Commercial digests were reduced, IAA-alkylated and trypsin(-LysC)-digested (Methods).	Ten mixed-proteome Orbitrap DDA runs: all six existing community Alpha injections and four additional Beta/Gamma first injections. Other platforms, acquisition modes and runs in the full deposit are not covered here.	B
condA_Beta	Homo sapiens	not applicable	not applicable	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=30 percent	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=5 percent	1	not available	not applicable	not available	cell lysate	A	LFQ_Orbitrap_DDA_Condition_A_Sample_Beta_01	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002877;NT=Q Exactive HF-X	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	NT=Trypsin;AC=MS:1001251	not available	not available	not available	NT=HCD;AC=PRIDE:0000590	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD028735/LFQ_Orbitrap_DDA_Condition_A_Sample_Beta_01.raw	LFQ_Orbitrap_DDA_Condition_A_Sample_Beta_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	27% NCE	https://www.ebi.ac.uk/pride/archive/projects/PXD028735 | https://doi.org/10.1038/s41597-022-01216-6	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Beta	Three separate mixture preparations (Alpha/Beta/Gamma) from commercial digests; filename 01-03 indexes repeated LC-MS injections. These are preparation/injection replicates, not independent biological cultures.	Primary paper describes 20 ppm/50 ppm Mascot searches for the separate single-species DDA series and AlphaPept analysis of mixed-proteome runs. Original search settings for every mixed run annotated here are not specified; do not propagate community/reanalysis defaults as author settings. Commercial digests were reduced, IAA-alkylated and trypsin(-LysC)-digested (Methods).	Ten mixed-proteome Orbitrap DDA runs: all six existing community Alpha injections and four additional Beta/Gamma first injections. Other platforms, acquisition modes and runs in the full deposit are not covered here.	A
condA_Gamma	Homo sapiens	not applicable	not applicable	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=30 percent	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=5 percent	1	not available	not applicable	not available	cell lysate	A	LFQ_Orbitrap_DDA_Condition_A_Sample_Gamma_01	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002877;NT=Q Exactive HF-X	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	NT=Trypsin;AC=MS:1001251	not available	not available	not available	NT=HCD;AC=PRIDE:0000590	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD028735/LFQ_Orbitrap_DDA_Condition_A_Sample_Gamma_01.raw	LFQ_Orbitrap_DDA_Condition_A_Sample_Gamma_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	27% NCE	https://www.ebi.ac.uk/pride/archive/projects/PXD028735 | https://doi.org/10.1038/s41597-022-01216-6	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Gamma	Three separate mixture preparations (Alpha/Beta/Gamma) from commercial digests; filename 01-03 indexes repeated LC-MS injections. These are preparation/injection replicates, not independent biological cultures.	Primary paper describes 20 ppm/50 ppm Mascot searches for the separate single-species DDA series and AlphaPept analysis of mixed-proteome runs. Original search settings for every mixed run annotated here are not specified; do not propagate community/reanalysis defaults as author settings. Commercial digests were reduced, IAA-alkylated and trypsin(-LysC)-digested (Methods).	Ten mixed-proteome Orbitrap DDA runs: all six existing community Alpha injections and four additional Beta/Gamma first injections. Other platforms, acquisition modes and runs in the full deposit are not covered here.	A
condB_Beta	Homo sapiens	not applicable	not applicable	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=15 percent	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=20 percent	1	not available	not applicable	not available	cell lysate	B	LFQ_Orbitrap_DDA_Condition_B_Sample_Beta_01	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002877;NT=Q Exactive HF-X	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	NT=Trypsin;AC=MS:1001251	not available	not available	not available	NT=HCD;AC=PRIDE:0000590	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD028735/LFQ_Orbitrap_DDA_Condition_B_Sample_Beta_01.raw	LFQ_Orbitrap_DDA_Condition_B_Sample_Beta_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	27% NCE	https://www.ebi.ac.uk/pride/archive/projects/PXD028735 | https://doi.org/10.1038/s41597-022-01216-6	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Beta	Three separate mixture preparations (Alpha/Beta/Gamma) from commercial digests; filename 01-03 indexes repeated LC-MS injections. These are preparation/injection replicates, not independent biological cultures.	Primary paper describes 20 ppm/50 ppm Mascot searches for the separate single-species DDA series and AlphaPept analysis of mixed-proteome runs. Original search settings for every mixed run annotated here are not specified; do not propagate community/reanalysis defaults as author settings. Commercial digests were reduced, IAA-alkylated and trypsin(-LysC)-digested (Methods).	Ten mixed-proteome Orbitrap DDA runs: all six existing community Alpha injections and four additional Beta/Gamma first injections. Other platforms, acquisition modes and runs in the full deposit are not covered here.	B
condB_Gamma	Homo sapiens	not applicable	not applicable	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=15 percent	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=20 percent	1	not available	not applicable	not available	cell lysate	B	LFQ_Orbitrap_DDA_Condition_B_Sample_Gamma_01	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002877;NT=Q Exactive HF-X	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	NT=Trypsin;AC=MS:1001251	not available	not available	not available	NT=HCD;AC=PRIDE:0000590	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD028735/LFQ_Orbitrap_DDA_Condition_B_Sample_Gamma_01.raw	LFQ_Orbitrap_DDA_Condition_B_Sample_Gamma_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	27% NCE	https://www.ebi.ac.uk/pride/archive/projects/PXD028735 | https://doi.org/10.1038/s41597-022-01216-6	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Gamma	Three separate mixture preparations (Alpha/Beta/Gamma) from commercial digests; filename 01-03 indexes repeated LC-MS injections. These are preparation/injection replicates, not independent biological cultures.	Primary paper describes 20 ppm/50 ppm Mascot searches for the separate single-species DDA series and AlphaPept analysis of mixed-proteome runs. Original search settings for every mixed run annotated here are not specified; do not propagate community/reanalysis defaults as author settings. Commercial digests were reduced, IAA-alkylated and trypsin(-LysC)-digested (Methods).	Ten mixed-proteome Orbitrap DDA runs: all six existing community Alpha injections and four additional Beta/Gamma first injections. Other platforms, acquisition modes and runs in the full deposit are not covered here.	B
