source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[depletion]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[sample preparation batch]	comment[acquisition date]	comment[ms1 scan range]	comment[ms2 scan range]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	factor value[sample preparation batch]
QC pooled plasma APEM P27 G12	Homo sapiens	blood plasma	not applicable	pooled	pooled	not available	depletion	not available	not available	not available	not available	pooled	20240312_OA2_Evo01_ViAl_SA_FAIMS40_IO17_A556_MOMI_APEM_P27_G12_R01	proteomic profiling by mass spectrometry	1	20240312_OA2_Evo01_ViAl_SA_FAIMS40_IO17_A556_MOMI_APEM_P27_G12_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	APEM	2024-03-12	380m/z-980m/z	150m/z-2000m/z	380	980	4	APEM
QC pooled plasma APEM P27 H12	Homo sapiens	blood plasma	not applicable	pooled	pooled	not available	depletion	not available	not available	not available	not available	pooled	20240312_OA2_Evo01_ViAl_SA_FAIMS40_IO17_A556_MOMI_APEM_P27_H12_R01	proteomic profiling by mass spectrometry	1	20240312_OA2_Evo01_ViAl_SA_FAIMS40_IO17_A556_MOMI_APEM_P27_H12_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	APEM	2024-03-12	380m/z-980m/z	150m/z-2000m/z	380	980	4	APEM
QC pooled plasma ZLUS P25 E12	Homo sapiens	blood plasma	not applicable	pooled	pooled	not available	depletion	not available	not available	not available	not available	pooled	20240312_OA3_Evo07_ViAl_SA_FAIMS40_IO18_A556_MOMI_ZLUS_P25_E12_R04	proteomic profiling by mass spectrometry	1	20240312_OA3_Evo07_ViAl_SA_FAIMS40_IO18_A556_MOMI_ZLUS_P25_E12_R04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	ZLUS	2024-03-12	380m/z-980m/z	150m/z-2000m/z	380	980	4	ZLUS
QC pooled plasma ZLUS P25 F12	Homo sapiens	blood plasma	not applicable	pooled	pooled	not available	depletion	not available	not available	not available	not available	pooled	20240312_OA3_Evo07_ViAl_SA_FAIMS40_IO18_A556_MOMI_ZLUS_P25_F12_R04	proteomic profiling by mass spectrometry	1	20240312_OA3_Evo07_ViAl_SA_FAIMS40_IO18_A556_MOMI_ZLUS_P25_F12_R04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	ZLUS	2024-03-12	380m/z-980m/z	150m/z-2000m/z	380	980	4	ZLUS
QC pooled plasma ZLUS P25 G12	Homo sapiens	blood plasma	not applicable	pooled	pooled	not available	depletion	not available	not available	not available	not available	pooled	20240312_OA3_Evo07_ViAl_SA_FAIMS40_IO18_A556_MOMI_ZLUS_P25_G12_R04	proteomic profiling by mass spectrometry	1	20240312_OA3_Evo07_ViAl_SA_FAIMS40_IO18_A556_MOMI_ZLUS_P25_G12_R04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	ZLUS	2024-03-12	380m/z-980m/z	150m/z-2000m/z	380	980	4	ZLUS
QC pooled plasma ZLUS P25 H12	Homo sapiens	blood plasma	not applicable	pooled	pooled	not available	depletion	not available	not available	not available	not available	pooled	20240312_OA3_Evo07_ViAl_SA_FAIMS40_IO18_A556_MOMI_ZLUS_P25_H12_R04	proteomic profiling by mass spectrometry	1	20240312_OA3_Evo07_ViAl_SA_FAIMS40_IO18_A556_MOMI_ZLUS_P25_H12_R04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	ZLUS	2024-03-12	380m/z-980m/z	150m/z-2000m/z	380	980	4	ZLUS
QC pooled plasma ZLUS P26 E12	Homo sapiens	blood plasma	not applicable	pooled	pooled	not available	depletion	not available	not available	not available	not available	pooled	20240312_OA3_Evo07_ViAl_SA_FAIMS40_IO18_A556_MOMI_ZLUS_P26_E12_R04	proteomic profiling by mass spectrometry	1	20240312_OA3_Evo07_ViAl_SA_FAIMS40_IO18_A556_MOMI_ZLUS_P26_E12_R04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	ZLUS	2024-03-12	380m/z-980m/z	150m/z-2000m/z	380	980	4	ZLUS
QC pooled plasma ZLUS P26 F12	Homo sapiens	blood plasma	not applicable	pooled	pooled	not available	depletion	not available	not available	not available	not available	pooled	20240312_OA3_Evo07_ViAl_SA_FAIMS40_IO18_A556_MOMI_ZLUS_P26_F12_R04	proteomic profiling by mass spectrometry	1	20240312_OA3_Evo07_ViAl_SA_FAIMS40_IO18_A556_MOMI_ZLUS_P26_F12_R04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	ZLUS	2024-03-12	380m/z-980m/z	150m/z-2000m/z	380	980	4	ZLUS
QC pooled plasma ZLUS P26 G12	Homo sapiens	blood plasma	not applicable	pooled	pooled	not available	depletion	not available	not available	not available	not available	pooled	20240312_OA3_Evo07_ViAl_SA_FAIMS40_IO18_A556_MOMI_ZLUS_P26_G12_R04	proteomic profiling by mass spectrometry	1	20240312_OA3_Evo07_ViAl_SA_FAIMS40_IO18_A556_MOMI_ZLUS_P26_G12_R04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	ZLUS	2024-03-12	380m/z-980m/z	150m/z-2000m/z	380	980	4	ZLUS
QC pooled plasma ZLUS P26 H12	Homo sapiens	blood plasma	not applicable	pooled	pooled	not available	depletion	not available	not available	not available	not available	pooled	20240312_OA3_Evo07_ViAl_SA_FAIMS40_IO18_A556_MOMI_ZLUS_P26_H12_R04	proteomic profiling by mass spectrometry	1	20240312_OA3_Evo07_ViAl_SA_FAIMS40_IO18_A556_MOMI_ZLUS_P26_H12_R04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	ZLUS	2024-03-12	380m/z-980m/z	150m/z-2000m/z	380	980	4	ZLUS
QC pooled plasma ZLUS P27 E12	Homo sapiens	blood plasma	not applicable	pooled	pooled	not available	depletion	not available	not available	not available	not available	pooled	20240312_OA3_Evo07_ViAl_SA_FAIMS40_IO18_A556_MOMI_ZLUS_P27_E12_R04	proteomic profiling by mass spectrometry	1	20240312_OA3_Evo07_ViAl_SA_FAIMS40_IO18_A556_MOMI_ZLUS_P27_E12_R04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	ZLUS	2024-03-12	380m/z-980m/z	150m/z-2000m/z	380	980	4	ZLUS
