source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[sample type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	characteristics[mhc protein complex]	characteristics[immunopeptidome enrichment method]	characteristics[mhc typing]	characteristics[mhc typing method]	characteristics[antibody enrichment]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[sample preparation batch]	comment[acquisition date]	comment[ms min mz]	comment[ms max mz]	comment[ms min charge]	comment[ms max charge]	comment[ms min rt]	comment[ms max rt]	comment[ms2 min mz]	comment[ms2 max mz]	factor value[source name]
721.221-C0501-BR1	Homo sapiens	blood	B-lymphoblast	1	not pooled	experimental sample	not applicable	721.221	CVCL_6263	LCL 721.221	Peripheral blood	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	HLA-C*05:01	not applicable	W6/32	P120161215_jmobbs_C501_1_12	proteomic profiling by mass spectrometry	1	P120161215_jmobbs_C501_1_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	12	NT=HCD;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	27% NCE	0.05 Da	0.1 Da	not applicable	not applicable	not available	NT=orbitrap;AC=MS:1000484	S16_0126_JesseM_HLA	2016-12-16T00:17:31	375m/z	1800m/z	2	5	0	75	200m/z	2000m/z	721.221-C0501-BR1
721.221-C0501-BR1	Homo sapiens	blood	B-lymphoblast	1	not pooled	experimental sample	not applicable	721.221	CVCL_6263	LCL 721.221	Peripheral blood	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	HLA-C*05:01	not applicable	W6/32	P120161215_jmobbs_C501_1_13	proteomic profiling by mass spectrometry	1	P120161215_jmobbs_C501_1_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	13	NT=HCD;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	27% NCE	0.05 Da	0.1 Da	not applicable	not applicable	not available	NT=orbitrap;AC=MS:1000484	S16_0126_JesseM_HLA	2016-12-16T01:35:28	375m/z	1800m/z	2	5	0	75	200m/z	2000m/z	721.221-C0501-BR1
721.221-C0501-BR1	Homo sapiens	blood	B-lymphoblast	1	not pooled	experimental sample	not applicable	721.221	CVCL_6263	LCL 721.221	Peripheral blood	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	HLA-C*05:01	not applicable	W6/32	P120161215_jmobbs_C501_1_14	proteomic profiling by mass spectrometry	1	P120161215_jmobbs_C501_1_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	14	NT=HCD;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	27% NCE	0.05 Da	0.1 Da	not applicable	not applicable	not available	NT=orbitrap;AC=MS:1000484	S16_0126_JesseM_HLA	2016-12-16T02:53:23	375m/z	1800m/z	2	5	0	75	200m/z	2000m/z	721.221-C0501-BR1
721.221-C0501-BR1	Homo sapiens	blood	B-lymphoblast	1	not pooled	experimental sample	not applicable	721.221	CVCL_6263	LCL 721.221	Peripheral blood	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	HLA-C*05:01	not applicable	W6/32	P120161215_jmobbs_C501_1_15	proteomic profiling by mass spectrometry	1	P120161215_jmobbs_C501_1_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	15	NT=HCD;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	27% NCE	0.05 Da	0.1 Da	not applicable	not applicable	not available	NT=orbitrap;AC=MS:1000484	S16_0126_JesseM_HLA	2016-12-16T04:11:18	375m/z	1800m/z	2	5	0	75	200m/z	2000m/z	721.221-C0501-BR1
721.221-C0501-BR1	Homo sapiens	blood	B-lymphoblast	1	not pooled	experimental sample	not applicable	721.221	CVCL_6263	LCL 721.221	Peripheral blood	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	HLA-C*05:01	not applicable	W6/32	P120161215_jmobbs_C501_1_A10	proteomic profiling by mass spectrometry	1	P120161215_jmobbs_C501_1_A10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	10	NT=HCD;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	27% NCE	0.05 Da	0.1 Da	not applicable	not applicable	not available	NT=orbitrap;AC=MS:1000484	S16_0126_JesseM_HLA	2016-12-15T19:01:15	375m/z	1800m/z	2	5	0	75	200m/z	2000m/z	721.221-C0501-BR1
721.221-C0501-BR1	Homo sapiens	blood	B-lymphoblast	1	not pooled	experimental sample	not applicable	721.221	CVCL_6263	LCL 721.221	Peripheral blood	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	HLA-C*05:01	not applicable	W6/32	P120161215_jmobbs_C501_1_A11	proteomic profiling by mass spectrometry	1	P120161215_jmobbs_C501_1_A11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	11	NT=HCD;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	27% NCE	0.05 Da	0.1 Da	not applicable	not applicable	not available	NT=orbitrap;AC=MS:1000484	S16_0126_JesseM_HLA	2016-12-15T20:19:11	375m/z	1800m/z	2	5	0	75	200m/z	2000m/z	721.221-C0501-BR1
721.221-C0501-BR1	Homo sapiens	blood	B-lymphoblast	1	not pooled	experimental sample	not applicable	721.221	CVCL_6263	LCL 721.221	Peripheral blood	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	HLA-C*05:01	not applicable	W6/32	P120161215_jmobbs_C501_1_A8	proteomic profiling by mass spectrometry	1	P120161215_jmobbs_C501_1_A8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	8	NT=HCD;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	27% NCE	0.05 Da	0.1 Da	not applicable	not applicable	not available	NT=orbitrap;AC=MS:1000484	S16_0126_JesseM_HLA	2016-12-15T16:25:20	375m/z	1800m/z	2	5	0	75	200m/z	2000m/z	721.221-C0501-BR1
721.221-C0501-BR1	Homo sapiens	blood	B-lymphoblast	1	not pooled	experimental sample	not applicable	721.221	CVCL_6263	LCL 721.221	Peripheral blood	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	HLA-C*05:01	not applicable	W6/32	P120161215_jmobbs_C501_1_A9	proteomic profiling by mass spectrometry	1	P120161215_jmobbs_C501_1_A9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	9	NT=HCD;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	27% NCE	0.05 Da	0.1 Da	not applicable	not applicable	not available	NT=orbitrap;AC=MS:1000484	S16_0126_JesseM_HLA	2016-12-15T17:43:17	375m/z	1800m/z	2	5	0	75	200m/z	2000m/z	721.221-C0501-BR1
721.221-C0501-BR2	Homo sapiens	blood	B-lymphoblast	2	not pooled	experimental sample	not applicable	721.221	CVCL_6263	LCL 721.221	Peripheral blood	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	HLA-C*05:01	not applicable	W6/32	P120161215_jmobbs_C501_2_A10	proteomic profiling by mass spectrometry	1	P120161215_jmobbs_C501_2_A10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	10	NT=HCD;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	27% NCE	0.05 Da	0.1 Da	not applicable	not applicable	not available	NT=orbitrap;AC=MS:1000484	S16_0126_JesseM_HLA	2016-12-16T10:45:30	375m/z	1800m/z	2	5	0	75	200m/z	2000m/z	721.221-C0501-BR2
721.221-C0501-BR2	Homo sapiens	blood	B-lymphoblast	2	not pooled	experimental sample	not applicable	721.221	CVCL_6263	LCL 721.221	Peripheral blood	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	HLA-C*05:01	not applicable	W6/32	P120161215_jmobbs_C501_2_A11	proteomic profiling by mass spectrometry	1	P120161215_jmobbs_C501_2_A11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	11	NT=HCD;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	27% NCE	0.05 Da	0.1 Da	not applicable	not applicable	not available	NT=orbitrap;AC=MS:1000484	S16_0126_JesseM_HLA	2016-12-16T12:03:27	375m/z	1800m/z	2	5	0	75	200m/z	2000m/z	721.221-C0501-BR2
