source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[mass]	characteristics[spiked compound]	characteristics[biological replicate]	characteristics[condition]	characteristics[material description]	assay name	technology type	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[proteomics data acquisition method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[dissociation method]	comment[study group]	comment[replicate provenance]	comment[search parameter source]	comment[annotation source]	comment[sdrf annotation tool]	comment[annotation provenance]	factor value[spiked compound]	factor value[condition]
PXD009815_UPS1_0.01fmol	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1 ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=0.01 fmol per ug yeast	1	UPS1_0.01fmol	Yeast protein lysate mixed with defined amounts of UPS1 human protein standard and digested before LC-MS/MS.	PXD009815_QEKAC160601_02	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	5 ppm	0.07 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_02.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEKAC160601_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=beam-type collision-induced dissociation;AC=MS:1000422	DDA	technical measurements from the same prepared sample; no biological replication claimed	Author Mascot/Proline search; separate from alternate MaxQuant branch	https://www.ebi.ac.uk/pride/archive/projects/PXD009815 | https://doi.org/10.1093/bioinformatics/btaa118	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	CT=mixture;QY=10 amol;CN=UPS1;CV=Standards Research Group	UPS1_0.01fmol
PXD009815_UPS1_0.01fmol	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1 ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=0.01 fmol per ug yeast	1	UPS1_0.01fmol	Yeast protein lysate mixed with defined amounts of UPS1 human protein standard and digested before LC-MS/MS.	PXD009815_QEKAC160601_31	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	5 ppm	0.07 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_31.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEKAC160601_31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=beam-type collision-induced dissociation;AC=MS:1000422	DDA	technical measurements from the same prepared sample; no biological replication claimed	Author Mascot/Proline search; separate from alternate MaxQuant branch	https://www.ebi.ac.uk/pride/archive/projects/PXD009815 | https://doi.org/10.1093/bioinformatics/btaa118	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	CT=mixture;QY=10 amol;CN=UPS1;CV=Standards Research Group	UPS1_0.01fmol
PXD009815_UPS1_0.01fmol	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1 ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=0.01 fmol per ug yeast	1	UPS1_0.01fmol	Yeast protein lysate mixed with defined amounts of UPS1 human protein standard and digested before LC-MS/MS.	PXD009815_QEKAC160601_61	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	5 ppm	0.07 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_61.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEKAC160601_61.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=beam-type collision-induced dissociation;AC=MS:1000422	DDA	technical measurements from the same prepared sample; no biological replication claimed	Author Mascot/Proline search; separate from alternate MaxQuant branch	https://www.ebi.ac.uk/pride/archive/projects/PXD009815 | https://doi.org/10.1093/bioinformatics/btaa118	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	CT=mixture;QY=10 amol;CN=UPS1;CV=Standards Research Group	UPS1_0.01fmol
PXD009815_UPS1_0.01fmol	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1 ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=0.01 fmol per ug yeast	1	UPS1_0.01fmol	Yeast protein lysate mixed with defined amounts of UPS1 human protein standard and digested before LC-MS/MS.	PXD009815_QEKAC160601_113	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	5 ppm	0.07 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_113.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEKAC160601_113.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=beam-type collision-induced dissociation;AC=MS:1000422	DDA	technical measurements from the same prepared sample; no biological replication claimed	Author Mascot/Proline search; separate from alternate MaxQuant branch	https://www.ebi.ac.uk/pride/archive/projects/PXD009815 | https://doi.org/10.1093/bioinformatics/btaa118	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	CT=mixture;QY=10 amol;CN=UPS1;CV=Standards Research Group	UPS1_0.01fmol
PXD009815_UPS1_0.05fmol	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1 ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=0.05 fmol per ug yeast	1	UPS1_0.05fmol	Yeast protein lysate mixed with defined amounts of UPS1 human protein standard and digested before LC-MS/MS.	PXD009815_QEKAC160601_04	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	5 ppm	0.07 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_04.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEKAC160601_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=beam-type collision-induced dissociation;AC=MS:1000422	DDA	technical measurements from the same prepared sample; no biological replication claimed	Author Mascot/Proline search; separate from alternate MaxQuant branch	https://www.ebi.ac.uk/pride/archive/projects/PXD009815 | https://doi.org/10.1093/bioinformatics/btaa118	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	CT=mixture;QY=50 amol;CN=UPS1;CV=Standards Research Group	UPS1_0.05fmol
PXD009815_UPS1_0.05fmol	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1 ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=0.05 fmol per ug yeast	1	UPS1_0.05fmol	Yeast protein lysate mixed with defined amounts of UPS1 human protein standard and digested before LC-MS/MS.	PXD009815_QEKAC160601_63	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	5 ppm	0.07 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_63.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEKAC160601_63.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=beam-type collision-induced dissociation;AC=MS:1000422	DDA	technical measurements from the same prepared sample; no biological replication claimed	Author Mascot/Proline search; separate from alternate MaxQuant branch	https://www.ebi.ac.uk/pride/archive/projects/PXD009815 | https://doi.org/10.1093/bioinformatics/btaa118	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	CT=mixture;QY=50 amol;CN=UPS1;CV=Standards Research Group	UPS1_0.05fmol
PXD009815_UPS1_0.05fmol	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1 ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=0.05 fmol per ug yeast	1	UPS1_0.05fmol	Yeast protein lysate mixed with defined amounts of UPS1 human protein standard and digested before LC-MS/MS.	PXD009815_QEKAC160601_34	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	5 ppm	0.07 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_34.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEKAC160601_34.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=beam-type collision-induced dissociation;AC=MS:1000422	DDA	technical measurements from the same prepared sample; no biological replication claimed	Author Mascot/Proline search; separate from alternate MaxQuant branch	https://www.ebi.ac.uk/pride/archive/projects/PXD009815 | https://doi.org/10.1093/bioinformatics/btaa118	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	CT=mixture;QY=50 amol;CN=UPS1;CV=Standards Research Group	UPS1_0.05fmol
PXD009815_UPS1_0.05fmol	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1 ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=0.05 fmol per ug yeast	1	UPS1_0.05fmol	Yeast protein lysate mixed with defined amounts of UPS1 human protein standard and digested before LC-MS/MS.	PXD009815_QEKAC160601_115	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	5 ppm	0.07 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_115.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEKAC160601_115.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=beam-type collision-induced dissociation;AC=MS:1000422	DDA	technical measurements from the same prepared sample; no biological replication claimed	Author Mascot/Proline search; separate from alternate MaxQuant branch	https://www.ebi.ac.uk/pride/archive/projects/PXD009815 | https://doi.org/10.1093/bioinformatics/btaa118	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	CT=mixture;QY=50 amol;CN=UPS1;CV=Standards Research Group	UPS1_0.05fmol
PXD009815_UPS1_0.1fmol	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1 ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=0.1 fmol per ug yeast	1	UPS1_0.1fmol	Yeast protein lysate mixed with defined amounts of UPS1 human protein standard and digested before LC-MS/MS.	PXD009815_QEKAC160601_06	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	5 ppm	0.07 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_06.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEKAC160601_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=beam-type collision-induced dissociation;AC=MS:1000422	DDA	technical measurements from the same prepared sample; no biological replication claimed	Author Mascot/Proline search; separate from alternate MaxQuant branch	https://www.ebi.ac.uk/pride/archive/projects/PXD009815 | https://doi.org/10.1093/bioinformatics/btaa118	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	CT=mixture;QY=100 amol;CN=UPS1;CV=Standards Research Group	UPS1_0.1fmol
PXD009815_UPS1_0.1fmol	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1 ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=0.1 fmol per ug yeast	1	UPS1_0.1fmol	Yeast protein lysate mixed with defined amounts of UPS1 human protein standard and digested before LC-MS/MS.	PXD009815_QEKAC160601_65	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	5 ppm	0.07 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_65.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEKAC160601_65.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=beam-type collision-induced dissociation;AC=MS:1000422	DDA	technical measurements from the same prepared sample; no biological replication claimed	Author Mascot/Proline search; separate from alternate MaxQuant branch	https://www.ebi.ac.uk/pride/archive/projects/PXD009815 | https://doi.org/10.1093/bioinformatics/btaa118	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	CT=mixture;QY=100 amol;CN=UPS1;CV=Standards Research Group	UPS1_0.1fmol
