source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[sex]	characteristics[biological replicate]	characteristics[sample name]	characteristics[environmental medium]	assay name	technology type	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[modification parameters]	factor value[condition]
E24965_Pres-047_WS_S3_3	Stenotrophomonas rhizophila	not applicable	not applicable	not applicable	3	not available	not available	E24965_Pres-047_WS_S3_3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	E24965_Pres-047_WS_S3_3.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	WS
E24992_Pres-047_W_S1_29	Stenotrophomonas rhizophila	not applicable	not applicable	not applicable	1	not available	not available	E24992_Pres-047_W_S1_29	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	E24992_Pres-047_W_S1_29.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	W
E24993_Pres-047_W_S2_30	Stenotrophomonas rhizophila	not applicable	not applicable	not applicable	2	not available	not available	E24993_Pres-047_W_S2_30	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	E24993_Pres-047_W_S2_30.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	W
E24963_Pres-047_WS_S1_1	Stenotrophomonas rhizophila	not applicable	not applicable	not applicable	1	not available	not available	E24963_Pres-047_WS_S1_1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	E24963_Pres-047_WS_S1_1.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	WS
E24994_Pres-047_W_S3_31	Stenotrophomonas rhizophila	not applicable	not applicable	not applicable	3	not available	not available	E24994_Pres-047_W_S3_31	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	E24994_Pres-047_W_S3_31.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	W
E24968_Pres-047_HS_S2_6	Stenotrophomonas rhizophila	not applicable	not applicable	not applicable	2	not available	not available	E24968_Pres-047_HS_S2_6	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	E24968_Pres-047_HS_S2_6.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	HS
E24995_Pres-047_W_S4_32	Stenotrophomonas rhizophila	not applicable	not applicable	not applicable	4	not available	not available	E24995_Pres-047_W_S4_32	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	E24995_Pres-047_W_S4_32.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	W
E24967_Pres-047_HS_S1_5	Stenotrophomonas rhizophila	not applicable	not applicable	not applicable	1	not available	not available	E24967_Pres-047_HS_S1_5	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	E24967_Pres-047_HS_S1_5.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	HS
E24966_Pres-047_WS_S4_4	Stenotrophomonas rhizophila	not applicable	not applicable	not applicable	4	not available	not available	E24966_Pres-047_WS_S4_4	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	E24966_Pres-047_WS_S4_4.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	WS
E24970_Pres-047_HS_S4_8	Stenotrophomonas rhizophila	not applicable	not applicable	not applicable	4	not available	not available	E24970_Pres-047_HS_S4_8	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	E24970_Pres-047_HS_S4_8.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	HS
