source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[sex]	characteristics[growth condition]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[modification parameters]	factor value[growth condition]
RO5	Bacillus cereus	not applicable	not applicable	not applicable	pO2 = 0%	1	RO5	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	RO5.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	pO2 = 0%
WTN3	Bacillus cereus	not applicable	not applicable	not applicable	pO2 = 100%	1	WTN3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	WTN3.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	pO2 = 100%
WTO2	Bacillus cereus	not applicable	not applicable	not applicable	pO2 = 100%	1	WTO2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	WTO2.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	pO2 = 100%
WTO3	Bacillus cereus	not applicable	not applicable	not applicable	pO2 = 100%	1	WTO3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	WTO3.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	pO2 = 100%
RN3	Bacillus cereus	not applicable	not applicable	not applicable	pO2 = 0%	1	RN3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	RN3.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	pO2 = 0%
RN4	Bacillus cereus	not applicable	not applicable	not applicable	pO2 = 0%	1	RN4	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	RN4.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	pO2 = 0%
RN2	Bacillus cereus	not applicable	not applicable	not applicable	pO2 = 0%	1	RN2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	RN2.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	pO2 = 0%
WTO1	Bacillus cereus	not applicable	not applicable	not applicable	pO2 = 100%	1	WTO1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	WTO1.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	pO2 = 100%
RO3	Bacillus cereus	not applicable	not applicable	not applicable	pO2 = 0%	1	RO3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	RO3.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	pO2 = 0%
RO1	Bacillus cereus	not applicable	not applicable	not applicable	pO2 = 0%	1	RO1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	RO1.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	pO2 = 0%
