source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[treatment]	characteristics[strain or breed]	characteristics[biological replicate]	characteristics[developmental stage]	assay name	technology type	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	factor value[treatment]
NFER2	Triticum aestivum	seed	not applicable	Fe NPs	NARC-11	2	not available	NFER2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	NFER2.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Fe NPs
GR2C	Triticum aestivum	seed	not applicable	Control	Galaxy-13	2	not available	GR2C	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	GR2C.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Control
PR1C	Triticum aestivum	seed	not applicable	Control	Pakistan-13	1	not available	PR1C	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PR1C.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Control
PR2C	Triticum aestivum	seed	not applicable	Control	Pakistan-13	2	not available	PR2C	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PR2C.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Control
GCUR2	Triticum aestivum	seed	not applicable	Cu NPs	Galaxy-13	2	not available	GCUR2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	GCUR2.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Cu NPs
PCUR2	Triticum aestivum	seed	not applicable	Cu NPs	Pakistan-13	2	not available	PCUR2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PCUR2.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Cu NPs
NFER3	Triticum aestivum	seed	not applicable	Fe NPs	NARC-11	3	not available	NFER3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	NFER3.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Fe NPs
NCUR2	Triticum aestivum	seed	not applicable	Cu NPs	NARC-11	2	not available	NCUR2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	NCUR2.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Cu NPs
NR3C	Triticum aestivum	seed	not applicable	Control	NARC-11	3	not available	NR3C	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	NR3C.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Control
PCUR1	Triticum aestivum	seed	not applicable	Cu NPs	Pakistan-13	1	not available	PCUR1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PCUR1.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Cu NPs
