source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[treatment]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]
ctrl_rep2	Rattus norvegicus	Heart	not available	2	control	ID146_IP_Cx43_ctrl_IDA_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	ID146_IP_Cx43_ctrl_IDA_02.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control
ctrl_rep1	Rattus norvegicus	Heart	not available	1	control	ID146_IP_Cx43_ctrl_SWATH_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	ID146_IP_Cx43_ctrl_SWATH_01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control
ctrl_rep2	Rattus norvegicus	Heart	not available	2	control	ID146_IP_Cx43_ctrl_SWATH_02	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	ID146_IP_Cx43_ctrl_SWATH_02.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control
ctrl_rep3	Rattus norvegicus	Heart	not available	3	control	ID146_IP_Cx43_ctrl_SWATH_03	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	ID146_IP_Cx43_ctrl_SWATH_03.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control
ctrl_excl	Rattus norvegicus	Heart	not available	1	control	ID146_IP_Cx43_ctrl_excl_list	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	ID146_IP_Cx43_ctrl_excl_list.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control
ctrl_neg_rep1	Rattus norvegicus	Heart	not available	1	control	ID146_IP_Cx43_ctrl_neg_IDA_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	ID146_IP_Cx43_ctrl_neg_IDA_01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control
ctrl_neg_rep2	Rattus norvegicus	Heart	not available	2	control	ID146_IP_Cx43_ctrl_neg_IDA_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	ID146_IP_Cx43_ctrl_neg_IDA_02.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control
ctrl_neg_rep1	Rattus norvegicus	Heart	not available	1	control	ID146_IP_Cx43_ctrl_neg_SWATH_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	ID146_IP_Cx43_ctrl_neg_SWATH_01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control
ctrl_neg_rep2	Rattus norvegicus	Heart	not available	2	control	ID146_IP_Cx43_ctrl_neg_SWATH_02	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	ID146_IP_Cx43_ctrl_neg_SWATH_02.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control
ctrl_neg_rep3	Rattus norvegicus	Heart	not available	3	control	ID146_IP_Cx43_ctrl_neg_SWATH_03	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	ID146_IP_Cx43_ctrl_neg_SWATH_03.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control
ctrl_neg_excl	Rattus norvegicus	Heart	not available	1	control	ID146_IP_Cx43_ctrl_neg_excl_list	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	ID146_IP_Cx43_ctrl_neg_excl_list.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control
