source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[genotype]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sample preparation batch]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]	factor value[treatment]
WT_VLC_BR5	Chlamydomonas reinhardtii	not applicable	normal	photosynthetic cell	cell	not available	CC-4349	continuous light 110 umol photons m-2 s-1, 23 C, photoautotrophic MOPS medium	wild type	very low carbon dioxide	5	20240719_1279_OCE12_WT_2VLC	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20240719_1279_OCE12_WT_2VLC.raw	012_HL	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	wild type	very low carbon dioxide
WT_VLC_BR6	Chlamydomonas reinhardtii	not applicable	normal	photosynthetic cell	cell	not available	CC-4349	continuous light 110 umol photons m-2 s-1, 23 C, photoautotrophic MOPS medium	wild type	very low carbon dioxide	6	20240719_1281_OCE12_WT_3VLC	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20240719_1281_OCE12_WT_3VLC.raw	012_HL	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	wild type	very low carbon dioxide
DeltaCP12_HC_BR1	Chlamydomonas reinhardtii	not applicable	normal	photosynthetic cell	cell	not available	CC-4349	continuous light 110 umol photons m-2 s-1, 23 C, photoautotrophic MOPS medium	CP12 deletion	high carbon dioxide	1	20240507_990_DCP12_1_HCbis	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20240507_990_DCP12_1_HCbis.raw	008_HL	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CP12 deletion	high carbon dioxide
DeltaCP12_HC_BR2	Chlamydomonas reinhardtii	not applicable	normal	photosynthetic cell	cell	not available	CC-4349	continuous light 110 umol photons m-2 s-1, 23 C, photoautotrophic MOPS medium	CP12 deletion	high carbon dioxide	2	20240507_992_DCP12_3_HCbis	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20240507_992_DCP12_3_HCbis.raw	008_HL	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CP12 deletion	high carbon dioxide
DeltaCP12_HC_BR3	Chlamydomonas reinhardtii	not applicable	normal	photosynthetic cell	cell	not available	CC-4349	continuous light 110 umol photons m-2 s-1, 23 C, photoautotrophic MOPS medium	CP12 deletion	high carbon dioxide	3	20240507_994_DCP12_4_HCbis	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20240507_994_DCP12_4_HCbis.raw	008_HL	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CP12 deletion	high carbon dioxide
DeltaCP12_HC_BR4	Chlamydomonas reinhardtii	not applicable	normal	photosynthetic cell	cell	not available	CC-4349	continuous light 110 umol photons m-2 s-1, 23 C, photoautotrophic MOPS medium	CP12 deletion	high carbon dioxide	4	20240719_1255_OCE12_DCP12_1HC_bis	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20240719_1255_OCE12_DCP12_1HC_bis.raw	012_HL	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CP12 deletion	high carbon dioxide
DeltaCP12_HC_BR5	Chlamydomonas reinhardtii	not applicable	normal	photosynthetic cell	cell	not available	CC-4349	continuous light 110 umol photons m-2 s-1, 23 C, photoautotrophic MOPS medium	CP12 deletion	high carbon dioxide	5	20240719_1257_OCE12_DCP12_3HC	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20240719_1257_OCE12_DCP12_3HC.raw	012_HL	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CP12 deletion	high carbon dioxide
DeltaCP12_HC_BR6	Chlamydomonas reinhardtii	not applicable	normal	photosynthetic cell	cell	not available	CC-4349	continuous light 110 umol photons m-2 s-1, 23 C, photoautotrophic MOPS medium	CP12 deletion	high carbon dioxide	6	20240719_1259_OCE12_DCP12_4HC	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20240719_1259_OCE12_DCP12_4HC.raw	012_HL	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CP12 deletion	high carbon dioxide
DeltaCP12_VLC_BR1	Chlamydomonas reinhardtii	not applicable	normal	photosynthetic cell	cell	not available	CC-4349	continuous light 110 umol photons m-2 s-1, 23 C, photoautotrophic MOPS medium	CP12 deletion	very low carbon dioxide	1	20240507_997_DCP12_1_LCbis	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20240507_997_DCP12_1_LCbis.raw	008_HL	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CP12 deletion	very low carbon dioxide
DeltaCP12_VLC_BR2	Chlamydomonas reinhardtii	not applicable	normal	photosynthetic cell	cell	not available	CC-4349	continuous light 110 umol photons m-2 s-1, 23 C, photoautotrophic MOPS medium	CP12 deletion	very low carbon dioxide	2	20240507_999_DCP12_3_LCbis	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20240507_999_DCP12_3_LCbis.raw	008_HL	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CP12 deletion	very low carbon dioxide
DeltaCP12_VLC_BR3	Chlamydomonas reinhardtii	not applicable	normal	photosynthetic cell	cell	not available	CC-4349	continuous light 110 umol photons m-2 s-1, 23 C, photoautotrophic MOPS medium	CP12 deletion	very low carbon dioxide	3	20240507_1001_DCP12_4_LCbis	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20240507_1001_DCP12_4_LCbis.raw	008_HL	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CP12 deletion	very low carbon dioxide
DeltaCP12_VLC_BR4	Chlamydomonas reinhardtii	not applicable	normal	photosynthetic cell	cell	not available	CC-4349	continuous light 110 umol photons m-2 s-1, 23 C, photoautotrophic MOPS medium	CP12 deletion	very low carbon dioxide	4	20240719_1262_OCE12_DCP12_1VLC	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20240719_1262_OCE12_DCP12_1VLC.raw	012_HL	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CP12 deletion	very low carbon dioxide
DeltaCP12_VLC_BR5	Chlamydomonas reinhardtii	not applicable	normal	photosynthetic cell	cell	not available	CC-4349	continuous light 110 umol photons m-2 s-1, 23 C, photoautotrophic MOPS medium	CP12 deletion	very low carbon dioxide	5	20240719_1264_OCE12_DCP12_3VLC	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20240719_1264_OCE12_DCP12_3VLC.raw	012_HL	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CP12 deletion	very low carbon dioxide
