source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[material type]	characteristics[sample type]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
leaf_spot_B11	Zea mays	leaf	plant cell	normal	LP.03 three leaves visible stage	not available	growth chamber 25C, 16 h light/8 h dark, 70% RH; LT stress 6C for 12 h (0 h control)	not available	organism part	study sample	pooled	1	ppw_B11_163714419904	proteomic profiling by mass spectrometry	NT=4800 Proteomics Analyzer;AC=MS:1000658	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	1	1	ppw_B11_163714419904.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	leaf
leaf_spot_B15	Zea mays	leaf	plant cell	normal	LP.03 three leaves visible stage	not available	growth chamber 25C, 16 h light/8 h dark, 70% RH; LT stress 6C for 12 h (0 h control)	not available	organism part	study sample	pooled	1	ppw_B15_163714419906	proteomic profiling by mass spectrometry	NT=4800 Proteomics Analyzer;AC=MS:1000658	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	2	1	ppw_B15_163714419906.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	leaf
leaf_spot_B23	Zea mays	leaf	plant cell	normal	LP.03 three leaves visible stage	not available	growth chamber 25C, 16 h light/8 h dark, 70% RH; LT stress 6C for 12 h (0 h control)	not available	organism part	study sample	pooled	1	ppw_B23_163714419907	proteomic profiling by mass spectrometry	NT=4800 Proteomics Analyzer;AC=MS:1000658	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	3	1	ppw_B23_163714419907.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	leaf
leaf_spot_B8	Zea mays	leaf	plant cell	normal	LP.03 three leaves visible stage	not available	growth chamber 25C, 16 h light/8 h dark, 70% RH; LT stress 6C for 12 h (0 h control)	not available	organism part	study sample	pooled	1	ppw_B8_163714419902	proteomic profiling by mass spectrometry	NT=4800 Proteomics Analyzer;AC=MS:1000658	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	4	1	ppw_B8_163714419902.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	leaf
leaf_spot_C12	Zea mays	leaf	plant cell	normal	LP.03 three leaves visible stage	not available	growth chamber 25C, 16 h light/8 h dark, 70% RH; LT stress 6C for 12 h (0 h control)	not available	organism part	study sample	pooled	1	ppw_C12_163714420013	proteomic profiling by mass spectrometry	NT=4800 Proteomics Analyzer;AC=MS:1000658	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	5	1	ppw_C12_163714420013.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	leaf
leaf_spot_C15	Zea mays	leaf	plant cell	normal	LP.03 three leaves visible stage	not available	growth chamber 25C, 16 h light/8 h dark, 70% RH; LT stress 6C for 12 h (0 h control)	not available	organism part	study sample	pooled	1	ppw_C15_163714420015	proteomic profiling by mass spectrometry	NT=4800 Proteomics Analyzer;AC=MS:1000658	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	6	1	ppw_C15_163714420015.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	leaf
leaf_spot_C17	Zea mays	leaf	plant cell	normal	LP.03 three leaves visible stage	not available	growth chamber 25C, 16 h light/8 h dark, 70% RH; LT stress 6C for 12 h (0 h control)	not available	organism part	study sample	pooled	1	ppw_C17_163714420016	proteomic profiling by mass spectrometry	NT=4800 Proteomics Analyzer;AC=MS:1000658	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	7	1	ppw_C17_163714420016.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	leaf
leaf_spot_C21	Zea mays	leaf	plant cell	normal	LP.03 three leaves visible stage	not available	growth chamber 25C, 16 h light/8 h dark, 70% RH; LT stress 6C for 12 h (0 h control)	not available	organism part	study sample	pooled	1	ppw_C21_163714420119	proteomic profiling by mass spectrometry	NT=4800 Proteomics Analyzer;AC=MS:1000658	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	8	1	ppw_C21_163714420119.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	leaf
leaf_spot_C24	Zea mays	leaf	plant cell	normal	LP.03 three leaves visible stage	not available	growth chamber 25C, 16 h light/8 h dark, 70% RH; LT stress 6C for 12 h (0 h control)	not available	organism part	study sample	pooled	1	ppw_C24_163714420121	proteomic profiling by mass spectrometry	NT=4800 Proteomics Analyzer;AC=MS:1000658	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	9	1	ppw_C24_163714420121.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	leaf
leaf_spot_C2	Zea mays	leaf	plant cell	normal	LP.03 three leaves visible stage	not available	growth chamber 25C, 16 h light/8 h dark, 70% RH; LT stress 6C for 12 h (0 h control)	not available	organism part	study sample	pooled	1	ppw_C2_163714419908	proteomic profiling by mass spectrometry	NT=4800 Proteomics Analyzer;AC=MS:1000658	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	10	1	ppw_C2_163714419908.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	leaf
