source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20120611_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepB_TiO2_1_SCX_04	mus musculus	blood	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	4	20120611_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepB_TiO2_1_SCX_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20120611_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepB_TiO2_1_SCX_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001440/20120611_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepB_TiO2_1_SCX_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
20150131_QE1_UPLC4_SS_SA_BCRIPexp4_ingel5_REINJECT	mus musculus	blood	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	20150131_QE1_UPLC4_SS_SA_BCRIPexp4_ingel5_REINJECT	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20150131_QE1_UPLC4_SS_SA_BCRIPexp4_ingel5_REINJECT.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001440/20150131_QE1_UPLC4_SS_SA_BCRIPexp4_ingel5_REINJECT.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
20120521_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepB_GG_SCX_04	mus musculus	blood	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	4	20120521_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepB_GG_SCX_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20120521_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepB_GG_SCX_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001440/20120521_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepB_GG_SCX_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
20120521_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepA_GG_SCX_03	mus musculus	blood	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	3	20120521_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepA_GG_SCX_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20120521_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepA_GG_SCX_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001440/20120521_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepA_GG_SCX_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
20120801_QE3_LC1_SAW_SA_A20_SILAC_BCR_pulldown_2_5	mus musculus	blood	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	5	20120801_QE3_LC1_SAW_SA_A20_SILAC_BCR_pulldown_2_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20120801_QE3_LC1_SAW_SA_A20_SILAC_BCR_pulldown_2_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001440/20120801_QE3_LC1_SAW_SA_A20_SILAC_BCR_pulldown_2_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
20120721_QE2_LC6_SAW_SA_A20_SILAC_BCR_pulldown_B6	mus musculus	blood	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	20120721_QE2_LC6_SAW_SA_A20_SILAC_BCR_pulldown_B6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20120721_QE2_LC6_SAW_SA_A20_SILAC_BCR_pulldown_B6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001440/20120721_QE2_LC6_SAW_SA_A20_SILAC_BCR_pulldown_B6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
20120611_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepB_TiO2_1_SCX_01	mus musculus	blood	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	20120611_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepB_TiO2_1_SCX_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20120611_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepB_TiO2_1_SCX_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001440/20120611_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepB_TiO2_1_SCX_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
20120523_QE3_LC2_SAW_SA_A20_SILAC_IgG_RepB_pY_SCX_pH85	mus musculus	blood	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	20120523_QE3_LC2_SAW_SA_A20_SILAC_IgG_RepB_pY_SCX_pH85	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20120523_QE3_LC2_SAW_SA_A20_SILAC_IgG_RepB_pY_SCX_pH85.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001440/20120523_QE3_LC2_SAW_SA_A20_SILAC_IgG_RepB_pY_SCX_pH85.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
20120801_QE3_LC1_SAW_SA_A20_SILAC_BCR_pulldown_2_8	mus musculus	blood	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	8	20120801_QE3_LC1_SAW_SA_A20_SILAC_BCR_pulldown_2_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20120801_QE3_LC1_SAW_SA_A20_SILAC_BCR_pulldown_2_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001440/20120801_QE3_LC1_SAW_SA_A20_SILAC_BCR_pulldown_2_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
20150131_QE1_UPLC4_SS_SA_BCRIPexp4_ingel6_REINJECT	mus musculus	blood	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	20150131_QE1_UPLC4_SS_SA_BCRIPexp4_ingel6_REINJECT	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20150131_QE1_UPLC4_SS_SA_BCRIPexp4_ingel6_REINJECT.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001440/20150131_QE1_UPLC4_SS_SA_BCRIPexp4_ingel6_REINJECT.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
