accession	field	value	confidence	source	evidence_quote
PMID21183079	developmental stage	juvenile	low	current SDRF (no external evidence available)	characteristics[age]: '3W'x347
PXD000354	sex	female	high	PRIDE project description	Female Sprague-Dawley rats were randomly separated into two groups
PXD000354	strain or breed	Sprague-Dawley	high	PRIDE project description	Female Sprague-Dawley rats were randomly separated into two groups
PXD000354	developmental stage	adult	medium	PRIDE project description	This exercise program remained constant until the end of the 54 weeks.
PXD000354	disease	normal	medium	PRIDE project description	Female Sprague-Dawley rats were randomly separated into two groups
PXD000561	disease	normal	high	publication PMC4403737	All tissues were histologically confirmed to be normal prior to analysis.
PXD000874	organism part	heart	high	PRIDE sample processing protocol	tissue from a rat heart (Pel Freeze Biologicals) was homogenized in 75 mM KCl2
PXD001020	sex	male	high	publication PMC4188985	Male C57BL/6J mice were obtained from B&K Universal Ltd, Grimston, Aldbrough, Hull, UK.
PXD001020	strain or breed	C57BL/6J	high	publication PMC4188985	Male C57BL/6J mice were obtained from B&K Universal Ltd, Grimston, Aldbrough, Hull, UK.
PXD001839	disease	normal	medium	PRIDE project description	Here we present the proteomes of rhesus monkeys and rats, from which we show that age-associated remodeling of the cardiomyocyte cytoskeleton is highly-conserved and beneficial rather than deleterious.
PXD001842	disease	normal	medium	PRIDE project description	Here we present the proteomes of rhesus monkeys and rats, from which we show that age-associated remodeling of the cardiomyocyte cytoskeleton is highly-conserved and beneficial rather than deleterious.
PXD001888	sex	female	high	publication PMC5271313	Female Balb/CJ mice (n = 36, 6–8 weeks, Charles River Laboratories, Sandwich, UK)
PXD001888	strain or breed	Balb/CJ	high	publication PMC5271313	Female Balb/CJ mice (n = 36, 6–8 weeks, Charles River Laboratories, Sandwich, UK)
PXD001888	developmental stage	adult	high	publication PMC5271313	Female Balb/CJ mice (n = 36, 6–8 weeks, Charles River Laboratories, Sandwich, UK)
PXD002331	developmental stage	adult	high	PRIDE sample processing protocol PXD002331	10-week-old Wistar rats were used.
PXD002331	age	10W	high	PRIDE sample processing protocol PXD002331	10-week-old Wistar rats were used.
PXD002331	strain or breed	Wistar	high	PRIDE sample processing protocol PXD002331	10-week-old Wistar rats were used.
PXD002403	strain or breed	White Leghorn	high	PRIDE project description PXD002403	White Leghorn chicken eggs were incubated for 18 days and dissected.
PXD002403	age	18D	medium	PRIDE project description PXD002403	White Leghorn chicken eggs were incubated for 18 days and dissected.
PXD002479	developmental stage	adult	high	publication PMC4671598	We studied reversible protein cysteine thiol oxidation in heart lysates from adult wild type and Cat Tg mice.
PXD002479	age	10M	high	PRIDE sample processing protocol PXD002479	Mice were euthanized at 10 months of age and hearts were perfused to remove blood proteins, excised, snap frozen, and stored in liquid nitrogen or at -80°C.
PXD002479	strain or breed	FVB/N	high	PRIDE sample processing protocol PXD002479	Male and female FVB/N mice (n=5 per group) with cardiac-specific catalase overexpression and wild-type controls were used.
PXD002479	disease	normal	medium	publication PMC4671598	We studied reversible protein cysteine thiol oxidation in heart lysates from adult wild type and Cat Tg mice.
PXD002488	developmental stage	adult	medium	PRIDE project description PXD002488	We investigated the effect of MMP-9 deletion on the cardiac ECM in aged mice.
PXD002870	sex	male	high	PRIDE sample processing protocol PXD002870	mice (male, 9–12 weeks of age; Jackson Laboratories)
PXD002870	age	9W-12W	high	PRIDE sample processing protocol PXD002870	mice (male, 9–12 weeks of age; Jackson Laboratories)
PXD002870	developmental stage	adult	high	PRIDE sample processing protocol PXD002870	mice (male, 9–12 weeks of age; Jackson Laboratories)
PXD003204	developmental stage	juvenile	medium	PRIDE project description PXD003204	Proteogenomics analysis of porcine embryonal stages and juvenile organs.
PXD004631	disease	dilated cardiomyopathy	medium	PRIDE project description PXD004631	Mice overexpressing CaMKII in myocardial mitochondria have dilated cardiomyopathy that appears to be exclusively driven by metabolic defects that lead to reduced ATP production.
PXD004631	developmental stage	adult	medium	publication PMC7473864	Mice used in these studies were a mixture of male and female animals 7–20 weeks of age unless otherwise noted in the figure legend.
PXD005300	strain or breed	C57BL/6	low	PRIDE submitter keywords (bundle)	PRIDE_KEYWORDS: ['Histone modification landscape', 'C57bl/6 mice', 'H3 variants', 'Middle-down ms']
PXD005413	sex	male	high	publication PMC5585273	Mouse tissues (brain, heart, kidney, liver and lung) used in this study were dissected from mouse strain C57BL/6, males, aged 3 months.
PXD005413	age	3M	high	publication PMC5585273	Mouse tissues (brain, heart, kidney, liver and lung) used in this study were dissected from mouse strain C57BL/6, males, aged 3 months.
PXD005413	developmental stage	adult	high	publication PMC5585273	Mouse tissues (brain, heart, kidney, liver and lung) used in this study were dissected from mouse strain C57BL/6, males, aged 3 months.
PXD005413	strain or breed	C57BL/6	high	publication PMC5585273	Mouse tissues (brain, heart, kidney, liver and lung) used in this study were dissected from mouse strain C57BL/6, males, aged 3 months.
PXD005413	disease	normal	medium	publication PMC5585273	Mouse tissues (brain, heart, kidney, liver and lung) used in this study were dissected from mouse strain C57BL/6, males, aged 3 months.
PXD006120	developmental stage	adult	medium	PRIDE sample processing protocol	50 whole beating heart tubes corresponding to 80 μg of protein were cleaned, extracted and pooled into deionized water for each genotype at one week of age.
PXD006120	age	1W	medium	PRIDE sample processing protocol	50 whole beating heart tubes corresponding to 80 μg of protein were cleaned, extracted and pooled into deionized water for each genotype at one week of age.
PXD006646	sex	male	high	PRIDE project description	Male Wistar rats (346 ± 18 g) were assigned to 3 independent groups (n= 6, in each) that were familiarised with running on a motorised treadmill within a metabolic chamber.
PXD006646	strain or breed	Wistar	high	PRIDE project description	Male Wistar rats (346 ± 18 g) were assigned to 3 independent groups (n= 6, in each) that were familiarised with running on a motorised treadmill within a metabolic chamber.
PXD006646	developmental stage	adult	medium	PRIDE project description	Male Wistar rats (346 ± 18 g) were assigned to 3 independent groups (n= 6, in each) that were familiarised with running on a motorised treadmill within a metabolic chamber.
PXD006646	disease	normal	medium	PRIDE project description	Male Wistar rats (346 ± 18 g) were assigned to 3 independent groups (n= 6, in each) that were familiarised with running on a motorised treadmill within a metabolic chamber.
PXD006646	organism part	heart left ventricle	medium	PRIDE sample processing protocol	Left ventricles were pulverized in liquid nitrogen and an accurately weighed portion (100 mg)
PXD006816	sex	male	high	publication PMC5795388	We used C57BL/6N male mice (Taconic Farms #B6-M; 7–9 weeks old).
PXD006816	strain or breed	C57BL/6N	high	publication PMC5795388	We used C57BL/6N male mice (Taconic Farms #B6-M; 7–9 weeks old).
PXD006816	age	7W-9W	high	publication PMC5795388	We used C57BL/6N male mice (Taconic Farms #B6-M; 7–9 weeks old).
PXD006816	developmental stage	adult	high	publication PMC5795388	XL-MS experiments were performed on intact mitochondria isolated from hearts of young adult C57BL/6N male mice.
PXD006816	disease	normal	medium	publication PMC5795388	XL-MS experiments were performed on intact mitochondria isolated from hearts of young adult C57BL/6N male mice.
PXD006888	sex	female	high	publication PMC5562214	Female nude (nu/nu) and C57BL/6 mice (Janvier Labs, France) 15 weeks aged
PXD006888	age	15W	medium	publication PMC5562214	Female nude (nu/nu) and C57BL/6 mice (Janvier Labs, France) 15 weeks aged
PXD006888	developmental stage	adult	high	publication PMC5562214	Female nude (nu/nu) and C57BL/6 mice (Janvier Labs, France) 15 weeks aged
PXD006911	disease	rheumatic heart disease	high	publication PMC5579191	All patients had rheumatic heart valvular disease (RHD).
PXD006911	organism part	cardiac atrium	medium	publication PMC5579191	Human atrial tissues were taken from the patients with rheumatic mitral valve disease in either sinus rhythm or persistent AF.
PXD007171	sex	male	high	publication PMC5626523	8 weeks old male C57BL/6N mice (Charles River Laboratories, Sulzfeld, Germany) underwent either TAC or sham surgery.
PXD007171	strain or breed	C57BL/6N	high	publication PMC5626523	8 weeks old male C57BL/6N mice (Charles River Laboratories, Sulzfeld, Germany) underwent either TAC or sham surgery.
PXD007171	developmental stage	adult	high	publication PMC5626523	8 weeks old male C57BL/6N mice (Charles River Laboratories, Sulzfeld, Germany) underwent either TAC or sham surgery.
PXD008385	sex	male	high	publication PMC6127670	Based on this, we examined the impact of obesity on protein lysine acetylation in the left ventricle (LV) of male c57BL/6J mice.
PXD008385	strain or breed	C57BL/6J	high	publication PMC6127670	Experimental Experimental animals C57BL/6J mice were rendered obese by diet.
PXD008385	developmental stage	adult	high	publication PMC6127670	Sixteen weeks of HFD led to a robust and significant increase in heart weight and LV weight ( Figure 1 A), demonstrating obesity-mediated increase in cardiac hypertrophy.
PXD008722	disease	mitral valve prolapse	high	publication PMC7338087	We collected biopsies from right atria (RA), left atria (LA) and left ventricle (LV) of seven male patients with mitral valve regurgitation with dilated LA but no history of AF.
PXD008722	developmental stage	adult	high	publication PMC7338087	All seven patients were male, middle aged (average 50 years), normal weight (average BMI 23.6), and had mitral valve regurgitation with dilated left atria and a normal left ventricular ejection fraction.
PXD008736	sex	male	high	publication PMC6599035	Thirty male C57BL/6J mice, 12–14-weeks-old and 25–35 g body weight were consecutively euthanized by cervical dislocation in accordance with the United Kingdom Animals (Scientific Procedures) Act, 1986 and complied with Directive 2010/63/EU of the European Parliament.
PXD008736	developmental stage	adult	high	publication PMC6599035	Thirty male C57BL/6J mice, 12–14-weeks-old and 25–35 g body weight were consecutively euthanized by cervical dislocation in accordance with the United Kingdom Animals (Scientific Procedures) Act, 1986 and complied with Directive 2010/63/EU of the European Parliament.
PXD008736	strain or breed	C57BL/6J	high	publication PMC6599035	Thirty male C57BL/6J mice, 12–14-weeks-old and 25–35 g body weight were consecutively euthanized by cervical dislocation in accordance with the United Kingdom Animals (Scientific Procedures) Act, 1986 and complied with Directive 2010/63/EU of the European Parliament.
PXD008736	age	12W-14W	medium	publication PMC6599035	Thirty male C57BL/6J mice, 12–14-weeks-old and 25–35 g body weight were consecutively euthanized by cervical dislocation in accordance with the United Kingdom Animals (Scientific Procedures) Act, 1986 and complied with Directive 2010/63/EU of the European Parliament.
PXD008736	disease	normal	medium	publication PMC6599035	Owing to the small biopsy size, samples were dissected from 30 mice in total, and biopsies from ten animals were pooled, resulting in three biological replicates for each tissue type.
PXD008998	strain or breed	C57BL/6N	high	publication PMC6061787	were maintained on C57Bl/6NCrl background (Charles River Laboratories, Germany strain code 027).
PXD008998	developmental stage	adult	medium	publication PMC6061787	purified heart mitochondria from controls (pp, 8–9 week old) and
PXD008998	age	8W-10W	medium	publication PMC6061787	purified heart mitochondria from controls (pp, 8–9 week old) and
PXD010154	disease	normal	high	PRIDE project description	We generated a systematic, quantitative and deep proteome and transcriptome abundance atlas from 29 paired healthy human to serve as a molecular baseline to study human biology.
PXD011349	cell type	not applicable	low	PRIDE sample processing protocol	From each patient three EMBs from the LV and RV respectively, were pooled, grinded to powder and protein extracted with Qiazol.
PXD011627	developmental stage	adult	high	publication PMC6731076	We have characterized the proteome of adult zebrafish heart ECM.
PXD011627	strain or breed	AB	high	publication PMC6731076	Wild-type zebrafish of the AB strain were maintained according to Standard protocols
PXD011778	sex	male	high	publication PMC6329742	A total of 69 C57BL/6 J adult (3–6 months old) male mice were included, 60 for transcriptome analysis, and 9 for multiplex immunofluorescence.
PXD011778	developmental stage	adult	high	publication PMC6329742	A total of 69 C57BL/6 J adult (3–6 months old) male mice were included, 60 for transcriptome analysis, and 9 for multiplex immunofluorescence.
PXD011778	strain or breed	C57BL/6J	high	publication PMC6329742	A total of 69 C57BL/6 J adult (3–6 months old) male mice were included, 60 for transcriptome analysis, and 9 for multiplex immunofluorescence.
PXD011778	age	3M-6M	medium	publication PMC6329742	A total of 69 C57BL/6 J adult (3–6 months old) male mice were included, 60 for transcriptome analysis, and 9 for multiplex immunofluorescence.
PXD011778	cell type	fibroblast	high	PRIDE project description	LV fibroblasts were isolated from control (day 0), and infarcted regions at day 1, day 3, and day 7 after myocardial infarction (MI).
PXD011780	cell type	macrophage	high	PRIDE project description	Macrophage secretome- Macrophages were isolated from the left ventricle from control (day 0) or from the infarct region at day 1 after myocardial infarction (MI).
PXD011780	strain or breed	C57BL/6J	high	publication PMC8963000	We evaluated the MI D1 macrophage secretome from male mice (C57BL/6J, ages 3–6 months) subjected to coronary artery ligation surgery as described previously.
PXD011780	sex	male	medium	publication PMC8963000	We evaluated the MI D1 macrophage secretome from male mice (C57BL/6J, ages 3–6 months) subjected to coronary artery ligation surgery as described previously.
PXD011780	developmental stage	adult	high	publication PMC8963000	We evaluated the MI D1 macrophage secretome from male mice (C57BL/6J, ages 3–6 months) subjected to coronary artery ligation surgery as described previously.
PXD011780	age	3M-6M	medium	publication PMC8963000	We evaluated the MI D1 macrophage secretome from male mice (C57BL/6J, ages 3–6 months) subjected to coronary artery ligation surgery as described previously.
PXD011791	developmental stage	adult	high	publication PMC8704488	we performed label-free quantitative (LFQ) proteomics to assess the proteome of adult uninjured, 3 dpi, and 7 dpi hearts
PXD011998	cell type	cardiac stem cell	medium	PRIDE project description	In the present study, a quantitative proteomics analysis (SWATH-MS) was employed to investigate hCSC response to paracrine factors released by human cardiomyocytes (hCMs) in response to an in vitro AMI Ischemia/Reperfusion (I/R) injury.
PXD013375	developmental stage	adult	high	PRIDE sample processing protocol	A complete adult bovine (Bos Taurus) heart was obtained within 24 hours post-mortem.
PXD013543	sex	male	high	publication PMC6888820	Male Wistar rats were established in two groups
PXD013543	strain or breed	Wistar	high	publication PMC6888820	Male Wistar rats were established in two groups
PXD013543	developmental stage	adult	high	publication PMC6888820	Sixty‐day‐old male Wistar rats were housed in individual cages in a controlled environment under a 12-h light-dark cycle
PXD013543	organism part	heart left ventricle	high	PRIDE sample processing protocol	A label-free shotgun proteomic analysis was performed with left ventricle samples from eight individuals in each of control and Western diet groups.
PXD014016	disease	normal	medium	PRIDE project description	Previously, a mouse model was generated that despite ubiquitous expression of AOX revealed no deviations from normal physiology and which now is used as model to test mitochondrial disease paradigms (Szibor et al., 2017).
