accession	severity	column	current_value	defect	evidence_quote
IPX0010296000	minor	characteristics[material type]	organism part	asserted on all 516 rows, but 63 rows are blood plasma, which is a body fluid rather than an organism part; material type should distinguish fluid from solid tissue	'blood plasma'x63
PMID21183079	important	characteristics[cell type]	spleen / brain / heart / kidney / lung / brown adipose tissue / liver / testis	characteristics[cell type] is a verbatim copy of characteristics[organism part]; 'heart', 'spleen', 'brain' etc. are organs, not cell types, so every row carries a false cell-type claim	characteristics[cell type]: 'spleen'x41; 'brain'x40; 'heart'x40
PMID21183079	minor	characteristics[developmental stage]	not aplicable	misspelled placeholder ('not aplicable'), and developmental stage is in fact determinable: the recorded age is 3 weeks, which is a juvenile/weanling mouse, not 'not applicable'	characteristics[developmental stage]: 'not aplicable'x347
PMID21183079	minor	characteristics[ancestry category]	not aplicable	misspelled placeholder; ancestry category is a human-only field and should not be present on a Mus musculus SDRF at all	characteristics[ancestry category]: 'not aplicable'x347
PXD000354	minor	characteristics[biological replicate]	1	all 20 rows are biological replicate '1' and source names are a flat PXD000354-Sample-N series, although the deposit covers 10 distinct animals (5 exercise-trained, 5 sedentary) each analysed as total and phospho-enriched fractions; no run-to-animal key is recoverable	Mitochondria isolation from 10 animals (5 Ex group and 5 Cont group) was performed
PXD000561	important	characteristics[organism part]	NK cells / Monocytes / CD4 Tcells (alongside Heart, Liver, Ovary, ...)	six of the 30 samples are purified primary hematopoietic cell types, not organism parts; they are recorded in the organism part column while characteristics[cell type] is 'not applicable' on all 2212 rows and characteristics[material type] is 'organism part' on all 2212 rows, so the primary-cell rows carry a wrong material class	17 adult tissues, 7 fetal tissues and 6 purified primary hematopoietic cells
PXD000561	minor	characteristics[cell type]	not applicable	'not applicable' is asserted on all 2212 rows even though the deposit explicitly contains six defined primary cell types (NK cells, monocytes, CD4 T cells, cytotoxic T lymphocytes, B lymphocytes, platelets)	characteristics[cell type]: 'not applicable'x2212
PXD000561	minor	characteristics[biological replicate]	1	every sample is a pool of three donors, so the rows are pooled material rather than single-donor biological replicate 1; the pooling is not represented anywhere in the SDRF	equal amounts from three donors were pooled for further fractionation.
PXD000561	minor	characteristics[age]	not available	characteristics[age] and characteristics[sex] each appear twice as duplicate columns, both filled with 'not available'	characteristics[organism part]: 'Heart'x226; 'Liver'x185; 'Ovary'x122; 'NK cells'x106
PXD000874	important	characteristics[organism part]	Cardiac muscle cell	a cell-type term is used as the organism part on all 34 rows, and it is not what was sampled: the material is myofilament subproteome prepared by homogenising whole rat heart tissue, not isolated cardiomyocytes; organism part should be 'heart' and, if a cell type is wanted, it belongs in characteristics[cell type]	tissue from a rat heart (Pel Freeze Biologicals) was homogenized in 75 mM KCl2
PXD000874	minor	factor value[organism part]	Cardiac muscle cell	factor value[organism part] repeats the same wrong term on all 34 rows and is not a factor at all, since organism part is constant across the deposit	characteristics[organism part]: 'Cardiac muscle cell'x34
PXD001020	important	characteristics[cell type]	cardiac muscle cell	asserted on all 384 rows although the material is whole-heart tissue homogenate (Triton-insoluble subfraction), not isolated or purified cardiomyocytes; the value comes from the submitter's PRIDE dropdown, not from the method	Control and septic hearts or other tissues (aorta, kidney, spleen, liver, lung, muscle, brain) were excised and washed briefly in ice-cold Tyrode's solution
PXD001020	minor	characteristics[disease]	not available	half the deposit is an LPS endotoxaemia (sepsis) model and half is saline control, but the SDRF records no disease and no case/control factor at all, so the study design is invisible; this is an omission rather than a false claim, and it cannot be fixed without a run-to-animal key	Hearts were obtained from control and LPS-treated mice ( n = 4 per group).
