accession	field	why_no_value_can_be_written
IPX0010296000	organism part	multi-tissue deposit (adrenal gland, blood plasma, pancreas, adipose tissue, liver, skin, lymph node, skeletal muscle, ...); already annotated per row
IPX0010296000	sex	380 male / 136 female rows; mixed cohort
IPX0010296000	age	many distinct per-donor ages (15Y-67Y+)
PMID21183079	organism part	multi-tissue mouse deposit (spleen, brain, heart, kidney, lung, brown adipose tissue, liver, testis); already annotated per row
PXD000561	sex	the panel includes both ovary and testis, and each sample is a pool of three donors; no per-run sex is recoverable
PXD000561	age	adult autopsy donors and fetal tissues pooled three donors per sample; no ages given
PXD000561	developmental stage	17 adult tissues vs 7 fetal tissues; already annotated per row as Adult/Fetus
PXD000561	organism part	30 different tissues and cell types; already annotated per row
PXD001020	disease	LPS-induced endotoxaemic sepsis arm (n=4) vs saline control arm (n=4); the 384 rows are 48 gel bands per sample and the bundle gives no run-to-animal key, so neither 'sepsis' nor 'normal' may be broadcast
PXD001839	age	the sole design variable is age (young vs old rats in a cardiac aging study); the bundle gives no ages and no run-to-animal key
PXD001839	developmental stage	same young vs old aging contrast; cannot be assigned per row
PXD001842	age	cardiac aging study contrasting young and old rhesus monkeys; no ages and no run-to-animal key in the bundle
PXD001842	developmental stage	same young vs old contrast; cannot be assigned per row
PXD001888	disease	sunitinib-treated cohort vs vehicle (sterile water) control cohort; the 48 rows carry no run-to-animal key, so neither arm may be broadcast
PXD001888	age	mice were 6-8 weeks at supply and dosed for 4 weeks, so the age at sacrifice is neither stated nor uniform enough to record exactly
PXD001972	sex	one male and one female subject; already correctly annotated per row and encoded in the source names
PXD001972	organism part	twelve organs across the two subjects; already annotated per row
PXD002331	disease	Langendorff-perfused hearts split into control, no-flow ischemia and ischemia/reperfusion arms; the animals themselves were healthy Wistar rats, so no per-row disease diagnosis holds. The ex vivo insult is already carried by characteristics[treatment].
PXD002331	sex	sex of the rats is never stated in title, description, protocol, and the publication is not open access
PXD002403	sex	male and female embryos were dimethyl-labelled light/heavy and MIXED before injection, so every raw file contains both sexes; no per-row sex assignment is possible
PXD002479	sex	male and female FVB/N mice were both used, with no run-to-animal key
PXD002488	disease	aged wild-type vs MMP-9 null mice; neither arm is a disease and the genotype cannot be mapped to individual raw files
PXD002488	sex	not stated anywhere in the bundle; publication is not open access
PXD002488	age	only described as 'aged', no exact age given
PXD002870	disease	682 of 1477 rows are isoproterenol-induced cardiac hypertrophy and 795 are untreated controls; the split is recoverable from the source names (CTRL vs ISO) but a single uniform disease value does not exist
PXD003204	sex	never stated; publication is not open access
PXD003204	age	no numeric age given, only 'juvenile'
