source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[ancestry category]	characteristics[genotype]	characteristics[phase]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[phase]	factor value[genotype]
WT_M0	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	monocytes	not applicable	THP-1	not available	not available	1	not available	WT	M0	WT_M0_S1	label-free quantitation	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample	NT=Trypsin;AC=MS:1001251	1	1	231208_EKnutsen_THP1_WT_M0_S1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	M0	WT
WT_M0	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	monocytes	not applicable	THP-1	not available	not available	2	not available	WT	M0	WT_M0_S13	label-free quantitation	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample	NT=Trypsin;AC=MS:1001251	1	1	231208_EKnutsen_THP1_WT_M0_S13.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	M0	WT
WT_M0	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	monocytes	not applicable	THP-1	not available	not available	3	not available	WT	M0	WT_M0_S19	label-free quantitation	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample	NT=Trypsin;AC=MS:1001251	1	1	231208_EKnutsen_THP1_WT_M0_S19.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	M0	WT
WT_M1	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	monocytes	not applicable	THP-1	not available	not available	1	not available	WT	M1	WT_M1_S2	label-free quantitation	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample	NT=Trypsin;AC=MS:1001251	1	1	231208_EKnutsen_THP1_WT_M1_S2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	M1	WT
WT_M1	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	monocytes	not applicable	THP-1	not available	not available	2	not available	WT	M1	WT_M1_S14	label-free quantitation	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample	NT=Trypsin;AC=MS:1001251	1	1	231208_EKnutsen_THP1_WT_M1_S14.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	M1	WT
WT_M1	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	monocytes	not applicable	THP-1	not available	not available	3	not available	WT	M1	WT_M1_S20	label-free quantitation	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample	NT=Trypsin;AC=MS:1001251	1	1	231208_EKnutsen_THP1_WT_M1_S20.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	M1	WT
WT_M2	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	monocytes	not applicable	THP-1	not available	not available	1	not available	WT	M2	WT_M2_S3_B	label-free quantitation	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample	NT=Trypsin;AC=MS:1001251	1	1	231208_EKnutsen_THP1_WT_M2_S3_B.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	M2	WT
WT_M2	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	monocytes	not applicable	THP-1	not available	not available	2	not available	WT	M2	WT_M2_S15	label-free quantitation	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample	NT=Trypsin;AC=MS:1001251	1	1	231208_EKnutsen_THP1_WT_M2_S15.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	M2	WT
WT_M2	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	monocytes	not applicable	THP-1	not available	not available	3	not available	WT	M2	WT_M2_S21	label-free quantitation	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample	NT=Trypsin;AC=MS:1001251	1	1	231208_EKnutsen_THP1_WT_M2_S21.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	M2	WT
KO_M0	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	monocytes	not applicable	THP-1	not available	not available	1	not available	KO	M0	KO_M0_S4	label-free quantitation	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample	NT=Trypsin;AC=MS:1001251	1	1	231208_EKnutsen_THP1_KO_M0_S4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	M0	KO
KO_M0	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	monocytes	not applicable	THP-1	not available	not available	2	not available	KO	M0	KO_M0_S16	label-free quantitation	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample	NT=Trypsin;AC=MS:1001251	1	1	231208_EKnutsen_THP1_KO_M0_S16.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	M0	KO
KO_M0	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	monocytes	not applicable	THP-1	not available	not available	3	not available	KO	M0	KO_M0_S22	label-free quantitation	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample	NT=Trypsin;AC=MS:1001251	1	1	231208_EKnutsen_THP1_KO_M0_S22.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	M0	KO
KO_M1	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	monocytes	not applicable	THP-1	not available	not available	1	not available	KO	M1	KO_M1_S5	label-free quantitation	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample	NT=Trypsin;AC=MS:1001251	1	1	231208_EKnutsen_THP1_KO_M1_S5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	M1	KO
KO_M1	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	monocytes	not applicable	THP-1	not available	not available	2	not available	KO	M1	KO_M1_S17	label-free quantitation	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample	NT=Trypsin;AC=MS:1001251	1	1	231208_EKnutsen_THP1_KO_M1_S17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	M1	KO
KO_M1	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	monocytes	not applicable	THP-1	not available	not available	3	not available	KO	M1	KO_M1_S23	label-free quantitation	Data-dependent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample	NT=Trypsin;AC=MS:1001251	1	1	231208_EKnutsen_THP1_KO_M1_S23.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	M1	KO
