source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
MU-Pcf-F12-13	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	13	MU-Pcf-F12-13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	MU-Pcf-F12-13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/MU-Pcf-F12-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
Silac-MU-F12-13	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	13	Silac-MU-F12-13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	Silac-MU-F12-13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Silac-MU-F12-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
Silac-MU-F16-18a	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	Silac-MU-F16-18a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	Silac-MU-F16-18a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Silac-MU-F16-18a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
Prot-2Bsf-H	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	Prot-2Bsf-H	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	Prot-2Bsf-H.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Prot-2Bsf-H.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
MU2-Pcf-F10-11	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	11	MU2-Pcf-F10-11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	MU2-Pcf-F10-11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/MU2-Pcf-F10-11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
MU3-Pcf-F3	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	MU3-Pcf-F3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	3	1	MU3-Pcf-F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/MU3-Pcf-F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
Silac-F16-18-1	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	Silac-F16-18-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	Silac-F16-18-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Silac-F16-18-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
Prot-BSF-F	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	Prot-BSF-F	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	Prot-BSF-F.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Prot-BSF-F.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
Prot-2Bsf-D	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	Prot-2Bsf-D	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	Prot-2Bsf-D.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Prot-2Bsf-D.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
Silac-F3a	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	Silac-F3a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	Silac-F3a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Silac-F3a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
