source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[sex]	characteristics[temperature]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[precursor mass tolerance]	comment[modification parameters]	factor value[temperature]
25_T1__18_11-19	Breviolum minutum	whole unicellular cultures	not applicable	not applicable	one week at 32C	1	25_T1__18_11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	25_T1__18_11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	one week at 32C
28_T1__14-11-19	Breviolum minutum	whole unicellular cultures	not applicable	not applicable	one week at 32C	1	28_T1__14-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	28_T1__14-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	one week at 32C
27_TE__17-11-19	Breviolum minutum	whole unicellular cultures	not applicable	not applicable	end of the temperature ramp	1	27_TE__17-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	27_TE__17-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	end of the temperature ramp
28_TE__15-11-19_20191120032712	Breviolum minutum	whole unicellular cultures	not applicable	not applicable	end of the temperature ramp	1	28_TE__15-11-19_20191120032712	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	28_TE__15-11-19_20191120032712.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	end of the temperature ramp
11_T0__14-11-19_20191116230622	Breviolum minutum	whole unicellular cultures	not applicable	not applicable	controls (26C)	1	11_T0__14-11-19_20191116230622	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	11_T0__14-11-19_20191116230622.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	controls (26C)
11_T0__14-11-19	Breviolum minutum	whole unicellular cultures	not applicable	not applicable	controls (26C)	1	11_T0__14-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	11_T0__14-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	controls (26C)
10_T0_13-11-19_20191116052344	Breviolum minutum	whole unicellular cultures	not applicable	not applicable	controls (26C)	1	10_T0_13-11-19_20191116052344	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	10_T0_13-11-19_20191116052344.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	controls (26C)
25_T0__16-11-20	Breviolum minutum	whole unicellular cultures	not applicable	not applicable	controls (26C)	1	25_T0__16-11-20	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	25_T0__16-11-20.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	controls (26C)
9_T1__14-11-19	Breviolum minutum	whole unicellular cultures	not applicable	not applicable	one week at 32C	1	9_T1__14-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	9_T1__14-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	one week at 32C
27_T1__16-11-19_20191119191112	Breviolum minutum	whole unicellular cultures	not applicable	not applicable	one week at 32C	1	27_T1__16-11-19_20191119191112	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	27_T1__16-11-19_20191119191112.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	one week at 32C
