source name	characteristics[organism]	characteristics[organism part]	characteristics[enrichment process]	characteristics[disease]	characteristics[treatment]	characteristics[biological replicate]	characteristics[developmental stage]	assay name	technology type	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	factor value[treatment]
R240	Glycine max	root tip	not applicable	Wounds and injuries	control	4	2 day seedling stage	R240	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	R240.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	not available	not available	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	control
R342F	Glycine max	root tip	not applicable	Wounds and injuries	flooding stress	3	2 day seedling stage	R342F	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	R342F.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	not available	not available	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	flooding stress
R320	Glycine max	root tip	not applicable	Wounds and injuries	control	5	2 day seedling stage	R320	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	R320.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	not available	not available	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	control
R220	Glycine max	root tip	not applicable	Wounds and injuries	control	3	2 day seedling stage	R220	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	R220.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	not available	not available	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	control
GR140	Glycine max	root tip	enrichment of glycoproteins	Wounds and injuries	control	1	2 day seedling stage	GR140	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	GR140.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	not available	not available	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	control
GR242D	Glycine max	root tip	enrichment of glycoproteins	Wounds and injuries	drought stress	2	2 day seedling stage	GR242D	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	GR242D.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	not available	not available	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	drought stress
R142F	Glycine max	root tip	not applicable	Wounds and injuries	flooding stress	1	2 day seedling stage	R142F	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	R142F.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	not available	not available	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	flooding stress
R342D	Glycine max	root tip	not applicable	Wounds and injuries	drought stress	3	2 day seedling stage	R342D	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	R342D.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	not available	not available	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	drought stress
R242F	Glycine max	root tip	not applicable	Wounds and injuries	flooding stress	2	2 day seedling stage	R242F	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	R242F.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	not available	not available	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	flooding stress
GR220	Glycine max	root tip	enrichment of glycoproteins	Wounds and injuries	control	2	2 day seedling stage	GR220	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	GR220.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	not available	not available	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	control
GR320	Glycine max	root tip	enrichment of glycoproteins	Wounds and injuries	control	4	2 day seedling stage	GR320	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	GR320.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	not available	not available	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	control
R242D	Glycine max	root tip	not applicable	Wounds and injuries	drought stress	2	2 day seedling stage	R242D	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	R242D.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	not available	not available	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	drought stress
R340	Glycine max	root tip	not applicable	Wounds and injuries	control	6	2 day seedling stage	R340	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	R340.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	not available	not available	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	control
