source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[strain or breed]	characteristics[genotype]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	characteristics[sample type]	characteristics[synthetic peptide]	characteristics[spiked compound]	characteristics[enrichment process]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[ms min mz]	comment[ms max mz]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]
P3415_M1_bio3	Mus musculus	spleen	not available	C57BL/6	Marchf1-/-	not available	adult	normal	3	study sample	not synthetic	CT=peptide;CN=SpikeTides TQL heavy-labelled ubiquitin peptides K11 K48 K63 internal standard, high spike level;CV=JPT Peptide Technologies;QY=not available	immunoprecipitation	P3415_M1H_1_3_1_1_01_7656	proteomic profiling by mass spectrometry	P3415_M1H_1_3_1_1_01_7656.d.zip	3	1	NT=label free sample;AC=MS:1002038	NT=impact II;AC=MS:1002666	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;PP=Anywhere;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=GG;MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:121	NT=Label:13C(6)15N(2);MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:259	NT=Label:13C(6)15N(4);MT=variable;PP=Anywhere;TA=R;AC=UNIMOD:267	not available	40 ppm	not applicable	200m/z	2000m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Marchf1-/-
P3415_M1_bio1	Mus musculus	spleen	not available	C57BL/6	Marchf1-/-	not available	adult	normal	1	study sample	not synthetic	CT=peptide;CN=SpikeTides TQL heavy-labelled ubiquitin peptides K11 K48 K63 internal standard, low spike level;CV=JPT Peptide Technologies;QY=not available	immunoprecipitation	P3415_M1L_1_1_1_1_01_7646	proteomic profiling by mass spectrometry	P3415_M1L_1_1_1_1_01_7646.d.zip	1	1	NT=label free sample;AC=MS:1002038	NT=impact II;AC=MS:1002666	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;PP=Anywhere;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=GG;MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:121	NT=Label:13C(6)15N(2);MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:259	NT=Label:13C(6)15N(4);MT=variable;PP=Anywhere;TA=R;AC=UNIMOD:267	not available	40 ppm	not applicable	200m/z	2000m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Marchf1-/-
P3415_M1_bio2	Mus musculus	spleen	not available	C57BL/6	Marchf1-/-	not available	adult	normal	2	study sample	not synthetic	CT=peptide;CN=SpikeTides TQL heavy-labelled ubiquitin peptides K11 K48 K63 internal standard, low spike level;CV=JPT Peptide Technologies;QY=not available	immunoprecipitation	P3415_M1L_1_2_1_1_01_7647	proteomic profiling by mass spectrometry	P3415_M1L_1_2_1_1_01_7647.d.zip	1	1	NT=label free sample;AC=MS:1002038	NT=impact II;AC=MS:1002666	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;PP=Anywhere;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=GG;MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:121	NT=Label:13C(6)15N(2);MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:259	NT=Label:13C(6)15N(4);MT=variable;PP=Anywhere;TA=R;AC=UNIMOD:267	not available	40 ppm	not applicable	200m/z	2000m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Marchf1-/-
P3415_M1_bio3	Mus musculus	spleen	not available	C57BL/6	Marchf1-/-	not available	adult	normal	3	study sample	not synthetic	CT=peptide;CN=SpikeTides TQL heavy-labelled ubiquitin peptides K11 K48 K63 internal standard, low spike level;CV=JPT Peptide Technologies;QY=not available	immunoprecipitation	P3415_M1L_1_3_1_1_01_7648	proteomic profiling by mass spectrometry	P3415_M1L_1_3_1_1_01_7648.d.zip	1	1	NT=label free sample;AC=MS:1002038	NT=impact II;AC=MS:1002666	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;PP=Anywhere;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=GG;MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:121	NT=Label:13C(6)15N(2);MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:259	NT=Label:13C(6)15N(4);MT=variable;PP=Anywhere;TA=R;AC=UNIMOD:267	not available	40 ppm	not applicable	200m/z	2000m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Marchf1-/-
P3415_M1_bio1	Mus musculus	spleen	not available	C57BL/6	Marchf1-/-	not available	adult	normal	1	study sample	not synthetic	CT=peptide;CN=SpikeTides TQL heavy-labelled ubiquitin peptides K11 K48 K63 internal standard, medium spike level;CV=JPT Peptide Technologies;QY=not available	immunoprecipitation	P3415_M1M_1_1_1_1_01_7650	proteomic profiling by mass spectrometry	P3415_M1M_1_1_1_1_01_7650.d.zip	2	1	NT=label free sample;AC=MS:1002038	NT=impact II;AC=MS:1002666	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;PP=Anywhere;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=GG;MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:121	NT=Label:13C(6)15N(2);MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:259	NT=Label:13C(6)15N(4);MT=variable;PP=Anywhere;TA=R;AC=UNIMOD:267	not available	40 ppm	not applicable	200m/z	2000m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Marchf1-/-
P3415_M1_bio2	Mus musculus	spleen	not available	C57BL/6	Marchf1-/-	not available	adult	normal	2	study sample	not synthetic	CT=peptide;CN=SpikeTides TQL heavy-labelled ubiquitin peptides K11 K48 K63 internal standard, medium spike level;CV=JPT Peptide Technologies;QY=not available	immunoprecipitation	P3415_M1M_1_2_1_1_01_7651	proteomic profiling by mass spectrometry	P3415_M1M_1_2_1_1_01_7651.d.zip	2	1	NT=label free sample;AC=MS:1002038	NT=impact II;AC=MS:1002666	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;PP=Anywhere;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=GG;MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:121	NT=Label:13C(6)15N(2);MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:259	NT=Label:13C(6)15N(4);MT=variable;PP=Anywhere;TA=R;AC=UNIMOD:267	not available	40 ppm	not applicable	200m/z	2000m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Marchf1-/-
P3415_M1_bio3	Mus musculus	spleen	not available	C57BL/6	Marchf1-/-	not available	adult	normal	3	study sample	not synthetic	CT=peptide;CN=SpikeTides TQL heavy-labelled ubiquitin peptides K11 K48 K63 internal standard, medium spike level;CV=JPT Peptide Technologies;QY=not available	immunoprecipitation	P3415_M1M_1_3_1_1_01_7652	proteomic profiling by mass spectrometry	P3415_M1M_1_3_1_1_01_7652.d.zip	2	1	NT=label free sample;AC=MS:1002038	NT=impact II;AC=MS:1002666	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;PP=Anywhere;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=GG;MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:121	NT=Label:13C(6)15N(2);MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:259	NT=Label:13C(6)15N(4);MT=variable;PP=Anywhere;TA=R;AC=UNIMOD:267	not available	40 ppm	not applicable	200m/z	2000m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Marchf1-/-
P3415_WT_bio1	Mus musculus	spleen	not available	C57BL/6	wild type	not available	adult	normal	1	study sample	not synthetic	CT=peptide;CN=SpikeTides TQL heavy-labelled ubiquitin peptides K11 K48 K63 internal standard, high spike level;CV=JPT Peptide Technologies;QY=not available	immunoprecipitation	P3415_WTH_1_1_1_1_01_7666	proteomic profiling by mass spectrometry	P3415_WTH_1_1_1_1_01_7666.d.zip	3	1	NT=label free sample;AC=MS:1002038	NT=impact II;AC=MS:1002666	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;PP=Anywhere;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=GG;MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:121	NT=Label:13C(6)15N(2);MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:259	NT=Label:13C(6)15N(4);MT=variable;PP=Anywhere;TA=R;AC=UNIMOD:267	not available	40 ppm	not applicable	200m/z	2000m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type
P3415_WT_bio2	Mus musculus	spleen	not available	C57BL/6	wild type	not available	adult	normal	2	study sample	not synthetic	CT=peptide;CN=SpikeTides TQL heavy-labelled ubiquitin peptides K11 K48 K63 internal standard, high spike level;CV=JPT Peptide Technologies;QY=not available	immunoprecipitation	P3415_WTH_1_2_1_1_01_7667	proteomic profiling by mass spectrometry	P3415_WTH_1_2_1_1_01_7667.d.zip	3	1	NT=label free sample;AC=MS:1002038	NT=impact II;AC=MS:1002666	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;PP=Anywhere;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=GG;MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:121	NT=Label:13C(6)15N(2);MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:259	NT=Label:13C(6)15N(4);MT=variable;PP=Anywhere;TA=R;AC=UNIMOD:267	not available	40 ppm	not applicable	200m/z	2000m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type
P3415_WT_bio3	Mus musculus	spleen	not available	C57BL/6	wild type	not available	adult	normal	3	study sample	not synthetic	CT=peptide;CN=SpikeTides TQL heavy-labelled ubiquitin peptides K11 K48 K63 internal standard, high spike level;CV=JPT Peptide Technologies;QY=not available	immunoprecipitation	P3415_WTH_1_3_1_1_01_7668	proteomic profiling by mass spectrometry	P3415_WTH_1_3_1_1_01_7668.d.zip	3	1	NT=label free sample;AC=MS:1002038	NT=impact II;AC=MS:1002666	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;PP=Anywhere;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=GG;MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:121	NT=Label:13C(6)15N(2);MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:259	NT=Label:13C(6)15N(4);MT=variable;PP=Anywhere;TA=R;AC=UNIMOD:267	not available	40 ppm	not applicable	200m/z	2000m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type
P3415_WT_bio1	Mus musculus	spleen	not available	C57BL/6	wild type	not available	adult	normal	1	study sample	not synthetic	CT=peptide;CN=SpikeTides TQL heavy-labelled ubiquitin peptides K11 K48 K63 internal standard, low spike level;CV=JPT Peptide Technologies;QY=not available	immunoprecipitation	P3415_WTL_1_1_1_1_01_7658	proteomic profiling by mass spectrometry	P3415_WTL_1_1_1_1_01_7658.d.zip	1	1	NT=label free sample;AC=MS:1002038	NT=impact II;AC=MS:1002666	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;PP=Anywhere;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=GG;MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:121	NT=Label:13C(6)15N(2);MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:259	NT=Label:13C(6)15N(4);MT=variable;PP=Anywhere;TA=R;AC=UNIMOD:267	not available	40 ppm	not applicable	200m/z	2000m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type
P3415_WT_bio2	Mus musculus	spleen	not available	C57BL/6	wild type	not available	adult	normal	2	study sample	not synthetic	CT=peptide;CN=SpikeTides TQL heavy-labelled ubiquitin peptides K11 K48 K63 internal standard, low spike level;CV=JPT Peptide Technologies;QY=not available	immunoprecipitation	P3415_WTL_1_2_1_1_01_7659	proteomic profiling by mass spectrometry	P3415_WTL_1_2_1_1_01_7659.d.zip	1	1	NT=label free sample;AC=MS:1002038	NT=impact II;AC=MS:1002666	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;PP=Anywhere;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=GG;MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:121	NT=Label:13C(6)15N(2);MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:259	NT=Label:13C(6)15N(4);MT=variable;PP=Anywhere;TA=R;AC=UNIMOD:267	not available	40 ppm	not applicable	200m/z	2000m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type
P3415_WT_bio3	Mus musculus	spleen	not available	C57BL/6	wild type	not available	adult	normal	3	study sample	not synthetic	CT=peptide;CN=SpikeTides TQL heavy-labelled ubiquitin peptides K11 K48 K63 internal standard, low spike level;CV=JPT Peptide Technologies;QY=not available	immunoprecipitation	P3415_WTL_1_3_1_1_01_7660	proteomic profiling by mass spectrometry	P3415_WTL_1_3_1_1_01_7660.d.zip	1	1	NT=label free sample;AC=MS:1002038	NT=impact II;AC=MS:1002666	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;PP=Anywhere;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=GG;MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:121	NT=Label:13C(6)15N(2);MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:259	NT=Label:13C(6)15N(4);MT=variable;PP=Anywhere;TA=R;AC=UNIMOD:267	not available	40 ppm	not applicable	200m/z	2000m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type
P3415_WT_bio1	Mus musculus	spleen	not available	C57BL/6	wild type	not available	adult	normal	1	study sample	not synthetic	CT=peptide;CN=SpikeTides TQL heavy-labelled ubiquitin peptides K11 K48 K63 internal standard, medium spike level;CV=JPT Peptide Technologies;QY=not available	immunoprecipitation	P3415_WTM_1_1_1_1_01_7662	proteomic profiling by mass spectrometry	P3415_WTM_1_1_1_1_01_7662.d.zip	2	1	NT=label free sample;AC=MS:1002038	NT=impact II;AC=MS:1002666	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;PP=Anywhere;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=GG;MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:121	NT=Label:13C(6)15N(2);MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:259	NT=Label:13C(6)15N(4);MT=variable;PP=Anywhere;TA=R;AC=UNIMOD:267	not available	40 ppm	not applicable	200m/z	2000m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type
P3415_WT_bio2	Mus musculus	spleen	not available	C57BL/6	wild type	not available	adult	normal	2	study sample	not synthetic	CT=peptide;CN=SpikeTides TQL heavy-labelled ubiquitin peptides K11 K48 K63 internal standard, medium spike level;CV=JPT Peptide Technologies;QY=not available	immunoprecipitation	P3415_WTM_1_2_1_1_01_7663	proteomic profiling by mass spectrometry	P3415_WTM_1_2_1_1_01_7663.d.zip	2	1	NT=label free sample;AC=MS:1002038	NT=impact II;AC=MS:1002666	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;PP=Anywhere;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=GG;MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:121	NT=Label:13C(6)15N(2);MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:259	NT=Label:13C(6)15N(4);MT=variable;PP=Anywhere;TA=R;AC=UNIMOD:267	not available	40 ppm	not applicable	200m/z	2000m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type
P3415_WT_bio3	Mus musculus	spleen	not available	C57BL/6	wild type	not available	adult	normal	3	study sample	not synthetic	CT=peptide;CN=SpikeTides TQL heavy-labelled ubiquitin peptides K11 K48 K63 internal standard, medium spike level;CV=JPT Peptide Technologies;QY=not available	immunoprecipitation	P3415_WTM_1_3_1_1_01_7664	proteomic profiling by mass spectrometry	P3415_WTM_1_3_1_1_01_7664.d.zip	2	1	NT=label free sample;AC=MS:1002038	NT=impact II;AC=MS:1002666	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;PP=Anywhere;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=GG;MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:121	NT=Label:13C(6)15N(2);MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:259	NT=Label:13C(6)15N(4);MT=variable;PP=Anywhere;TA=R;AC=UNIMOD:267	not available	40 ppm	not applicable	200m/z	2000m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type
P3415_standard1	Mus musculus	not available	not available	not available	not available	not available	not available	not available	1	calibration sample	synthetic	CT=peptide;CN=SpikeTides TQL heavy-labelled ubiquitin peptides K11 K48 K63 external calibration curve point 1;CV=JPT Peptide Technologies;QY=not available	immunoprecipitation	P3415_standard1_1_01_7643	proteomic profiling by mass spectrometry	P3415_standard1_1_01_7643.d.zip	1	1	NT=label free sample;AC=MS:1002038	NT=impact II;AC=MS:1002666	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;PP=Anywhere;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=GG;MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:121	NT=Label:13C(6)15N(2);MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:259	NT=Label:13C(6)15N(4);MT=variable;PP=Anywhere;TA=R;AC=UNIMOD:267	not available	40 ppm	not applicable	200m/z	2000m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	not applicable
P3415_standard2	Mus musculus	not available	not available	not available	not available	not available	not available	not available	1	calibration sample	synthetic	CT=peptide;CN=SpikeTides TQL heavy-labelled ubiquitin peptides K11 K48 K63 external calibration curve point 2;CV=JPT Peptide Technologies;QY=not available	immunoprecipitation	P3415_standard2_1_01_7642	proteomic profiling by mass spectrometry	P3415_standard2_1_01_7642.d.zip	1	1	NT=label free sample;AC=MS:1002038	NT=impact II;AC=MS:1002666	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;PP=Anywhere;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=GG;MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:121	NT=Label:13C(6)15N(2);MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:259	NT=Label:13C(6)15N(4);MT=variable;PP=Anywhere;TA=R;AC=UNIMOD:267	not available	40 ppm	not applicable	200m/z	2000m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	not applicable
P3415_standard3	Mus musculus	not available	not available	not available	not available	not available	not available	not available	1	calibration sample	synthetic	CT=peptide;CN=SpikeTides TQL heavy-labelled ubiquitin peptides K11 K48 K63 external calibration curve point 3;CV=JPT Peptide Technologies;QY=not available	immunoprecipitation	P3415_standard3_1_01_7641	proteomic profiling by mass spectrometry	P3415_standard3_1_01_7641.d.zip	1	1	NT=label free sample;AC=MS:1002038	NT=impact II;AC=MS:1002666	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;PP=Anywhere;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=GG;MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:121	NT=Label:13C(6)15N(2);MT=variable;PP=Anywhere;TA=K;AC=UNIMOD:259	NT=Label:13C(6)15N(4);MT=variable;PP=Anywhere;TA=R;AC=UNIMOD:267	not available	40 ppm	not applicable	200m/z	2000m/z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	not applicable
