source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dia method]	comment[isolation window width]	comment[scan window upper limit]	comment[scan window lower limit]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[compound]	factor value[dose]
PXD035579-Donor1-CHX1	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	Donor1	cell	1	run Donor1 CHX1 SWATH	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 6600;AC=MS:1002533	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	20 ppm	SWATH-MS	not available	1250	400	1	1	SWATH_Donor1_CHX1.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cycloheximide;AC=CHEBI:27641	1 mg/ml
PXD035579-Donor1-CP1	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	Donor1	cell	1	run Donor1 CP1 SWATH	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 6600;AC=MS:1002533	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	20 ppm	SWATH-MS	not available	1250	400	1	1	SWATH_Donor1_CP1.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=chloramphenicol;AC=CHEBI:17698	1 mg/ml
PXD035579-Donor1-Control	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	Donor1	cell	1	run Donor1 Control SWATH	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 6600;AC=MS:1002533	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	20 ppm	SWATH-MS	not available	1250	400	1	1	SWATH_Donor1_Control.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	control	0 mg/ml
PXD035579-Donor2-CHX1	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	Donor2	cell	2	run Donor2 CHX1 SWATH	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 6600;AC=MS:1002533	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	20 ppm	SWATH-MS	not available	1250	400	1	1	SWATH_Donor2_CHX1.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cycloheximide;AC=CHEBI:27641	1 mg/ml
PXD035579-Donor2-CP1	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	Donor2	cell	2	run Donor2 CP1 SWATH	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 6600;AC=MS:1002533	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	20 ppm	SWATH-MS	not available	1250	400	1	1	SWATH_Donor2_CP1.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=chloramphenicol;AC=CHEBI:17698	1 mg/ml
PXD035579-Donor2-Control	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	Donor2	cell	2	run Donor2 Control SWATH	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 6600;AC=MS:1002533	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	20 ppm	SWATH-MS	not available	1250	400	1	1	SWATH_Donor2_Control.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	control	0 mg/ml
PXD035579-Donor4-CHX1	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	Donor4	cell	4	run Donor4 CHX1 SWATH	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 6600;AC=MS:1002533	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	20 ppm	SWATH-MS	not available	1250	400	1	1	SWATH_Donor4_CHX1.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cycloheximide;AC=CHEBI:27641	1 mg/ml
PXD035579-Donor4-CHX2	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	Donor4	cell	4	run Donor4 CHX2 SWATH	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 6600;AC=MS:1002533	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	20 ppm	SWATH-MS	not available	1250	400	1	1	SWATH_Donor4_CHX2.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cycloheximide;AC=CHEBI:27641	2 mg/ml
PXD035579-Donor4-CP1	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	Donor4	cell	4	run Donor4 CP1 SWATH	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 6600;AC=MS:1002533	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	20 ppm	SWATH-MS	not available	1250	400	1	1	SWATH_Donor4_CP1.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=chloramphenicol;AC=CHEBI:17698	1 mg/ml
PXD035579-Donor4-Control	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	Donor4	cell	4	run Donor4 Control SWATH	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 6600;AC=MS:1002533	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	20 ppm	SWATH-MS	not available	1250	400	1	1	SWATH_Donor4_Control.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	control	0 mg/ml
