source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[gradient time]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]	factor value[gradient time]
Kidney_23	Mus musculus	kidney	not applicable	normal	adult	10 to 14W	male	not available	tissue	1	22_0505_002_SSL2_ND_Non_23_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=dithiothreitol;AC=PRIDE:0000608	NT=iodoacetamide;AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	400	1000	80	120 min	1	1	22_0505_002_SSL2_ND_Non_23_01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normal	120 min
Kidney_24	Mus musculus	kidney	not applicable	normal	adult	10 to 14W	male	not available	tissue	2	22_0505_004_SSL2_ND_Non_24_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=dithiothreitol;AC=PRIDE:0000608	NT=iodoacetamide;AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	400	1000	80	120 min	1	1	22_0505_004_SSL2_ND_Non_24_01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normal	120 min
Kidney_25	Mus musculus	kidney	not applicable	normal	adult	10 to 14W	male	not available	tissue	3	22_0505_006_SSL2_ND_Non_25_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=dithiothreitol;AC=PRIDE:0000608	NT=iodoacetamide;AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	400	1000	80	120 min	1	1	22_0505_006_SSL2_ND_Non_25_01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normal	120 min
Kidney_26	Mus musculus	kidney	not applicable	normal	adult	10 to 14W	male	not available	tissue	4	22_0505_008_SSL2_ND_Non_26_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=dithiothreitol;AC=PRIDE:0000608	NT=iodoacetamide;AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	400	1000	80	120 min	1	1	22_0505_008_SSL2_ND_Non_26_01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normal	120 min
Kidney_27	Mus musculus	kidney	not applicable	acute kidney injury, non-human animal	adult	10 to 14W	male	not available	tissue	5	22_0505_003_SSL2_ND_Inj_27_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=dithiothreitol;AC=PRIDE:0000608	NT=iodoacetamide;AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	400	1000	80	120 min	1	1	22_0505_003_SSL2_ND_Inj_27_01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	acute kidney injury, non-human animal	120 min
Kidney_28	Mus musculus	kidney	not applicable	acute kidney injury, non-human animal	adult	10 to 14W	male	not available	tissue	6	22_0505_005_SSL2_ND_Inj_28_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=dithiothreitol;AC=PRIDE:0000608	NT=iodoacetamide;AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	400	1000	80	120 min	1	1	22_0505_005_SSL2_ND_Inj_28_01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	acute kidney injury, non-human animal	120 min
Kidney_29	Mus musculus	kidney	not applicable	acute kidney injury, non-human animal	adult	10 to 14W	male	not available	tissue	7	22_0505_010_SSL2_ND_Inj_29_02	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=dithiothreitol;AC=PRIDE:0000608	NT=iodoacetamide;AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	400	1000	80	120 min	1	2	22_0505_010_SSL2_ND_Inj_29_02.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	acute kidney injury, non-human animal	120 min
Kidney_30	Mus musculus	kidney	not applicable	acute kidney injury, non-human animal	adult	10 to 14W	male	not available	tissue	8	22_0505_009_SSL2_ND_Inj_30_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=dithiothreitol;AC=PRIDE:0000608	NT=iodoacetamide;AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	400	1000	80	120 min	1	1	22_0505_009_SSL2_ND_Inj_30_01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	acute kidney injury, non-human animal	120 min
Kidney_23	Mus musculus	kidney	not applicable	normal	adult	10 to 14W	male	not available	tissue	1	22_0430_001_SSL2_ND_Non_23_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=dithiothreitol;AC=PRIDE:0000608	NT=iodoacetamide;AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	400	1000	80	45 min	1	1	22_0430_001_SSL2_ND_Non_23_01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normal	45 min
Kidney_24	Mus musculus	kidney	not applicable	normal	adult	10 to 14W	male	not available	tissue	2	22_0430_003_SSL2_ND_Non_24_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=dithiothreitol;AC=PRIDE:0000608	NT=iodoacetamide;AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	400	1000	80	45 min	1	1	22_0430_003_SSL2_ND_Non_24_01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normal	45 min
