source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[treatment]	characteristics[pooled sample]	characteristics[sample type]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[proteomics data acquisition method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]
PXD078896-sample-1	Homo sapiens	not applicable	normal	T cell	cell	not available	not available	1	AAVS1-targeting control CRISPR knockout TCR-T cells, unstimulated baseline (T0)	not pooled	study sample	run 11	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT126	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GlyGly;AC=UNIMOD:121;TA=K;MT=Variable	NT=RGG;MT=Variable;PP=Anywhere;TA=K;MM=270.1437	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	36% NCE	not available	20 ppm	dithiothreitol	iodoacetamide	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	2	exLewis013580.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	AAVS1-targeting control CRISPR knockout TCR-T cells, unstimulated baseline (T0)
PXD078896-sample-2	Homo sapiens	not applicable	normal	T cell	cell	not available	not available	2	AAVS1-targeting control CRISPR knockout TCR-T cells, unstimulated baseline (T0)	not pooled	study sample	run 12	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT127N	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GlyGly;AC=UNIMOD:121;TA=K;MT=Variable	NT=RGG;MT=Variable;PP=Anywhere;TA=K;MM=270.1437	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	36% NCE	not available	20 ppm	dithiothreitol	iodoacetamide	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	2	exLewis013580.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	AAVS1-targeting control CRISPR knockout TCR-T cells, unstimulated baseline (T0)
PXD078896-sample-3	Homo sapiens	not applicable	normal	T cell	cell	not available	not available	3	AAVS1-targeting control CRISPR knockout TCR-T cells, unstimulated baseline (T0)	not pooled	study sample	run 13	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT127C	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GlyGly;AC=UNIMOD:121;TA=K;MT=Variable	NT=RGG;MT=Variable;PP=Anywhere;TA=K;MM=270.1437	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	36% NCE	not available	20 ppm	dithiothreitol	iodoacetamide	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	2	exLewis013580.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	AAVS1-targeting control CRISPR knockout TCR-T cells, unstimulated baseline (T0)
PXD078896-sample-4	Homo sapiens	not applicable	normal	T cell	cell	not available	not available	4	AAVS1-targeting control CRISPR knockout TCR-T cells, unstimulated baseline (T0)	not pooled	study sample	run 14	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT128N	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GlyGly;AC=UNIMOD:121;TA=K;MT=Variable	NT=RGG;MT=Variable;PP=Anywhere;TA=K;MM=270.1437	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	36% NCE	not available	20 ppm	dithiothreitol	iodoacetamide	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	2	exLewis013580.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	AAVS1-targeting control CRISPR knockout TCR-T cells, unstimulated baseline (T0)
PXD078896-sample-5	Homo sapiens	not applicable	normal	T cell	cell	not available	not available	1	AAVS1-targeting control CRISPR knockout TCR-T cells, acute CD3/CD28 Dynabead stimulation for 24 hours (T1)	not pooled	study sample	run 15	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT128C	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GlyGly;AC=UNIMOD:121;TA=K;MT=Variable	NT=RGG;MT=Variable;PP=Anywhere;TA=K;MM=270.1437	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	36% NCE	not available	20 ppm	dithiothreitol	iodoacetamide	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	2	exLewis013580.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	AAVS1-targeting control CRISPR knockout TCR-T cells, acute CD3/CD28 Dynabead stimulation for 24 hours (T1)
PXD078896-sample-6	Homo sapiens	not applicable	normal	T cell	cell	not available	not available	2	AAVS1-targeting control CRISPR knockout TCR-T cells, acute CD3/CD28 Dynabead stimulation for 24 hours (T1)	not pooled	study sample	run 16	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT129N	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GlyGly;AC=UNIMOD:121;TA=K;MT=Variable	NT=RGG;MT=Variable;PP=Anywhere;TA=K;MM=270.1437	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	36% NCE	not available	20 ppm	dithiothreitol	iodoacetamide	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	2	exLewis013580.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	AAVS1-targeting control CRISPR knockout TCR-T cells, acute CD3/CD28 Dynabead stimulation for 24 hours (T1)
PXD078896-sample-7	Homo sapiens	not applicable	normal	T cell	cell	not available	not available	3	AAVS1-targeting control CRISPR knockout TCR-T cells, acute CD3/CD28 Dynabead stimulation for 24 hours (T1)	not pooled	study sample	run 17	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT129C	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GlyGly;AC=UNIMOD:121;TA=K;MT=Variable	NT=RGG;MT=Variable;PP=Anywhere;TA=K;MM=270.1437	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	36% NCE	not available	20 ppm	dithiothreitol	iodoacetamide	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	2	exLewis013580.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	AAVS1-targeting control CRISPR knockout TCR-T cells, acute CD3/CD28 Dynabead stimulation for 24 hours (T1)
PXD078896-sample-8	Homo sapiens	not applicable	normal	T cell	cell	not available	not available	4	AAVS1-targeting control CRISPR knockout TCR-T cells, acute CD3/CD28 Dynabead stimulation for 24 hours (T1)	not pooled	study sample	run 18	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT130N	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GlyGly;AC=UNIMOD:121;TA=K;MT=Variable	NT=RGG;MT=Variable;PP=Anywhere;TA=K;MM=270.1437	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	36% NCE	not available	20 ppm	dithiothreitol	iodoacetamide	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	2	exLewis013580.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	AAVS1-targeting control CRISPR knockout TCR-T cells, acute CD3/CD28 Dynabead stimulation for 24 hours (T1)
PXD078896-sample-25	Homo sapiens	not applicable	normal	T cell	cell	not available	not available	pooled	pooled cross-batch normalization bridge sample (pool of replicates across all conditions)	pooled	bridge	run 19	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT130C	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GlyGly;AC=UNIMOD:121;TA=K;MT=Variable	NT=RGG;MT=Variable;PP=Anywhere;TA=K;MM=270.1437	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	36% NCE	not available	20 ppm	dithiothreitol	iodoacetamide	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	2	exLewis013580.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	pooled cross-batch normalization bridge sample (pool of replicates across all conditions)
PXD078896-sample-26	Homo sapiens	not applicable	normal	T cell	cell	not available	not available	pooled	pooled cross-batch normalization bridge sample (pool of replicates across all conditions)	pooled	bridge	run 20	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT131	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GlyGly;AC=UNIMOD:121;TA=K;MT=Variable	NT=RGG;MT=Variable;PP=Anywhere;TA=K;MM=270.1437	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	36% NCE	not available	20 ppm	dithiothreitol	iodoacetamide	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	2	exLewis013580.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	pooled cross-batch normalization bridge sample (pool of replicates across all conditions)
PXD078896-sample-9	Homo sapiens	not applicable	normal	T cell	cell	not available	not available	1	CUL5 CRISPR knockout TCR-T cells, unstimulated baseline (T0)	not pooled	study sample	run 21	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT126	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GlyGly;AC=UNIMOD:121;TA=K;MT=Variable	NT=RGG;MT=Variable;PP=Anywhere;TA=K;MM=270.1437	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	36% NCE	not available	20 ppm	dithiothreitol	iodoacetamide	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	exLewis013581.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	CUL5 CRISPR knockout TCR-T cells, unstimulated baseline (T0)
PXD078896-sample-10	Homo sapiens	not applicable	normal	T cell	cell	not available	not available	2	CUL5 CRISPR knockout TCR-T cells, unstimulated baseline (T0)	not pooled	study sample	run 22	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT127N	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GlyGly;AC=UNIMOD:121;TA=K;MT=Variable	NT=RGG;MT=Variable;PP=Anywhere;TA=K;MM=270.1437	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	36% NCE	not available	20 ppm	dithiothreitol	iodoacetamide	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	exLewis013581.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	CUL5 CRISPR knockout TCR-T cells, unstimulated baseline (T0)
PXD078896-sample-11	Homo sapiens	not applicable	normal	T cell	cell	not available	not available	3	CUL5 CRISPR knockout TCR-T cells, unstimulated baseline (T0)	not pooled	study sample	run 23	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT127C	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GlyGly;AC=UNIMOD:121;TA=K;MT=Variable	NT=RGG;MT=Variable;PP=Anywhere;TA=K;MM=270.1437	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	36% NCE	not available	20 ppm	dithiothreitol	iodoacetamide	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	exLewis013581.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	CUL5 CRISPR knockout TCR-T cells, unstimulated baseline (T0)
PXD078896-sample-12	Homo sapiens	not applicable	normal	T cell	cell	not available	not available	4	CUL5 CRISPR knockout TCR-T cells, unstimulated baseline (T0)	not pooled	study sample	run 24	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT128N	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GlyGly;AC=UNIMOD:121;TA=K;MT=Variable	NT=RGG;MT=Variable;PP=Anywhere;TA=K;MM=270.1437	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	36% NCE	not available	20 ppm	dithiothreitol	iodoacetamide	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	exLewis013581.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	CUL5 CRISPR knockout TCR-T cells, unstimulated baseline (T0)
