source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[age]	characteristics[sex]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[culture medium]	characteristics[antibody enrichment]	characteristics[dose]	characteristics[exposure duration]	characteristics[pretreatment]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[sample preparation batch]	comment[ms1 scan range]	comment[elution conditions]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	factor value[antibody enrichment]	factor value[cell line]	factor value[exposure duration]	factor value[pretreatment]	factor value[treatment]
FabPanel_control_Fab_1	Homo sapiens	kidney	not available	1	normal	cell line	not available	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	Dulbecco's Modified Eagle Medium	control Fab	not applicable	not available	not available	20211019_EXPL3_LuHe_SA_161_1	proteomic profiling by mass spectrometry	1	20211019_EXPL3_LuHe_SA_161_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	FabPanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	control Fab	HEK293T	not available	not available	not available
FabPanel_control_Fab_2	Homo sapiens	kidney	not available	2	normal	cell line	not available	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	Dulbecco's Modified Eagle Medium	control Fab	not applicable	not available	not available	20211019_EXPL3_LuHe_SA_161_2	proteomic profiling by mass spectrometry	1	20211019_EXPL3_LuHe_SA_161_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	FabPanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	control Fab	HEK293T	not available	not available	not available
FabPanel_control_Fab_3	Homo sapiens	kidney	not available	3	normal	cell line	not available	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	Dulbecco's Modified Eagle Medium	control Fab	not applicable	not available	not available	20211019_EXPL3_LuHe_SA_161_3	proteomic profiling by mass spectrometry	1	20211019_EXPL3_LuHe_SA_161_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	FabPanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	control Fab	HEK293T	not available	not available	not available
FabPanel_N8C_Fab2b_1	Homo sapiens	kidney	not available	1	normal	cell line	not available	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	Dulbecco's Modified Eagle Medium	N8C_Fab2b	not applicable	not available	not available	20211019_EXPL3_LuHe_SA_195_1	proteomic profiling by mass spectrometry	1	20211019_EXPL3_LuHe_SA_195_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	FabPanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab2b	HEK293T	not available	not available	not available
FabPanel_N8C_Fab2b_2	Homo sapiens	kidney	not available	2	normal	cell line	not available	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	Dulbecco's Modified Eagle Medium	N8C_Fab2b	not applicable	not available	not available	20211019_EXPL3_LuHe_SA_195_2	proteomic profiling by mass spectrometry	1	20211019_EXPL3_LuHe_SA_195_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	FabPanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab2b	HEK293T	not available	not available	not available
FabPanel_N8C_Fab2b_3	Homo sapiens	kidney	not available	3	normal	cell line	not available	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	Dulbecco's Modified Eagle Medium	N8C_Fab2b	not applicable	not available	not available	20211019_EXPL3_LuHe_SA_195_3	proteomic profiling by mass spectrometry	1	20211019_EXPL3_LuHe_SA_195_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	FabPanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab2b	HEK293T	not available	not available	not available
FabPanel_N8C_Fab3a_1	Homo sapiens	kidney	not available	1	normal	cell line	not available	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	Dulbecco's Modified Eagle Medium	N8C_Fab3a	not applicable	not available	not available	20211019_EXPL3_LuHe_SA_196_1	proteomic profiling by mass spectrometry	1	20211019_EXPL3_LuHe_SA_196_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	FabPanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab3a	HEK293T	not available	not available	not available
FabPanel_N8C_Fab3a_2	Homo sapiens	kidney	not available	2	normal	cell line	not available	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	Dulbecco's Modified Eagle Medium	N8C_Fab3a	not applicable	not available	not available	20211019_EXPL3_LuHe_SA_196_2	proteomic profiling by mass spectrometry	1	20211019_EXPL3_LuHe_SA_196_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	FabPanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab3a	HEK293T	not available	not available	not available
FabPanel_N8C_Fab3a_3	Homo sapiens	kidney	not available	3	normal	cell line	not available	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	Dulbecco's Modified Eagle Medium	N8C_Fab3a	not applicable	not available	not available	20211019_EXPL3_LuHe_SA_196_3	proteomic profiling by mass spectrometry	1	20211019_EXPL3_LuHe_SA_196_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	FabPanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab3a	HEK293T	not available	not available	not available
FabPanel_N8C_Fab3b_1	Homo sapiens	kidney	not available	1	normal	cell line	not available	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	Dulbecco's Modified Eagle Medium	N8C_Fab3b	not applicable	not available	not available	20211019_EXPL3_LuHe_SA_197_1	proteomic profiling by mass spectrometry	1	20211019_EXPL3_LuHe_SA_197_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	FabPanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab3b	HEK293T	not available	not available	not available
