source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[age]	characteristics[antibody enrichment]	characteristics[dose]	characteristics[exposure duration]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[sample preparation batch]	comment[ms1 scan range]	comment[elution conditions]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	factor value[antibody enrichment]	factor value[treatment]
BMDM_MLN_DMSO_1	Mus musculus	bone marrow	bone marrow-derived macrophage	1	normal	cell	Dimethyl Sulfoxide	adult	C57BL/6N	male	8W-10W	N8C_Fab3b	not available	2 hour	20211115_EXPL4_LuHe_SA_BMDM_DMSO_1	proteomic profiling by mass spectrometry	1	20211115_EXPL4_LuHe_SA_BMDM_DMSO_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	BMDM_MLN	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab3b	Dimethyl Sulfoxide
BMDM_MLN_DMSO_2	Mus musculus	bone marrow	bone marrow-derived macrophage	2	normal	cell	Dimethyl Sulfoxide	adult	C57BL/6N	male	8W-10W	N8C_Fab3b	not available	2 hour	20211115_EXPL4_LuHe_SA_BMDM_DMSO_2	proteomic profiling by mass spectrometry	1	20211115_EXPL4_LuHe_SA_BMDM_DMSO_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	BMDM_MLN	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab3b	Dimethyl Sulfoxide
BMDM_MLN_DMSO_3	Mus musculus	bone marrow	bone marrow-derived macrophage	3	normal	cell	Dimethyl Sulfoxide	adult	C57BL/6N	male	8W-10W	N8C_Fab3b	not available	2 hour	20211115_EXPL4_LuHe_SA_BMDM_DMSO_3	proteomic profiling by mass spectrometry	1	20211115_EXPL4_LuHe_SA_BMDM_DMSO_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	BMDM_MLN	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab3b	Dimethyl Sulfoxide
BMDM_MLN_MLN_1	Mus musculus	bone marrow	bone marrow-derived macrophage	1	normal	cell	Pevonedistat	adult	C57BL/6N	male	8W-10W	N8C_Fab3b	1 uM	2 hour	20211115_EXPL4_LuHe_SA_BMDM_MLN_1	proteomic profiling by mass spectrometry	1	20211115_EXPL4_LuHe_SA_BMDM_MLN_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	BMDM_MLN	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab3b	Pevonedistat
BMDM_MLN_MLN_2	Mus musculus	bone marrow	bone marrow-derived macrophage	2	normal	cell	Pevonedistat	adult	C57BL/6N	male	8W-10W	N8C_Fab3b	1 uM	2 hour	20211115_EXPL4_LuHe_SA_BMDM_MLN_2	proteomic profiling by mass spectrometry	1	20211115_EXPL4_LuHe_SA_BMDM_MLN_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	BMDM_MLN	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab3b	Pevonedistat
BMDM_MLN_MLN_3	Mus musculus	bone marrow	bone marrow-derived macrophage	3	normal	cell	Pevonedistat	adult	C57BL/6N	male	8W-10W	N8C_Fab3b	1 uM	2 hour	20211115_EXPL4_LuHe_SA_BMDM_MLN_3	proteomic profiling by mass spectrometry	1	20211115_EXPL4_LuHe_SA_BMDM_MLN_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	BMDM_MLN	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab3b	Pevonedistat
BMDM_total_M1_1	Mus musculus	bone marrow	bone marrow-derived macrophage	1	normal	cell	Lipopolysaccharide	adult	C57BL/6N	male	8W-10W	not applicable	10 ng/mL	24 hour	20211130_EXPL2_LuHe_SA_total_M1_1	proteomic profiling by mass spectrometry	1	20211130_EXPL2_LuHe_SA_total_M1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	BMDM_total	300m/z-1650m/z	120 min gradient	300	1650	not applicable	not applicable	Lipopolysaccharide
BMDM_total_M1_2	Mus musculus	bone marrow	bone marrow-derived macrophage	2	normal	cell	Lipopolysaccharide	adult	C57BL/6N	male	8W-10W	not applicable	10 ng/mL	24 hour	20211130_EXPL2_LuHe_SA_total_M1_2	proteomic profiling by mass spectrometry	1	20211130_EXPL2_LuHe_SA_total_M1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	BMDM_total	300m/z-1650m/z	120 min gradient	300	1650	not applicable	not applicable	Lipopolysaccharide
BMDM_total_M1_3	Mus musculus	bone marrow	bone marrow-derived macrophage	3	normal	cell	Lipopolysaccharide	adult	C57BL/6N	male	8W-10W	not applicable	10 ng/mL	24 hour	20211130_EXPL2_LuHe_SA_total_M1_3	proteomic profiling by mass spectrometry	1	20211130_EXPL2_LuHe_SA_total_M1_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	BMDM_total	300m/z-1650m/z	120 min gradient	300	1650	not applicable	not applicable	Lipopolysaccharide
BMDM_total_M1_4	Mus musculus	bone marrow	bone marrow-derived macrophage	4	normal	cell	Lipopolysaccharide	adult	C57BL/6N	male	8W-10W	not applicable	10 ng/mL	24 hour	20211130_EXPL2_LuHe_SA_total_M1_4	proteomic profiling by mass spectrometry	1	20211130_EXPL2_LuHe_SA_total_M1_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	BMDM_total	300m/z-1650m/z	120 min gradient	300	1650	not applicable	not applicable	Lipopolysaccharide
BMDM_total_M2_1	Mus musculus	bone marrow	bone marrow-derived macrophage	1	normal	cell	Interleukin-4 and Interleukin-13	adult	C57BL/6N	male	8W-10W	not applicable	10 ng/mL	24 hour	20211130_EXPL2_LuHe_SA_total_M2_1	proteomic profiling by mass spectrometry	1	20211130_EXPL2_LuHe_SA_total_M2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	BMDM_total	300m/z-1650m/z	120 min gradient	300	1650	not applicable	not applicable	Interleukin-4 and Interleukin-13
BMDM_total_M2_2	Mus musculus	bone marrow	bone marrow-derived macrophage	2	normal	cell	Interleukin-4 and Interleukin-13	adult	C57BL/6N	male	8W-10W	not applicable	10 ng/mL	24 hour	20211130_EXPL2_LuHe_SA_total_M2_2	proteomic profiling by mass spectrometry	1	20211130_EXPL2_LuHe_SA_total_M2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	BMDM_total	300m/z-1650m/z	120 min gradient	300	1650	not applicable	not applicable	Interleukin-4 and Interleukin-13
BMDM_total_M2_3	Mus musculus	bone marrow	bone marrow-derived macrophage	3	normal	cell	Interleukin-4 and Interleukin-13	adult	C57BL/6N	male	8W-10W	not applicable	10 ng/mL	24 hour	20211130_EXPL2_LuHe_SA_total_M2_3	proteomic profiling by mass spectrometry	1	20211130_EXPL2_LuHe_SA_total_M2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	BMDM_total	300m/z-1650m/z	120 min gradient	300	1650	not applicable	not applicable	Interleukin-4 and Interleukin-13
BMDM_total_M2_4	Mus musculus	bone marrow	bone marrow-derived macrophage	4	normal	cell	Interleukin-4 and Interleukin-13	adult	C57BL/6N	male	8W-10W	not applicable	10 ng/mL	24 hour	20211130_EXPL2_LuHe_SA_total_M2_4	proteomic profiling by mass spectrometry	1	20211130_EXPL2_LuHe_SA_total_M2_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	BMDM_total	300m/z-1650m/z	120 min gradient	300	1650	not applicable	not applicable	Interleukin-4 and Interleukin-13
BMDM_total_ctrl_1	Mus musculus	bone marrow	bone marrow-derived macrophage	1	normal	cell	untreated	adult	C57BL/6N	male	8W-10W	not applicable	not applicable	not applicable	20211130_EXPL2_LuHe_SA_total_ctrl_1	proteomic profiling by mass spectrometry	1	20211130_EXPL2_LuHe_SA_total_ctrl_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	BMDM_total	300m/z-1650m/z	120 min gradient	300	1650	not applicable	not applicable	untreated
