source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[environmental medium]	characteristics[host organism]	characteristics[host disease status]	characteristics[host subject id]	characteristics[host body product]	characteristics[gastrointestinal tract disorder]	characteristics[antibiotic treatment]	characteristics[perturbation]	characteristics[microbiome source]	characteristics[project name]	characteristics[geographic location]	characteristics[sample collection method]	characteristics[sample type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms min mz]	comment[ms max mz]	comment[ms min rt]	comment[ms max rt]	comment[sample preparation batch]	comment[elution conditions]	comment[sample storage temperature]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[perturbation]
DC-M-48h_rep1_P2A07	DC-M-48h_rep1_P2A07	human gut metagenome	feces	feces	Homo sapiens	normal	anonymized	stool	none	none	diclofenac (500 µM, medium dose)	gut microbiome	Effects_of_5_drugs_on_the_human_gut_microbiome	Canada	fecal collection into anaerobic deoxygenated PBS with glycerol and L-cysteine hydrochloride	study sample	1	run P2A07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=MS:1000422	30 NCE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	4.5 ppm	20 ppm	not available	not available	NT=orbitrap;AC=MS:1000484	350m/z	1400m/z	0	60	P2	0.1% formic acid in water (buffer A); 0.1% formic acid in 80% acetonitrile (buffer B); linear gradient 5-35% B over 60 min	-80 °C	P2A07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	diclofenac (500 µM, medium dose)
DC-H-48h_rep1_P2A08	DC-H-48h_rep1_P2A08	human gut metagenome	feces	feces	Homo sapiens	normal	anonymized	stool	none	none	diclofenac (3100 µM, high dose)	gut microbiome	Effects_of_5_drugs_on_the_human_gut_microbiome	Canada	fecal collection into anaerobic deoxygenated PBS with glycerol and L-cysteine hydrochloride	study sample	1	run P2A08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=MS:1000422	30 NCE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	4.5 ppm	20 ppm	not available	not available	NT=orbitrap;AC=MS:1000484	350m/z	1400m/z	0	60	P2	0.1% formic acid in water (buffer A); 0.1% formic acid in 80% acetonitrile (buffer B); linear gradient 5-35% B over 60 min	-80 °C	P2A08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	diclofenac (3100 µM, high dose)
NZ-H-48h_rep1_P2A09	NZ-H-48h_rep1_P2A09	human gut metagenome	feces	feces	Homo sapiens	normal	anonymized	stool	none	none	nizatidine (4500 µM, high dose)	gut microbiome	Effects_of_5_drugs_on_the_human_gut_microbiome	Canada	fecal collection into anaerobic deoxygenated PBS with glycerol and L-cysteine hydrochloride	study sample	1	run P2A09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=MS:1000422	30 NCE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	4.5 ppm	20 ppm	not available	not available	NT=orbitrap;AC=MS:1000484	350m/z	1400m/z	0	60	P2	0.1% formic acid in water (buffer A); 0.1% formic acid in 80% acetonitrile (buffer B); linear gradient 5-35% B over 60 min	-80 °C	P2A09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	nizatidine (4500 µM, high dose)
AZ-M-48h_rep1_P2A10	AZ-M-48h_rep1_P2A10	human gut metagenome	feces	feces	Homo sapiens	normal	anonymized	stool	none	none	azathioprine (500 µM, medium dose)	gut microbiome	Effects_of_5_drugs_on_the_human_gut_microbiome	Canada	fecal collection into anaerobic deoxygenated PBS with glycerol and L-cysteine hydrochloride	study sample	1	run P2A10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=MS:1000422	30 NCE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	4.5 ppm	20 ppm	not available	not available	NT=orbitrap;AC=MS:1000484	350m/z	1400m/z	0	60	P2	0.1% formic acid in water (buffer A); 0.1% formic acid in 80% acetonitrile (buffer B); linear gradient 5-35% B over 60 min	-80 °C	P2A10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	azathioprine (500 µM, medium dose)
NZ-M-48h_rep3_P2A11	NZ-M-48h_rep3_P2A11	human gut metagenome	feces	feces	Homo sapiens	normal	anonymized	stool	none	none	nizatidine (500 µM, medium dose)	gut microbiome	Effects_of_5_drugs_on_the_human_gut_microbiome	Canada	fecal collection into anaerobic deoxygenated PBS with glycerol and L-cysteine hydrochloride	study sample	3	run P2A11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=MS:1000422	30 NCE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	4.5 ppm	20 ppm	not available	not available	NT=orbitrap;AC=MS:1000484	350m/z	1400m/z	0	60	P2	0.1% formic acid in water (buffer A); 0.1% formic acid in 80% acetonitrile (buffer B); linear gradient 5-35% B over 60 min	-80 °C	P2A11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	nizatidine (500 µM, medium dose)
AZ-L-48h_rep1_P2A12	AZ-L-48h_rep1_P2A12	human gut metagenome	feces	feces	Homo sapiens	normal	anonymized	stool	none	none	azathioprine (100 µM, low dose)	gut microbiome	Effects_of_5_drugs_on_the_human_gut_microbiome	Canada	fecal collection into anaerobic deoxygenated PBS with glycerol and L-cysteine hydrochloride	study sample	1	run P2A12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=MS:1000422	30 NCE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	4.5 ppm	20 ppm	not available	not available	NT=orbitrap;AC=MS:1000484	350m/z	1400m/z	0	60	P2	0.1% formic acid in water (buffer A); 0.1% formic acid in 80% acetonitrile (buffer B); linear gradient 5-35% B over 60 min	-80 °C	P2A12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	azathioprine (100 µM, low dose)
AZ-M-48h_rep2_P2B07	AZ-M-48h_rep2_P2B07	human gut metagenome	feces	feces	Homo sapiens	normal	anonymized	stool	none	none	azathioprine (500 µM, medium dose)	gut microbiome	Effects_of_5_drugs_on_the_human_gut_microbiome	Canada	fecal collection into anaerobic deoxygenated PBS with glycerol and L-cysteine hydrochloride	study sample	2	run P2B07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=MS:1000422	30 NCE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	4.5 ppm	20 ppm	not available	not available	NT=orbitrap;AC=MS:1000484	350m/z	1400m/z	0	60	P2	0.1% formic acid in water (buffer A); 0.1% formic acid in 80% acetonitrile (buffer B); linear gradient 5-35% B over 60 min	-80 °C	P2B07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	azathioprine (500 µM, medium dose)
PR-L-48h_rep1_P2B08	PR-L-48h_rep1_P2B08	human gut metagenome	feces	feces	Homo sapiens	normal	anonymized	stool	none	none	paracetamol (100 µM, low dose)	gut microbiome	Effects_of_5_drugs_on_the_human_gut_microbiome	Canada	fecal collection into anaerobic deoxygenated PBS with glycerol and L-cysteine hydrochloride	study sample	1	run P2B08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=MS:1000422	30 NCE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	4.5 ppm	20 ppm	not available	not available	NT=orbitrap;AC=MS:1000484	350m/z	1400m/z	0	60	P2	0.1% formic acid in water (buffer A); 0.1% formic acid in 80% acetonitrile (buffer B); linear gradient 5-35% B over 60 min	-80 °C	P2B08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	paracetamol (100 µM, low dose)
NZ-H-48h_rep2_P2B09	NZ-H-48h_rep2_P2B09	human gut metagenome	feces	feces	Homo sapiens	normal	anonymized	stool	none	none	nizatidine (4500 µM, high dose)	gut microbiome	Effects_of_5_drugs_on_the_human_gut_microbiome	Canada	fecal collection into anaerobic deoxygenated PBS with glycerol and L-cysteine hydrochloride	study sample	2	run P2B09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=MS:1000422	30 NCE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	4.5 ppm	20 ppm	not available	not available	NT=orbitrap;AC=MS:1000484	350m/z	1400m/z	0	60	P2	0.1% formic acid in water (buffer A); 0.1% formic acid in 80% acetonitrile (buffer B); linear gradient 5-35% B over 60 min	-80 °C	P2B09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	nizatidine (4500 µM, high dose)
CP-L-48h_rep1_P2B10	CP-L-48h_rep1_P2B10	human gut metagenome	feces	feces	Homo sapiens	normal	anonymized	stool	none	none	ciprofloxacin (100 µM, low dose)	gut microbiome	Effects_of_5_drugs_on_the_human_gut_microbiome	Canada	fecal collection into anaerobic deoxygenated PBS with glycerol and L-cysteine hydrochloride	study sample	1	run P2B10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=MS:1000422	30 NCE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	4.5 ppm	20 ppm	not available	not available	NT=orbitrap;AC=MS:1000484	350m/z	1400m/z	0	60	P2	0.1% formic acid in water (buffer A); 0.1% formic acid in 80% acetonitrile (buffer B); linear gradient 5-35% B over 60 min	-80 °C	P2B10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	ciprofloxacin (100 µM, low dose)
