source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[spiked compound]	characteristics[material description]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]	comment[file uri]	comment[annotation source]	comment[sdrf annotation tool]	comment[annotation provenance]	comment[modification parameters]	factor value[spiked compound]
UPS1 127N	Homo sapiens	not applicable	not applicable	1	not applicable	not available	not available	not available	not available	CT=spike-in;CN=UPS1;QY=1.272 ug	TMT10-labeled UPS1 human protein-standard digest; no cell-lysate background.	run 1	proteomic profiling by mass spectrometry	1	Lumos1_UPS1_UPS2_Ecoli_TMT10plex_20210604_R2.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	TMT127N	1	not available	20 ppm	0.02 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	https://ftp.pride.ebi.ac.uk/pride/data/archive/2026/05/PXD070151/Lumos1_UPS1_UPS2_Ecoli_TMT10plex_20210604_R2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD070151	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	CT=spike-in;CN=UPS1;QY=1.272 ug
UPS1 127C	Homo sapiens	not applicable	not applicable	1	not applicable	not available	not available	not available	not available	CT=spike-in;CN=UPS1;QY=1.272 ug	TMT10-labeled UPS1 human protein-standard digest; no cell-lysate background.	run 1	proteomic profiling by mass spectrometry	1	Lumos1_UPS1_UPS2_Ecoli_TMT10plex_20210604_R2.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	TMT127C	1	not available	20 ppm	0.02 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	https://ftp.pride.ebi.ac.uk/pride/data/archive/2026/05/PXD070151/Lumos1_UPS1_UPS2_Ecoli_TMT10plex_20210604_R2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD070151	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	CT=spike-in;CN=UPS1;QY=1.272 ug
UPS2 128N	Homo sapiens	not applicable	not applicable	1	not applicable	not available	not available	not available	not available	CT=spike-in;CN=UPS2;QY=2.138 ug	TMT10-labeled UPS2 human protein-standard digest; no cell-lysate background.	run 1	proteomic profiling by mass spectrometry	1	Lumos1_UPS1_UPS2_Ecoli_TMT10plex_20210604_R2.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	TMT128N	1	not available	20 ppm	0.02 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	https://ftp.pride.ebi.ac.uk/pride/data/archive/2026/05/PXD070151/Lumos1_UPS1_UPS2_Ecoli_TMT10plex_20210604_R2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD070151	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	CT=spike-in;CN=UPS2;QY=2.138 ug
UPS2 128C	Homo sapiens	not applicable	not applicable	1	not applicable	not available	not available	not available	not available	CT=spike-in;CN=UPS2;QY=2.138 ug	TMT10-labeled UPS2 human protein-standard digest; no cell-lysate background.	run 1	proteomic profiling by mass spectrometry	1	Lumos1_UPS1_UPS2_Ecoli_TMT10plex_20210604_R2.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	TMT128C	1	not available	20 ppm	0.02 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	https://ftp.pride.ebi.ac.uk/pride/data/archive/2026/05/PXD070151/Lumos1_UPS1_UPS2_Ecoli_TMT10plex_20210604_R2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD070151	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	CT=spike-in;CN=UPS2;QY=2.138 ug
Escherichia coli 129N	Escherichia coli	not applicable	not applicable	1	not applicable	not available	not available	not available	not available	CT=spike-in;CN=Escherichia coli;QY=2 ug	TMT10-labeled Escherichia coli cell-lysate digest.	run 1	proteomic profiling by mass spectrometry	1	Lumos1_UPS1_UPS2_Ecoli_TMT10plex_20210604_R2.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	TMT129N	1	not available	20 ppm	0.02 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	https://ftp.pride.ebi.ac.uk/pride/data/archive/2026/05/PXD070151/Lumos1_UPS1_UPS2_Ecoli_TMT10plex_20210604_R2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD070151	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	CT=spike-in;CN=Escherichia coli;QY=2 ug
Escherichia coli 129C	Escherichia coli	not applicable	not applicable	1	not applicable	not available	not available	not available	not available	CT=spike-in;CN=Escherichia coli;QY=2 ug	TMT10-labeled Escherichia coli cell-lysate digest.	run 1	proteomic profiling by mass spectrometry	1	Lumos1_UPS1_UPS2_Ecoli_TMT10plex_20210604_R2.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	TMT129C	1	not available	20 ppm	0.02 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	https://ftp.pride.ebi.ac.uk/pride/data/archive/2026/05/PXD070151/Lumos1_UPS1_UPS2_Ecoli_TMT10plex_20210604_R2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD070151	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	CT=spike-in;CN=Escherichia coli;QY=2 ug
empty_TMT126	not applicable	not applicable	not applicable	1	not applicable	not available	not available	not available	not available	not applicable	Unused TMT10 reporter channel; no peptide sample assigned.	run 1	proteomic profiling by mass spectrometry	1	Lumos1_UPS1_UPS2_Ecoli_TMT10plex_20210604_R2.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	TMT126	1	not available	20 ppm	0.02 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	https://ftp.pride.ebi.ac.uk/pride/data/archive/2026/05/PXD070151/Lumos1_UPS1_UPS2_Ecoli_TMT10plex_20210604_R2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD070151	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	not applicable
empty_TMT130N	not applicable	not applicable	not applicable	1	not applicable	not available	not available	not available	not available	not applicable	Unused TMT10 reporter channel; no peptide sample assigned.	run 1	proteomic profiling by mass spectrometry	1	Lumos1_UPS1_UPS2_Ecoli_TMT10plex_20210604_R2.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	TMT130N	1	not available	20 ppm	0.02 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	https://ftp.pride.ebi.ac.uk/pride/data/archive/2026/05/PXD070151/Lumos1_UPS1_UPS2_Ecoli_TMT10plex_20210604_R2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD070151	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	not applicable
empty_TMT130C	not applicable	not applicable	not applicable	1	not applicable	not available	not available	not available	not available	not applicable	Unused TMT10 reporter channel; no peptide sample assigned.	run 1	proteomic profiling by mass spectrometry	1	Lumos1_UPS1_UPS2_Ecoli_TMT10plex_20210604_R2.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	TMT130C	1	not available	20 ppm	0.02 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	https://ftp.pride.ebi.ac.uk/pride/data/archive/2026/05/PXD070151/Lumos1_UPS1_UPS2_Ecoli_TMT10plex_20210604_R2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD070151	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	not applicable
empty_TMT131	not applicable	not applicable	not applicable	1	not applicable	not available	not available	not available	not available	not applicable	Unused TMT10 reporter channel; no peptide sample assigned.	run 1	proteomic profiling by mass spectrometry	1	Lumos1_UPS1_UPS2_Ecoli_TMT10plex_20210604_R2.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	TMT131	1	not available	20 ppm	0.02 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	https://ftp.pride.ebi.ac.uk/pride/data/archive/2026/05/PXD070151/Lumos1_UPS1_UPS2_Ecoli_TMT10plex_20210604_R2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD070151	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	not applicable
