source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[spiked compound]	characteristics[material description]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]	comment[modification parameters]	comment[file uri]	comment[annotation source]	comment[sdrf annotation tool]	comment[annotation provenance]	factor value[spiked compound]
Sample 5	Homo sapiens	pancreas	not applicable	1	not available	not available	not available	not available	not available	CT=spike-in;CN=Escherichia coli;CR=3x (9% E.coli)	Proteome digest derived from human PANC-1 cells and Escherichia coli DH5alpha cells; the E. coli proportion varies between groups.	run 15	proteomic profiling by mass spectrometry	4	B03_16_150304_human_ecoli_E_3ul_3um_column_95_HCD_OT_2hrs_30B_9B.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin;AC=MS:1001251	AC=MS:1002038;NT=label free sample	1	NT=HCD	10 ppm	0.02 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD003881/B03_16_150304_human_ecoli_E_3ul_3um_column_95_HCD_OT_2hrs_30B_9B.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD003881 | https://doi.org/10.1073/pnas.1800541115	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	CT=spike-in;CN=Escherichia coli;CR=3x (9% E.coli)
Sample 1	Homo sapiens	pancreas	not applicable	1	not available	not available	not available	not available	not available	CT=spike-in;CN=Escherichia coli;CR=1x (3% E.coli)	Proteome digest derived from human PANC-1 cells and Escherichia coli DH5alpha cells; the E. coli proportion varies between groups.	run 20	proteomic profiling by mass spectrometry	4	B03_21_150304_human_ecoli_A_3ul_3um_column_95_HCD_OT_2hrs_30B_9B.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin;AC=MS:1001251	AC=MS:1002038;NT=label free sample	1	NT=HCD	10 ppm	0.02 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD003881/B03_21_150304_human_ecoli_A_3ul_3um_column_95_HCD_OT_2hrs_30B_9B.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD003881 | https://doi.org/10.1073/pnas.1800541115	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	CT=spike-in;CN=Escherichia coli;CR=1x (3% E.coli)
Sample 1	Homo sapiens	pancreas	not applicable	1	not available	not available	not available	not available	not available	CT=spike-in;CN=Escherichia coli;CR=1x (3% E.coli)	Proteome digest derived from human PANC-1 cells and Escherichia coli DH5alpha cells; the E. coli proportion varies between groups.	run 9	proteomic profiling by mass spectrometry	1	B03_10_150304_human_ecoli_A_3ul_3um_column_95_HCD_OT_2hrs_30B_9B.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin;AC=MS:1001251	AC=MS:1002038;NT=label free sample	1	NT=HCD	10 ppm	0.02 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD003881/B03_10_150304_human_ecoli_A_3ul_3um_column_95_HCD_OT_2hrs_30B_9B.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD003881 | https://doi.org/10.1073/pnas.1800541115	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	CT=spike-in;CN=Escherichia coli;CR=1x (3% E.coli)
Sample 2	Homo sapiens	pancreas	not applicable	1	not available	not available	not available	not available	not available	CT=spike-in;CN=Escherichia coli;CR=1.5x (4.5% E.coli)	Proteome digest derived from human PANC-1 cells and Escherichia coli DH5alpha cells; the E. coli proportion varies between groups.	run 18	proteomic profiling by mass spectrometry	4	B03_19_150304_human_ecoli_B_3ul_3um_column_95_HCD_OT_2hrs_30B_9B.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin;AC=MS:1001251	AC=MS:1002038;NT=label free sample	1	NT=HCD	10 ppm	0.02 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD003881/B03_19_150304_human_ecoli_B_3ul_3um_column_95_HCD_OT_2hrs_30B_9B.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD003881 | https://doi.org/10.1073/pnas.1800541115	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	CT=spike-in;CN=Escherichia coli;CR=1.5x (4.5% E.coli)
Sample 4	Homo sapiens	pancreas	not applicable	1	not available	not available	not available	not available	not available	CT=spike-in;CN=Escherichia coli;CR=2.5x (7.5% E.coli)	Proteome digest derived from human PANC-1 cells and Escherichia coli DH5alpha cells; the E. coli proportion varies between groups.	run 16	proteomic profiling by mass spectrometry	4	B03_17_150304_human_ecoli_D_3ul_3um_column_95_HCD_OT_2hrs_30B_9B.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin;AC=MS:1001251	AC=MS:1002038;NT=label free sample	1	NT=HCD	10 ppm	0.02 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD003881/B03_17_150304_human_ecoli_D_3ul_3um_column_95_HCD_OT_2hrs_30B_9B.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD003881 | https://doi.org/10.1073/pnas.1800541115	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	CT=spike-in;CN=Escherichia coli;CR=2.5x (7.5% E.coli)
Sample 4	Homo sapiens	pancreas	not applicable	1	not available	not available	not available	not available	not available	CT=spike-in;CN=Escherichia coli;CR=2.5x (7.5% E.coli)	Proteome digest derived from human PANC-1 cells and Escherichia coli DH5alpha cells; the E. coli proportion varies between groups.	run 13	proteomic profiling by mass spectrometry	3	B03_14_150304_human_ecoli_D_3ul_3um_column_95_HCD_OT_2hrs_30B_9B.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin;AC=MS:1001251	AC=MS:1002038;NT=label free sample	1	NT=HCD	10 ppm	0.02 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD003881/B03_14_150304_human_ecoli_D_3ul_3um_column_95_HCD_OT_2hrs_30B_9B.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD003881 | https://doi.org/10.1073/pnas.1800541115	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	CT=spike-in;CN=Escherichia coli;CR=2.5x (7.5% E.coli)
Sample 4	Homo sapiens	pancreas	not applicable	1	not available	not available	not available	not available	not available	CT=spike-in;CN=Escherichia coli;CR=2.5x (7.5% E.coli)	Proteome digest derived from human PANC-1 cells and Escherichia coli DH5alpha cells; the E. coli proportion varies between groups.	run 3	proteomic profiling by mass spectrometry	1	B03_04_150304_human_ecoli_D_3ul_3um_column_95_HCD_OT_2hrs_30B_9B.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin;AC=MS:1001251	AC=MS:1002038;NT=label free sample	1	NT=HCD	10 ppm	0.02 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD003881/B03_04_150304_human_ecoli_D_3ul_3um_column_95_HCD_OT_2hrs_30B_9B.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD003881 | https://doi.org/10.1073/pnas.1800541115	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	CT=spike-in;CN=Escherichia coli;CR=2.5x (7.5% E.coli)
Sample 3	Homo sapiens	pancreas	not applicable	1	not available	not available	not available	not available	not available	CT=spike-in;CN=Escherichia coli;CR=2x (6% E.coli)	Proteome digest derived from human PANC-1 cells and Escherichia coli DH5alpha cells; the E. coli proportion varies between groups.	run 17	proteomic profiling by mass spectrometry	4	B03_18_150304_human_ecoli_C_3ul_3um_column_95_HCD_OT_2hrs_30B_9B.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin;AC=MS:1001251	AC=MS:1002038;NT=label free sample	1	NT=HCD	10 ppm	0.02 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD003881/B03_18_150304_human_ecoli_C_3ul_3um_column_95_HCD_OT_2hrs_30B_9B.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD003881 | https://doi.org/10.1073/pnas.1800541115	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	CT=spike-in;CN=Escherichia coli;CR=2x (6% E.coli)
Sample 3	Homo sapiens	pancreas	not applicable	1	not available	not available	not available	not available	not available	CT=spike-in;CN=Escherichia coli;CR=2x (6% E.coli)	Proteome digest derived from human PANC-1 cells and Escherichia coli DH5alpha cells; the E. coli proportion varies between groups.	run 2	proteomic profiling by mass spectrometry	1	B03_03_150304_human_ecoli_C_3ul_3um_column_95_HCD_OT_2hrs_30B_9B.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin;AC=MS:1001251	AC=MS:1002038;NT=label free sample	1	NT=HCD	10 ppm	0.02 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD003881/B03_03_150304_human_ecoli_C_3ul_3um_column_95_HCD_OT_2hrs_30B_9B.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD003881 | https://doi.org/10.1073/pnas.1800541115	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	CT=spike-in;CN=Escherichia coli;CR=2x (6% E.coli)
Sample 5	Homo sapiens	pancreas	not applicable	1	not available	not available	not available	not available	not available	CT=spike-in;CN=Escherichia coli;CR=3x (9% E.coli)	Proteome digest derived from human PANC-1 cells and Escherichia coli DH5alpha cells; the E. coli proportion varies between groups.	run 4	proteomic profiling by mass spectrometry	1	B03_05_150304_human_ecoli_E_3ul_3um_column_95_HCD_OT_2hrs_30B_9B.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin;AC=MS:1001251	AC=MS:1002038;NT=label free sample	1	NT=HCD	10 ppm	0.02 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD003881/B03_05_150304_human_ecoli_E_3ul_3um_column_95_HCD_OT_2hrs_30B_9B.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD003881 | https://doi.org/10.1073/pnas.1800541115	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	CT=spike-in;CN=Escherichia coli;CR=3x (9% E.coli)
Sample 2	Homo sapiens	pancreas	not applicable	1	not available	not available	not available	not available	not available	CT=spike-in;CN=Escherichia coli;CR=1.5x (4.5% E.coli)	Proteome digest derived from human PANC-1 cells and Escherichia coli DH5alpha cells; the E. coli proportion varies between groups.	run 8	proteomic profiling by mass spectrometry	2	B03_09_150304_human_ecoli_B_3ul_3um_column_95_HCD_OT_2hrs_30B_9B.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin;AC=MS:1001251	AC=MS:1002038;NT=label free sample	1	NT=HCD	10 ppm	0.02 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD003881/B03_09_150304_human_ecoli_B_3ul_3um_column_95_HCD_OT_2hrs_30B_9B.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD003881 | https://doi.org/10.1073/pnas.1800541115	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	CT=spike-in;CN=Escherichia coli;CR=1.5x (4.5% E.coli)
Sample 2	Homo sapiens	pancreas	not applicable	1	not available	not available	not available	not available	not available	CT=spike-in;CN=Escherichia coli;CR=1.5x (4.5% E.coli)	Proteome digest derived from human PANC-1 cells and Escherichia coli DH5alpha cells; the E. coli proportion varies between groups.	run 11	proteomic profiling by mass spectrometry	3	B03_12_150304_human_ecoli_B_3ul_3um_column_95_HCD_OT_2hrs_30B_9B.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin;AC=MS:1001251	AC=MS:1002038;NT=label free sample	1	NT=HCD	10 ppm	0.02 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD003881/B03_12_150304_human_ecoli_B_3ul_3um_column_95_HCD_OT_2hrs_30B_9B.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD003881 | https://doi.org/10.1073/pnas.1800541115	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	CT=spike-in;CN=Escherichia coli;CR=1.5x (4.5% E.coli)
