source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[condition]	characteristics[spiked compound]	assay name	technology type	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[study group]	comment[acquisition branch]	comment[replicate label]	comment[replicate provenance]	comment[sdrf version]	comment[sdrf template]	comment[annotation source]	comment[sdrf annotation tool]	comment[annotation provenance]	factor value[condition]
PXD027800_Point1	Arabidopsis thaliana	not available	not available	not applicable	1	Point1	CT=mixture;CN=UPS1;QY=0.05 fmol	QX5904NP	proteomic profiling by mass spectrometry	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	20 ppm	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QX5904NP.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD027800/QX5904NP.raw	PXD027800	DDA	1	author-reported	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD027800 | https://doi.org/10.1371/JOURNAL.PCBI.1010420	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Point1
PXD027800_Point1	Arabidopsis thaliana	not available	not available	not applicable	1	Point1	CT=mixture;CN=UPS1;QY=0.05 fmol	QX5907NP	proteomic profiling by mass spectrometry	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	20 ppm	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QX5907NP.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD027800/QX5907NP.raw	PXD027800	DDA	2	author-reported	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD027800 | https://doi.org/10.1371/JOURNAL.PCBI.1010420	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Point1
PXD027800_Point1	Arabidopsis thaliana	not available	not available	not applicable	1	Point1	CT=mixture;CN=UPS1;QY=0.05 fmol	QX5910NP	proteomic profiling by mass spectrometry	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	20 ppm	3	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QX5910NP.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD027800/QX5910NP.raw	PXD027800	DDA	3	author-reported	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD027800 | https://doi.org/10.1371/JOURNAL.PCBI.1010420	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Point1
PXD027800_Point2	Arabidopsis thaliana	not available	not available	not applicable	1	Point2	CT=mixture;CN=UPS1;QY=0.25 fmol	QX5913NP	proteomic profiling by mass spectrometry	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	20 ppm	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QX5913NP.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD027800/QX5913NP.raw	PXD027800	DDA	1	author-reported	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD027800 | https://doi.org/10.1371/JOURNAL.PCBI.1010420	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Point2
PXD027800_Point2	Arabidopsis thaliana	not available	not available	not applicable	1	Point2	CT=mixture;CN=UPS1;QY=0.25 fmol	QX5916NP	proteomic profiling by mass spectrometry	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	20 ppm	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QX5916NP.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD027800/QX5916NP.raw	PXD027800	DDA	2	author-reported	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD027800 | https://doi.org/10.1371/JOURNAL.PCBI.1010420	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Point2
PXD027800_Point2	Arabidopsis thaliana	not available	not available	not applicable	1	Point2	CT=mixture;CN=UPS1;QY=0.25 fmol	QX5919NP	proteomic profiling by mass spectrometry	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	20 ppm	3	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QX5919NP.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD027800/QX5919NP.raw	PXD027800	DDA	3	author-reported	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD027800 | https://doi.org/10.1371/JOURNAL.PCBI.1010420	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Point2
PXD027800_Point3	Arabidopsis thaliana	not available	not available	not applicable	1	Point3	CT=mixture;CN=UPS1;QY=0.5 fmol	QX5922NP	proteomic profiling by mass spectrometry	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	20 ppm	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QX5922NP.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD027800/QX5922NP.raw	PXD027800	DDA	1	author-reported	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD027800 | https://doi.org/10.1371/JOURNAL.PCBI.1010420	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Point3
PXD027800_Point3	Arabidopsis thaliana	not available	not available	not applicable	1	Point3	CT=mixture;CN=UPS1;QY=0.5 fmol	QX5925NP	proteomic profiling by mass spectrometry	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	20 ppm	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QX5925NP.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD027800/QX5925NP.raw	PXD027800	DDA	2	author-reported	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD027800 | https://doi.org/10.1371/JOURNAL.PCBI.1010420	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Point3
PXD027800_Point3	Arabidopsis thaliana	not available	not available	not applicable	1	Point3	CT=mixture;CN=UPS1;QY=0.5 fmol	QX5928NP	proteomic profiling by mass spectrometry	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	20 ppm	3	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QX5928NP.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD027800/QX5928NP.raw	PXD027800	DDA	3	author-reported	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD027800 | https://doi.org/10.1371/JOURNAL.PCBI.1010420	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Point3
PXD027800_Point4	Arabidopsis thaliana	not available	not available	not applicable	1	Point4	CT=mixture;CN=UPS1;QY=1.25 fmol	QX5931NP	proteomic profiling by mass spectrometry	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	20 ppm	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QX5931NP.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD027800/QX5931NP.raw	PXD027800	DDA	1	author-reported	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD027800 | https://doi.org/10.1371/JOURNAL.PCBI.1010420	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Point4
