source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[environmental medium]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[host disease status]
Individual_DEN029	Individual_DEN029	human lung metagenome	not applicable	not applicable	not available	bronchoalveolar lavage fluid	lung microbiome	Homo sapiens	lung	Cystic fibrosis	1	Individual_DEN029_1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	Individual_DEN029_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cystic fibrosis
Individual_DEN029	Individual_DEN029	human lung metagenome	not applicable	not applicable	not available	bronchoalveolar lavage fluid	lung microbiome	Homo sapiens	lung	Cystic fibrosis	1	Individual_DEN029_2	proteomic profiling by mass spectrometry	2	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	Individual_DEN029_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cystic fibrosis
Individual_DEN031	Individual_DEN031	human lung metagenome	not applicable	not applicable	not available	bronchoalveolar lavage fluid	lung microbiome	Homo sapiens	lung	Cystic fibrosis	1	Individual_DEN031_1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	Individual_DEN031_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cystic fibrosis
Individual_DEN031	Individual_DEN031	human lung metagenome	not applicable	not applicable	not available	bronchoalveolar lavage fluid	lung microbiome	Homo sapiens	lung	Cystic fibrosis	1	Individual_DEN031_2	proteomic profiling by mass spectrometry	2	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	Individual_DEN031_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cystic fibrosis
Individual_DEN055	Individual_DEN055	human lung metagenome	not applicable	not applicable	not available	bronchoalveolar lavage fluid	lung microbiome	Homo sapiens	lung	Cystic fibrosis	1	Individual_DEN055_1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	Individual_DEN055_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cystic fibrosis
Individual_DEN055	Individual_DEN055	human lung metagenome	not applicable	not applicable	not available	bronchoalveolar lavage fluid	lung microbiome	Homo sapiens	lung	Cystic fibrosis	1	Individual_DEN055_2	proteomic profiling by mass spectrometry	2	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	Individual_DEN055_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cystic fibrosis
Individual_DEN098	Individual_DEN098	human lung metagenome	not applicable	not applicable	not available	bronchoalveolar lavage fluid	lung microbiome	Homo sapiens	lung	Cystic fibrosis	1	Individual_DEN098_1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	Individual_DEN098_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cystic fibrosis
Individual_DEN098	Individual_DEN098	human lung metagenome	not applicable	not applicable	not available	bronchoalveolar lavage fluid	lung microbiome	Homo sapiens	lung	Cystic fibrosis	1	Individual_DEN098_2	proteomic profiling by mass spectrometry	2	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	Individual_DEN098_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cystic fibrosis
Individual_DEN110	Individual_DEN110	human lung metagenome	not applicable	not applicable	not available	bronchoalveolar lavage fluid	lung microbiome	Homo sapiens	lung	Cystic fibrosis	1	Individual_DEN110_1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	Individual_DEN110_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cystic fibrosis
Individual_DEN110	Individual_DEN110	human lung metagenome	not applicable	not applicable	not available	bronchoalveolar lavage fluid	lung microbiome	Homo sapiens	lung	Cystic fibrosis	1	Individual_DEN110_2	proteomic profiling by mass spectrometry	2	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	Individual_DEN110_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cystic fibrosis
