source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[sex]	characteristics[medium]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[precursor mass tolerance]	comment[modification parameters]	factor value[medium]
JAH_Amyc0_06	Amycolatopsis	cell culture	not applicable	not applicable	0 g/L glucose	1	JAH_Amyc0_06	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	JAH_Amyc0_06.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0 g/L glucose
JAH_Amyc0_05	Amycolatopsis	cell culture	not applicable	not applicable	0 g/L glucose	1	JAH_Amyc0_05	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	JAH_Amyc0_05.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0 g/L glucose
JAH_Amyc20_04	Amycolatopsis	cell culture	not applicable	not applicable	20 g/L glucose	1	JAH_Amyc20_04	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	JAH_Amyc20_04.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 g/L glucose
JAH_Amyc20_02	Amycolatopsis	cell culture	not applicable	not applicable	20 g/L glucose	1	JAH_Amyc20_02	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	JAH_Amyc20_02.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 g/L glucose
JAH_Amyc20_03	Amycolatopsis	cell culture	not applicable	not applicable	20 g/L glucose	1	JAH_Amyc20_03	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	JAH_Amyc20_03.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 g/L glucose
JAH_Amyc20_06	Amycolatopsis	cell culture	not applicable	not applicable	20 g/L glucose	1	JAH_Amyc20_06	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	JAH_Amyc20_06.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 g/L glucose
JAH_Amyc20_01	Amycolatopsis	cell culture	not applicable	not applicable	20 g/L glucose	1	JAH_Amyc20_01	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	JAH_Amyc20_01.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 g/L glucose
JAH_Amyc0_04	Amycolatopsis	cell culture	not applicable	not applicable	0 g/L glucose	1	JAH_Amyc0_04	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	JAH_Amyc0_04.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0 g/L glucose
JAH_Amyc0_01	Amycolatopsis	cell culture	not applicable	not applicable	0 g/L glucose	1	JAH_Amyc0_01	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	JAH_Amyc0_01.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0 g/L glucose
JAH_Amyc20_07	Amycolatopsis	cell culture	not applicable	not applicable	20 g/L glucose	1	JAH_Amyc20_07	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	JAH_Amyc20_07.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 g/L glucose
