source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[strain]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[mass]	characteristics[spiked compound]	characteristics[biological replicate]	characteristics[material description]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[sdrf version]	comment[sdrf template]	comment[annotation source]	comment[sdrf annotation tool]	comment[annotation provenance]	comment[annotation scope]	comment[replicate provenance]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[search parameter source]	factor value[spiked compound]
PXD026600_UPS1_0.1fmol_per_ug	Escherichia coli	not applicable	not available	CCRI-12923	not available	not applicable	not available	not available	not available	1 ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=0.1 fmol per ug E. coli	1	Escherichia coli whole-cell extract with UPS1 human protein standard; tryptic digest.	RD139_Narrow_UPS1_0_1fmol_inj1	proteomic profiling by mass spectrometry	RD139_Narrow_UPS1_0_1fmol_inj1.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000087597%2Fraw%2FRD139_Raw_files_DIA_Narrow%2FRD139_Narrow_UPS1_0_1fmol_inj1.raw&forceDownload=true	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	35 NCE	not available	not available	v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD026600 | https://pmc.ncbi.nlm.nih.gov/articles/PMC8841991/	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Complete 24-run Narrow-window DIA branch only; other DIA window schemes and DDA library acquisitions in the deposit are outside this annotation.	One prepared standard per UPS1 concentration measured by three technical injections, as specified by the ProteomeXchange record; no independent biological replicates.	350	950	8	PMC8841991 Table 2: fixed Carbamidomethyl (C), variable Oxidation (M). The DIA files were processed by six tools; no single common mass-tolerance pair is established. The 10 ppm/25 mmu Mascot settings in Methods apply to DDA library acquisitions, not these DIA runs.	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=0.1 fmol per ug E. coli
PXD026600_UPS1_0.1fmol_per_ug	Escherichia coli	not applicable	not available	CCRI-12923	not available	not applicable	not available	not available	not available	1 ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=0.1 fmol per ug E. coli	1	Escherichia coli whole-cell extract with UPS1 human protein standard; tryptic digest.	RD139_Narrow_UPS1_0_1fmol_inj2	proteomic profiling by mass spectrometry	RD139_Narrow_UPS1_0_1fmol_inj2.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000087597%2Fraw%2FRD139_Raw_files_DIA_Narrow%2FRD139_Narrow_UPS1_0_1fmol_inj2.raw&forceDownload=true	2	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	35 NCE	not available	not available	v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD026600 | https://pmc.ncbi.nlm.nih.gov/articles/PMC8841991/	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Complete 24-run Narrow-window DIA branch only; other DIA window schemes and DDA library acquisitions in the deposit are outside this annotation.	One prepared standard per UPS1 concentration measured by three technical injections, as specified by the ProteomeXchange record; no independent biological replicates.	350	950	8	PMC8841991 Table 2: fixed Carbamidomethyl (C), variable Oxidation (M). The DIA files were processed by six tools; no single common mass-tolerance pair is established. The 10 ppm/25 mmu Mascot settings in Methods apply to DDA library acquisitions, not these DIA runs.	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=0.1 fmol per ug E. coli
PXD026600_UPS1_0.1fmol_per_ug	Escherichia coli	not applicable	not available	CCRI-12923	not available	not applicable	not available	not available	not available	1 ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=0.1 fmol per ug E. coli	1	Escherichia coli whole-cell extract with UPS1 human protein standard; tryptic digest.	RD139_Narrow_UPS1_0_1fmol_inj3	proteomic profiling by mass spectrometry	RD139_Narrow_UPS1_0_1fmol_inj3.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000087597%2Fraw%2FRD139_Raw_files_DIA_Narrow%2FRD139_Narrow_UPS1_0_1fmol_inj3.raw&forceDownload=true	3	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	35 NCE	not available	not available	v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD026600 | https://pmc.ncbi.nlm.nih.gov/articles/PMC8841991/	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Complete 24-run Narrow-window DIA branch only; other DIA window schemes and DDA library acquisitions in the deposit are outside this annotation.	One prepared standard per UPS1 concentration measured by three technical injections, as specified by the ProteomeXchange record; no independent biological replicates.	350	950	8	PMC8841991 Table 2: fixed Carbamidomethyl (C), variable Oxidation (M). The DIA files were processed by six tools; no single common mass-tolerance pair is established. The 10 ppm/25 mmu Mascot settings in Methods apply to DDA library acquisitions, not these DIA runs.	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=0.1 fmol per ug E. coli
PXD026600_UPS1_0.25fmol_per_ug	Escherichia coli	not applicable	not available	CCRI-12923	not available	not applicable	not available	not available	not available	1 ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=0.25 fmol per ug E. coli	1	Escherichia coli whole-cell extract with UPS1 human protein standard; tryptic digest.	RD139_Narrow_UPS1_0_25fmol_inj1	proteomic profiling by mass spectrometry	RD139_Narrow_UPS1_0_25fmol_inj1.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000087597%2Fraw%2FRD139_Raw_files_DIA_Narrow%2FRD139_Narrow_UPS1_0_25fmol_inj1.raw&forceDownload=true	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	35 NCE	not available	not available	v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD026600 | https://pmc.ncbi.nlm.nih.gov/articles/PMC8841991/	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Complete 24-run Narrow-window DIA branch only; other DIA window schemes and DDA library acquisitions in the deposit are outside this annotation.	One prepared standard per UPS1 concentration measured by three technical injections, as specified by the ProteomeXchange record; no independent biological replicates.	350	950	8	PMC8841991 Table 2: fixed Carbamidomethyl (C), variable Oxidation (M). The DIA files were processed by six tools; no single common mass-tolerance pair is established. The 10 ppm/25 mmu Mascot settings in Methods apply to DDA library acquisitions, not these DIA runs.	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=0.25 fmol per ug E. coli
PXD026600_UPS1_0.25fmol_per_ug	Escherichia coli	not applicable	not available	CCRI-12923	not available	not applicable	not available	not available	not available	1 ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=0.25 fmol per ug E. coli	1	Escherichia coli whole-cell extract with UPS1 human protein standard; tryptic digest.	RD139_Narrow_UPS1_0_25fmol_inj2	proteomic profiling by mass spectrometry	RD139_Narrow_UPS1_0_25fmol_inj2.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000087597%2Fraw%2FRD139_Raw_files_DIA_Narrow%2FRD139_Narrow_UPS1_0_25fmol_inj2.raw&forceDownload=true	2	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	35 NCE	not available	not available	v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD026600 | https://pmc.ncbi.nlm.nih.gov/articles/PMC8841991/	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Complete 24-run Narrow-window DIA branch only; other DIA window schemes and DDA library acquisitions in the deposit are outside this annotation.	One prepared standard per UPS1 concentration measured by three technical injections, as specified by the ProteomeXchange record; no independent biological replicates.	350	950	8	PMC8841991 Table 2: fixed Carbamidomethyl (C), variable Oxidation (M). The DIA files were processed by six tools; no single common mass-tolerance pair is established. The 10 ppm/25 mmu Mascot settings in Methods apply to DDA library acquisitions, not these DIA runs.	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=0.25 fmol per ug E. coli
PXD026600_UPS1_0.25fmol_per_ug	Escherichia coli	not applicable	not available	CCRI-12923	not available	not applicable	not available	not available	not available	1 ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=0.25 fmol per ug E. coli	1	Escherichia coli whole-cell extract with UPS1 human protein standard; tryptic digest.	RD139_Narrow_UPS1_0_25fmol_inj3	proteomic profiling by mass spectrometry	RD139_Narrow_UPS1_0_25fmol_inj3.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000087597%2Fraw%2FRD139_Raw_files_DIA_Narrow%2FRD139_Narrow_UPS1_0_25fmol_inj3.raw&forceDownload=true	3	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	35 NCE	not available	not available	v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD026600 | https://pmc.ncbi.nlm.nih.gov/articles/PMC8841991/	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Complete 24-run Narrow-window DIA branch only; other DIA window schemes and DDA library acquisitions in the deposit are outside this annotation.	One prepared standard per UPS1 concentration measured by three technical injections, as specified by the ProteomeXchange record; no independent biological replicates.	350	950	8	PMC8841991 Table 2: fixed Carbamidomethyl (C), variable Oxidation (M). The DIA files were processed by six tools; no single common mass-tolerance pair is established. The 10 ppm/25 mmu Mascot settings in Methods apply to DDA library acquisitions, not these DIA runs.	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=0.25 fmol per ug E. coli
PXD026600_UPS1_1fmol_per_ug	Escherichia coli	not applicable	not available	CCRI-12923	not available	not applicable	not available	not available	not available	1 ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=1 fmol per ug E. coli	1	Escherichia coli whole-cell extract with UPS1 human protein standard; tryptic digest.	RD139_Narrow_UPS1_1fmol_inj1	proteomic profiling by mass spectrometry	RD139_Narrow_UPS1_1fmol_inj1.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000087597%2Fraw%2FRD139_Raw_files_DIA_Narrow%2FRD139_Narrow_UPS1_1fmol_inj1.raw&forceDownload=true	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	35 NCE	not available	not available	v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD026600 | https://pmc.ncbi.nlm.nih.gov/articles/PMC8841991/	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Complete 24-run Narrow-window DIA branch only; other DIA window schemes and DDA library acquisitions in the deposit are outside this annotation.	One prepared standard per UPS1 concentration measured by three technical injections, as specified by the ProteomeXchange record; no independent biological replicates.	350	950	8	PMC8841991 Table 2: fixed Carbamidomethyl (C), variable Oxidation (M). The DIA files were processed by six tools; no single common mass-tolerance pair is established. The 10 ppm/25 mmu Mascot settings in Methods apply to DDA library acquisitions, not these DIA runs.	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=1 fmol per ug E. coli
PXD026600_UPS1_1fmol_per_ug	Escherichia coli	not applicable	not available	CCRI-12923	not available	not applicable	not available	not available	not available	1 ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=1 fmol per ug E. coli	1	Escherichia coli whole-cell extract with UPS1 human protein standard; tryptic digest.	RD139_Narrow_UPS1_1fmol_inj2	proteomic profiling by mass spectrometry	RD139_Narrow_UPS1_1fmol_inj2.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000087597%2Fraw%2FRD139_Raw_files_DIA_Narrow%2FRD139_Narrow_UPS1_1fmol_inj2.raw&forceDownload=true	2	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	35 NCE	not available	not available	v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD026600 | https://pmc.ncbi.nlm.nih.gov/articles/PMC8841991/	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Complete 24-run Narrow-window DIA branch only; other DIA window schemes and DDA library acquisitions in the deposit are outside this annotation.	One prepared standard per UPS1 concentration measured by three technical injections, as specified by the ProteomeXchange record; no independent biological replicates.	350	950	8	PMC8841991 Table 2: fixed Carbamidomethyl (C), variable Oxidation (M). The DIA files were processed by six tools; no single common mass-tolerance pair is established. The 10 ppm/25 mmu Mascot settings in Methods apply to DDA library acquisitions, not these DIA runs.	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=1 fmol per ug E. coli
PXD026600_UPS1_1fmol_per_ug	Escherichia coli	not applicable	not available	CCRI-12923	not available	not applicable	not available	not available	not available	1 ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=1 fmol per ug E. coli	1	Escherichia coli whole-cell extract with UPS1 human protein standard; tryptic digest.	RD139_Narrow_UPS1_1fmol_inj3	proteomic profiling by mass spectrometry	RD139_Narrow_UPS1_1fmol_inj3.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000087597%2Fraw%2FRD139_Raw_files_DIA_Narrow%2FRD139_Narrow_UPS1_1fmol_inj3.raw&forceDownload=true	3	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	35 NCE	not available	not available	v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD026600 | https://pmc.ncbi.nlm.nih.gov/articles/PMC8841991/	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Complete 24-run Narrow-window DIA branch only; other DIA window schemes and DDA library acquisitions in the deposit are outside this annotation.	One prepared standard per UPS1 concentration measured by three technical injections, as specified by the ProteomeXchange record; no independent biological replicates.	350	950	8	PMC8841991 Table 2: fixed Carbamidomethyl (C), variable Oxidation (M). The DIA files were processed by six tools; no single common mass-tolerance pair is established. The 10 ppm/25 mmu Mascot settings in Methods apply to DDA library acquisitions, not these DIA runs.	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=1 fmol per ug E. coli
PXD026600_UPS1_2.5fmol_per_ug	Escherichia coli	not applicable	not available	CCRI-12923	not available	not applicable	not available	not available	not available	1 ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=2.5 fmol per ug E. coli	1	Escherichia coli whole-cell extract with UPS1 human protein standard; tryptic digest.	RD139_Narrow_UPS1_2_5fmol_inj1	proteomic profiling by mass spectrometry	RD139_Narrow_UPS1_2_5fmol_inj1.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000087597%2Fraw%2FRD139_Raw_files_DIA_Narrow%2FRD139_Narrow_UPS1_2_5fmol_inj1.raw&forceDownload=true	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	35 NCE	not available	not available	v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD026600 | https://pmc.ncbi.nlm.nih.gov/articles/PMC8841991/	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Complete 24-run Narrow-window DIA branch only; other DIA window schemes and DDA library acquisitions in the deposit are outside this annotation.	One prepared standard per UPS1 concentration measured by three technical injections, as specified by the ProteomeXchange record; no independent biological replicates.	350	950	8	PMC8841991 Table 2: fixed Carbamidomethyl (C), variable Oxidation (M). The DIA files were processed by six tools; no single common mass-tolerance pair is established. The 10 ppm/25 mmu Mascot settings in Methods apply to DDA library acquisitions, not these DIA runs.	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=2.5 fmol per ug E. coli
