source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	characteristics[condition]	characteristics[spiked compound]	characteristics[spiked compound]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]	comment[modification parameters]	comment[modification parameters]	comment[file uri]	comment[study group]	comment[replicate provenance]	comment[search parameter source]	comment[annotation source]	comment[sdrf annotation tool]	comment[annotation provenance]	comment[organism annotation]	factor value[condition]
PXD030780_C	Homo sapiens	not applicable	not applicable	1	not applicable	SW620	CVCL_0547	SW620	not available	not available	not available	C	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=30 percent	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=10 percent	PXD030780_TechAE_C03	proteomic profiling by mass spectrometry	3	TechAE_C03.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	20 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=protein N-term;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/01/PXD030780/TechAE_C03.raw	Lumos_240k	one prepared mixture per condition; five LC-MS technical replicates; no biological replication	ACS ac0c05002_si_001.pdf section 3.2 and Table S1a	https://www.ebi.ac.uk/pride/archive/projects/PXD030780 | https://doi.org/10.1021/acs.analchem.0c05002 | https://doi.org/10.1021/ACS.ANALCHEM.0C05002 | https://www.cellosaurus.org/CVCL_0547	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Human SW620 background; Saccharomyces cerevisiae BY4741 and Escherichia coli ATCC 25922 are mixture components encoded as spiked compounds.	C
PXD030780_A	Homo sapiens	not applicable	not applicable	1	not applicable	SW620	CVCL_0547	SW620	not available	not available	not available	A	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=35 percent	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=5 percent	PXD030780_TechAE_A02	proteomic profiling by mass spectrometry	2	TechAE_A02.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	20 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=protein N-term;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/01/PXD030780/TechAE_A02.raw	Lumos_240k	one prepared mixture per condition; five LC-MS technical replicates; no biological replication	ACS ac0c05002_si_001.pdf section 3.2 and Table S1a	https://www.ebi.ac.uk/pride/archive/projects/PXD030780 | https://doi.org/10.1021/acs.analchem.0c05002 | https://doi.org/10.1021/ACS.ANALCHEM.0C05002 | https://www.cellosaurus.org/CVCL_0547	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Human SW620 background; Saccharomyces cerevisiae BY4741 and Escherichia coli ATCC 25922 are mixture components encoded as spiked compounds.	A
PXD030780_B	Homo sapiens	not applicable	not applicable	1	not applicable	SW620	CVCL_0547	SW620	not available	not available	not available	B	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=32.5 percent	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=7.5 percent	PXD030780_TechAE_B04	proteomic profiling by mass spectrometry	4	TechAE_B04.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	20 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=protein N-term;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/01/PXD030780/TechAE_B04.raw	Lumos_240k	one prepared mixture per condition; five LC-MS technical replicates; no biological replication	ACS ac0c05002_si_001.pdf section 3.2 and Table S1a	https://www.ebi.ac.uk/pride/archive/projects/PXD030780 | https://doi.org/10.1021/acs.analchem.0c05002 | https://doi.org/10.1021/ACS.ANALCHEM.0C05002 | https://www.cellosaurus.org/CVCL_0547	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Human SW620 background; Saccharomyces cerevisiae BY4741 and Escherichia coli ATCC 25922 are mixture components encoded as spiked compounds.	B
PXD030780_C	Homo sapiens	not applicable	not applicable	1	not applicable	SW620	CVCL_0547	SW620	not available	not available	not available	C	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=30 percent	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=10 percent	PXD030780_TechAE_C01	proteomic profiling by mass spectrometry	1	TechAE_C01.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	20 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=protein N-term;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/01/PXD030780/TechAE_C01.raw	Lumos_240k	one prepared mixture per condition; five LC-MS technical replicates; no biological replication	ACS ac0c05002_si_001.pdf section 3.2 and Table S1a	https://www.ebi.ac.uk/pride/archive/projects/PXD030780 | https://doi.org/10.1021/acs.analchem.0c05002 | https://doi.org/10.1021/ACS.ANALCHEM.0C05002 | https://www.cellosaurus.org/CVCL_0547	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Human SW620 background; Saccharomyces cerevisiae BY4741 and Escherichia coli ATCC 25922 are mixture components encoded as spiked compounds.	C
PXD030780_A	Homo sapiens	not applicable	not applicable	1	not applicable	SW620	CVCL_0547	SW620	not available	not available	not available	A	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=35 percent	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=5 percent	PXD030780_TechAE_A01	proteomic profiling by mass spectrometry	1	TechAE_A01.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	20 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=protein N-term;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/01/PXD030780/TechAE_A01.raw	Lumos_240k	one prepared mixture per condition; five LC-MS technical replicates; no biological replication	ACS ac0c05002_si_001.pdf section 3.2 and Table S1a	https://www.ebi.ac.uk/pride/archive/projects/PXD030780 | https://doi.org/10.1021/acs.analchem.0c05002 | https://doi.org/10.1021/ACS.ANALCHEM.0C05002 | https://www.cellosaurus.org/CVCL_0547	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Human SW620 background; Saccharomyces cerevisiae BY4741 and Escherichia coli ATCC 25922 are mixture components encoded as spiked compounds.	A
PXD030780_E	Homo sapiens	not applicable	not applicable	1	not applicable	SW620	CVCL_0547	SW620	not available	not available	not available	E	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=20 percent	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=20 percent	PXD030780_TechAE_E03	proteomic profiling by mass spectrometry	3	TechAE_E03.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	20 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=protein N-term;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/01/PXD030780/TechAE_E03.raw	Lumos_240k	one prepared mixture per condition; five LC-MS technical replicates; no biological replication	ACS ac0c05002_si_001.pdf section 3.2 and Table S1a	https://www.ebi.ac.uk/pride/archive/projects/PXD030780 | https://doi.org/10.1021/acs.analchem.0c05002 | https://doi.org/10.1021/ACS.ANALCHEM.0C05002 | https://www.cellosaurus.org/CVCL_0547	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Human SW620 background; Saccharomyces cerevisiae BY4741 and Escherichia coli ATCC 25922 are mixture components encoded as spiked compounds.	E
PXD030780_C	Homo sapiens	not applicable	not applicable	1	not applicable	SW620	CVCL_0547	SW620	not available	not available	not available	C	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=30 percent	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=10 percent	PXD030780_TechAE_C02	proteomic profiling by mass spectrometry	2	TechAE_C02.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	20 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=protein N-term;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/01/PXD030780/TechAE_C02.raw	Lumos_240k	one prepared mixture per condition; five LC-MS technical replicates; no biological replication	ACS ac0c05002_si_001.pdf section 3.2 and Table S1a	https://www.ebi.ac.uk/pride/archive/projects/PXD030780 | https://doi.org/10.1021/acs.analchem.0c05002 | https://doi.org/10.1021/ACS.ANALCHEM.0C05002 | https://www.cellosaurus.org/CVCL_0547	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Human SW620 background; Saccharomyces cerevisiae BY4741 and Escherichia coli ATCC 25922 are mixture components encoded as spiked compounds.	C
PXD030780_D	Homo sapiens	not applicable	not applicable	1	not applicable	SW620	CVCL_0547	SW620	not available	not available	not available	D	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=25 percent	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=15 percent	PXD030780_TechAE_D05	proteomic profiling by mass spectrometry	5	TechAE_D05.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	20 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=protein N-term;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/01/PXD030780/TechAE_D05.raw	Lumos_240k	one prepared mixture per condition; five LC-MS technical replicates; no biological replication	ACS ac0c05002_si_001.pdf section 3.2 and Table S1a	https://www.ebi.ac.uk/pride/archive/projects/PXD030780 | https://doi.org/10.1021/acs.analchem.0c05002 | https://doi.org/10.1021/ACS.ANALCHEM.0C05002 | https://www.cellosaurus.org/CVCL_0547	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Human SW620 background; Saccharomyces cerevisiae BY4741 and Escherichia coli ATCC 25922 are mixture components encoded as spiked compounds.	D
PXD030780_A	Homo sapiens	not applicable	not applicable	1	not applicable	SW620	CVCL_0547	SW620	not available	not available	not available	A	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=35 percent	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=5 percent	PXD030780_TechAE_A04	proteomic profiling by mass spectrometry	4	TechAE_A04.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	20 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=protein N-term;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/01/PXD030780/TechAE_A04.raw	Lumos_240k	one prepared mixture per condition; five LC-MS technical replicates; no biological replication	ACS ac0c05002_si_001.pdf section 3.2 and Table S1a	https://www.ebi.ac.uk/pride/archive/projects/PXD030780 | https://doi.org/10.1021/acs.analchem.0c05002 | https://doi.org/10.1021/ACS.ANALCHEM.0C05002 | https://www.cellosaurus.org/CVCL_0547	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Human SW620 background; Saccharomyces cerevisiae BY4741 and Escherichia coli ATCC 25922 are mixture components encoded as spiked compounds.	A
PXD030780_E	Homo sapiens	not applicable	not applicable	1	not applicable	SW620	CVCL_0547	SW620	not available	not available	not available	E	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=20 percent	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=20 percent	PXD030780_TechAE_E01	proteomic profiling by mass spectrometry	1	TechAE_E01.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	20 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=protein N-term;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/01/PXD030780/TechAE_E01.raw	Lumos_240k	one prepared mixture per condition; five LC-MS technical replicates; no biological replication	ACS ac0c05002_si_001.pdf section 3.2 and Table S1a	https://www.ebi.ac.uk/pride/archive/projects/PXD030780 | https://doi.org/10.1021/acs.analchem.0c05002 | https://doi.org/10.1021/ACS.ANALCHEM.0C05002 | https://www.cellosaurus.org/CVCL_0547	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Human SW620 background; Saccharomyces cerevisiae BY4741 and Escherichia coli ATCC 25922 are mixture components encoded as spiked compounds.	E
